panel,dataset_id,dataset,epsilon,seed,fault_mode,evidence_type,n_test,fault_rate,stuck_value,method,auroc,auprc,runtime_sec
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,0,segment_stuck,controlled_injection,1799,0.2001111728738188,0.4277108433734942,ldp_postmean_lof,0.794500424677631,0.4381080907879516,4.00003045797348e-07
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,0,segment_stuck,controlled_injection,1799,0.2001111728738188,0.4277108433734942,ldp_postmean_subseq_nn,0.587369701181376,0.31957538697313104,1.300009898841381e-06
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,0,segment_stuck,controlled_injection,1799,0.2001111728738188,0.4277108433734942,privsaf_matched_hmm,0.9939657169330554,0.9809386832763068,0.7720286999974633
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,0,template_stuck,template_based_injection,1799,0.2001111728738188,-1.0,pm_window_iforest,0.6260597637248089,0.29436405954374883,1.00000761449337e-06
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,0,template_stuck,template_based_injection,1799,0.2001111728738188,-1.0,pm_window_lof,0.5761659331325766,0.2815957123220845,3.00002284348011e-07
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,0,template_stuck,template_based_injection,1799,0.2001111728738188,-1.0,pm_subseq_nn,0.5777816384835147,0.2490395543914233,4.00003045797348e-07
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,0,template_stuck,template_based_injection,1799,0.2001111728738188,-1.0,ldp_postmean_iforest,0.5155914601189098,0.2344999932279333,6.00004568696022e-07
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,0,template_stuck,template_based_injection,1799,0.2001111728738188,-1.0,ldp_postmean_lof,0.4910643965716933,0.22440750549533334,4.00003045797348e-07
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,0,template_stuck,template_based_injection,1799,0.2001111728738188,-1.0,ldp_postmean_subseq_nn,0.5677611767431087,0.23020973999117234,4.00003045797348e-07
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,0,template_stuck,template_based_injection,1799,0.2001111728738188,-1.0,privsaf_matched_hmm,0.7518512084008957,0.40854275891906233,0.7609127999894554
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,1,iid_stuck,controlled_injection,1799,0.2001111728738188,-0.9337349397590361,pm_window_iforest,0.5128194733997374,0.20461765027279794,7.00005330145359e-07
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,1,iid_stuck,controlled_injection,1799,0.2001111728738188,-0.9337349397590361,pm_window_lof,0.4798799320515791,0.18766590601010164,5.00003807246685e-07
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,1,iid_stuck,controlled_injection,1799,0.2001111728738188,-0.9337349397590361,pm_subseq_nn,0.5188151494093121,0.21465070215371365,5.00003807246685e-07
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,1,iid_stuck,controlled_injection,1799,0.2001111728738188,-0.9337349397590361,ldp_postmean_iforest,0.4737896687514478,0.19179845426341785,5.00003807246685e-07
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,1,iid_stuck,controlled_injection,1799,0.2001111728738188,-0.9337349397590361,ldp_postmean_lof,0.45080881785190324,0.18549655760475317,4.999892553314567e-07
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,1,iid_stuck,controlled_injection,1799,0.2001111728738188,-0.9337349397590361,ldp_postmean_subseq_nn,0.5131920315033588,0.20965684234296342,5.00003807246685e-07
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,1,iid_stuck,controlled_injection,1799,0.2001111728738188,-0.9337349397590361,privsaf_matched_mixture,0.6567543046868968,0.29382485192845254,0.01621490000979975
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,1,iid_stuck,controlled_injection,1799,0.2001111728738188,0.4277108433734942,pm_window_iforest,0.532095977144622,0.20892642838037334,6.00004568696022e-07
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,1,iid_stuck,controlled_injection,1799,0.2001111728738188,0.4277108433734942,pm_window_lof,0.4699868736004942,0.18168777036553566,4.999892553314567e-07
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,1,iid_stuck,controlled_injection,1799,0.2001111728738188,0.4277108433734942,pm_subseq_nn,0.4959462589761408,0.20174229252810894,6.00004568696022e-07
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,1,iid_stuck,controlled_injection,1799,0.2001111728738188,0.4277108433734942,ldp_postmean_iforest,0.5951625357115281,0.27631051127386674,7.00005330145359e-07
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,1,iid_stuck,controlled_injection,1799,0.2001111728738188,0.4277108433734942,ldp_postmean_lof,0.4310883329472628,0.17959215784042448,8.00006091594696e-07
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,1,iid_stuck,controlled_injection,1799,0.2001111728738188,0.4277108433734942,ldp_postmean_subseq_nn,0.5101478650297274,0.2076202364443717,8.999923011288047e-07
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,1,iid_stuck,controlled_injection,1799,0.2001111728738188,0.4277108433734942,privsaf_matched_mixture,0.827560613080071,0.5092277400304298,0.016034299987950362
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,1,segment_stuck,controlled_injection,1799,0.2001111728738188,-0.9337349397590361,pm_window_iforest,0.6405682958844876,0.2805992638963713,9.00006853044033e-07
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,1,segment_stuck,controlled_injection,1799,0.2001111728738188,-0.9337349397590361,pm_window_lof,0.6493070033202069,0.2774924545480472,4.00003045797348e-07
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,1,segment_stuck,controlled_injection,1799,0.2001111728738188,-0.9337349397590361,pm_subseq_nn,0.4698536792525674,0.1839360170953128,4.00003045797348e-07
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,1,segment_stuck,controlled_injection,1799,0.2001111728738188,-0.9337349397590361,ldp_postmean_iforest,0.6366651223843718,0.3051499602237545,4.999892553314567e-07
controlled_pre_pm_faults,air_quality,UCI Air Quality,2.0,1,segment_stuck,controlled_injection,1799,0.2001111728738188,-0.9337349397590361,ldp_postmean_lof,0.6514612771214578,0.2957284890615597,3.9998849388211966e-07
