panel,x,x_label,devices,cases,auroc_mean,auprc_mean,bucket_hit_mean,runtime_ms_per_frame
bucket_count,8.0,buckets,1,3,0.9952442539829615,0.975274812222906,1.0,0.10701567538124705
bucket_count,16.0,buckets,1,3,0.9956142382827581,0.9787051348588766,1.0,0.19398215674953623
bucket_count,32.0,buckets,1,3,0.996027333796618,0.9813701751631528,0.6666666666666666,0.39216759311043387
bucket_count,64.0,buckets,1,3,0.9959018608601653,0.9808897945455047,0.6666666666666666,0.8018041319241073
calibration_contamination,0.0,contamination,1,3,0.998395876766273,0.9935979314026219,1.0,0.28449181026158926
calibration_contamination,0.02,contamination,1,3,0.9984563611561527,0.9938032456018866,1.0,0.3788236242385344
calibration_contamination,0.05,contamination,1,3,0.9984756646848377,0.9938535398591967,1.0,0.41086284973029974
calibration_contamination,0.1,contamination,1,3,0.9983501917483849,0.9933605202910737,1.0,0.40899399666446784
calibration_contamination,0.2,contamination,1,3,0.3706631405554269,0.4064921742968546,0.3333333333333333,0.4026576801974462
calibration_contamination,0.35,contamination,1,3,0.0269457956914524,0.10875237665508697,0.0,0.390188864181455
epsilon_mismatch,0.75,assumed_epsilon,1,3,0.9975761202481147,0.9897598041710421,0.0,0.3833733555672379
epsilon_mismatch,1.0,assumed_epsilon,1,3,0.9981796772450003,0.992771214486881,0.3333333333333333,0.38439773948670225
epsilon_mismatch,1.5,assumed_epsilon,1,3,0.9983424703369109,0.993610586372375,0.0,0.4133982027041156
epsilon_mismatch,2.0,assumed_epsilon,1,3,0.9978881939618564,0.9918122478663581,1.0,0.4028913099911928
epsilon_mismatch,3.0,assumed_epsilon,1,3,0.9951959951612488,0.982053385645225,0.6666666666666666,0.38913950342695336
epsilon_mismatch,4.0,assumed_epsilon,1,3,0.9674973618510797,0.9111537966896707,0.0,0.3813005743934556
multi_device_short_traces,64.0,trace_length,4,3,0.9451357466063347,0.8520624205472659,,0.37237604165814747
multi_device_short_traces,64.0,trace_length,16,3,0.8482434640522877,0.6465464798886523,,0.38139339192374183
multi_device_short_traces,64.0,trace_length,32,3,0.8949687146493212,0.7357730154366685,,0.39606490886020157
multi_device_short_traces,128.0,trace_length,4,3,0.9365808823529411,0.8424211133101851,,0.3897131510370855
multi_device_short_traces,128.0,trace_length,16,3,0.9154917475804426,0.7898764724590727,,0.4094663411488379
multi_device_short_traces,128.0,trace_length,32,3,0.9394528795091754,0.833510944701365,,0.42047075195246936
multi_device_short_traces,256.0,trace_length,4,3,0.9235174557627929,0.8653314952996126,,0.4464990559824855
multi_device_short_traces,256.0,trace_length,16,3,0.9687761537541846,0.9206670994327383,,0.41764654948176866
multi_device_short_traces,256.0,trace_length,32,3,0.9710219205822573,0.925822789511186,,0.43646501058110704
