panel,station_id,label_code,label,epsilon,seed,method,calibration,n_rows,positive_rows,fault_rate,normalization_p01,normalization_p99,auroc,auprc,precision_at_k,estimated_bucket,estimated_fault_rate,runtime_sec,selected_by_auprc
hadisd_real_streak_pmldp,702606-96401,DSS,dew point straight string,2.0,0,privsaf_hmm,all_nonflagged_nonlabel_rows,32869,13,0.0003955094465910128,-29.0,13.0,0.9428274428274428,0.0036915218338993755,0.0,28,0.23318408438108343,0.34261781102395616,1
hadisd_real_streak_pmldp,702606-96401,DSS,dew point straight string,2.0,1,pm_column_likelihood_scan,all_nonflagged_nonlabel_rows,32869,13,0.0003955094465910128,-29.0,13.0,0.5241801052611863,0.0004280091825617823,0.0,0,1.0,0.07809096301207319,0
hadisd_real_streak_pmldp,702606-96401,DSS,dew point straight string,2.0,1,privsaf_mixture,all_nonflagged_nonlabel_rows,32869,13,0.0003955094465910128,-29.0,13.0,0.2830673709052087,0.00027714432130406327,0.0,20,0.01,0.007441505993483588,0
hadisd_real_streak_pmldp,702606-96401,DSS,dew point straight string,2.0,1,privsaf_hmm,all_nonflagged_nonlabel_rows,32869,13,0.0003955094465910128,-29.0,13.0,0.9825228034687494,0.013334785339601944,0.0,28,0.21899462578013082,0.34591462300159037,1
hadisd_real_streak_pmldp,702606-96401,DSS,dew point straight string,2.0,2,pm_column_likelihood_scan,all_nonflagged_nonlabel_rows,32869,13,0.0003955094465910128,-29.0,13.0,0.37225726245996515,0.0003236147911779577,0.0,0,1.0,0.07905488199321553,0
hadisd_real_streak_pmldp,702606-96401,DSS,dew point straight string,2.0,2,privsaf_mixture,all_nonflagged_nonlabel_rows,32869,13,0.0003955094465910128,-29.0,13.0,0.44125999700324026,0.0003709963881094888,0.0,16,0.02,0.0072841479850467294,0
hadisd_real_streak_pmldp,702606-96401,DSS,dew point straight string,2.0,2,privsaf_hmm,all_nonflagged_nonlabel_rows,32869,13,0.0003955094465910128,-29.0,13.0,0.7544787511003728,0.0008496709092858939,0.0,28,0.21073631752115127,0.3534288340015337,1
hadisd_real_streak_pmldp,702606-96401,DSS,dew point straight string,4.0,0,pm_column_likelihood_scan,all_nonflagged_nonlabel_rows,32869,13,0.0003955094465910128,-29.0,13.0,0.44900708920979193,0.000389709641267609,0.0,22,1.0,0.07899649601313286,0
hadisd_real_streak_pmldp,702606-96401,DSS,dew point straight string,4.0,0,privsaf_mixture,all_nonflagged_nonlabel_rows,32869,13,0.0003955094465910128,-29.0,13.0,0.4013445618175348,0.0003361674231863431,0.0,14,0.01,0.007297518983250484,0
hadisd_real_streak_pmldp,702606-96401,DSS,dew point straight string,4.0,0,privsaf_hmm,all_nonflagged_nonlabel_rows,32869,13,0.0003955094465910128,-29.0,13.0,0.7042221535464779,0.0006974554173682175,0.0,29,0.13769313411333806,0.3348151090031024,1
