epsilon,settings,weak_bucket_case_fraction,median_bucket_auc,median_llr_auc,median_llr_auprc,median_kl,median_auroc_gap
0.5,140,0.5357142857142857,0.51190325,0.7791635000000001,0.7765395784229218,0.024836609518804963,0.27923774999999984
1.0,140,0.42142857142857143,0.5656485,0.94185,0.9436642858024638,0.11345950777404137,0.3381465
2.0,140,0.14285714285714285,0.7154922499999999,0.9997535,0.9997573136184494,0.5345233102257109,0.274893
