panel,dataset_id,dataset,epsilon,seed,fault_mode,n_test,fault_rate,true_bucket,method,auroc,auprc,runtime_sec,estimated_bucket,bucket_hit,estimated_fault_rate
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,iid_stuck,1799,0.2001111728738188,1,channel_likelihood_scan,0.5274447919079608,0.21099979948503006,0.0004993999900761992,6,0.0,0.1717620900500278
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,iid_stuck,1799,0.2001111728738188,1,channel_llr_cusum,0.5176414948652615,0.20733229745956194,0.004820700007257983,1,1.0,0.2001111728738188
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,iid_stuck,1799,0.2001111728738188,1,channel_window_glr_scan,0.487492278588526,0.19341310264890357,0.025467600004049018,2,0.0,0.17676486937187327
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,iid_stuck,1799,0.2001111728738188,1,generic_pm_hmm,0.48615357887421823,0.19288140404463244,0.3221386000077473,2,0.0,0.5676344452647466
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,iid_stuck,1799,0.2001111728738188,1,privsaf_matched_mixture,0.6759198131418422,0.3084945776801833,0.011132400002679788,1,1.0,0.463030303030303
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,iid_stuck,1799,0.2001111728738188,22,channel_likelihood_scan,0.780676202609837,0.38082082412078033,0.00039909999759402126,6,0.0,0.19733185102834908
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,iid_stuck,1799,0.2001111728738188,22,channel_llr_cusum,0.5106671299513551,0.22001555950828544,0.004080399987287819,23,0.0,0.2001111728738188
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,iid_stuck,1799,0.2001111728738188,22,channel_window_glr_scan,0.4945052505598023,0.19281470722867194,0.021557199987000786,0,0.0,0.19955530850472486
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,iid_stuck,1799,0.2001111728738188,22,generic_pm_hmm,0.512595552466991,0.210599046808763,0.31664289999753237,3,0.0,0.5827174193194891
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,iid_stuck,1799,0.2001111728738188,22,privsaf_matched_mixture,0.8459761794456027,0.5602317513565265,0.011710600010701455,23,0.0,0.1493939393939394
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,segment_stuck,1799,0.2001111728738188,1,channel_likelihood_scan,0.5214384989576094,0.2098732110975299,0.00041870000131893903,6,0.0,0.17787659811006115
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,segment_stuck,1799,0.2001111728738188,1,channel_llr_cusum,0.30174310864025944,0.13751626203523196,0.0043150999990757555,1,1.0,0.2001111728738188
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,segment_stuck,1799,0.2001111728738188,1,channel_window_glr_scan,0.7876042390548992,0.4938481854791025,0.02311059999919962,0,0.0,0.19844357976653695
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,segment_stuck,1799,0.2001111728738188,1,generic_pm_hmm,0.8672940313489306,0.5696853690750093,0.3278891000081785,1,1.0,0.4683041192535449
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,segment_stuck,1799,0.2001111728738188,1,privsaf_matched_hmm,0.8859624739402363,0.6492417062114304,0.678496599997743,1,1.0,0.4002492249664619
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,segment_stuck,1799,0.2001111728738188,22,channel_likelihood_scan,0.7593149177669678,0.36212996482497206,0.00046999999904073775,6,0.0,0.2001111728738188
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,segment_stuck,1799,0.2001111728738188,22,channel_llr_cusum,0.5471990579878002,0.23925392279242208,0.004363699990790337,23,0.0,0.2001111728738188
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,segment_stuck,1799,0.2001111728738188,22,channel_window_glr_scan,0.9248494324762566,0.6906888671336222,0.026700300004449673,22,1.0,0.16842690383546416
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,segment_stuck,1799,0.2001111728738188,22,generic_pm_hmm,0.9947880472550382,0.980918806612485,0.43249439999635797,22,1.0,0.20819475755386796
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,segment_stuck,1799,0.2001111728738188,22,privsaf_matched_hmm,0.9939657169330554,0.9809386832763068,1.0505164000060176,22,1.0,0.19708177521462167
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,template_stuck,1799,0.2001111728738188,0,channel_likelihood_scan,0.6064203536406455,0.2490563762330476,0.0009204999951180071,0,1.0,0.2001111728738188
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,template_stuck,1799,0.2001111728738188,0,channel_llr_cusum,0.4541193730213884,0.2065646571322577,0.012718600002699532,0,1.0,0.2001111728738188
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,template_stuck,1799,0.2001111728738188,0,channel_window_glr_scan,0.5970214655238978,0.2779191936123115,0.04836070000601467,0,1.0,0.19232907170650362
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,template_stuck,1799,0.2001111728738188,0,generic_pm_hmm,0.713300131263995,0.36702786752346267,0.7281597999972291,0,1.0,0.50250671025029
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,0,template_stuck,1799,0.2001111728738188,0,privsaf_matched_hmm,0.7518512084008957,0.40854275891906233,0.8129555000050459,0,1.0,0.36067796393026824
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,1,iid_stuck,1799,0.2001111728738188,1,channel_likelihood_scan,0.5206374025171802,0.21174764935444157,0.0005668999947374687,6,0.0,0.1784324624791551
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,1,iid_stuck,1799,0.2001111728738188,1,channel_llr_cusum,0.5234827426453555,0.21222785031954905,0.004394600007799454,1,1.0,0.2001111728738188
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,1,iid_stuck,1799,0.2001111728738188,1,channel_window_glr_scan,0.5029495791830747,0.20013648178232507,0.025743900012457743,2,0.0,0.19121734296831572
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,1,iid_stuck,1799,0.2001111728738188,1,generic_pm_hmm,0.5118465755540111,0.2062769284864286,0.3720493000000715,1,1.0,0.5944935642766992
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,1,iid_stuck,1799,0.2001111728738188,1,privsaf_matched_mixture,0.6567543046868968,0.29382485192845254,0.012327400007052347,1,1.0,0.476969696969697
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,1,iid_stuck,1799,0.2001111728738188,22,channel_likelihood_scan,0.7692736082155819,0.3694571718293089,0.0007188000017777085,6,0.0,0.1734296831573096
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,1,iid_stuck,1799,0.2001111728738188,22,channel_llr_cusum,0.5043239904254497,0.21218591987851423,0.005104000010760501,23,0.0,0.2001111728738188
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,1,iid_stuck,1799,0.2001111728738188,22,channel_window_glr_scan,0.5108958767662728,0.20028010682961267,0.024423099996056408,2,0.0,0.19677598665925514
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,1,iid_stuck,1799,0.2001111728738188,22,generic_pm_hmm,0.5169369160682573,0.2095434318049487,0.39589390000037383,2,0.0,0.5514348420802366
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,1,iid_stuck,1799,0.2001111728738188,22,privsaf_matched_mixture,0.827560613080071,0.5092277400304298,0.018897500005550683,22,1.0,0.17030303030303032
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,1,segment_stuck,1799,0.2001111728738188,1,channel_likelihood_scan,0.5268097058142229,0.21020826244234936,0.0006409000052371994,6,0.0,0.18343524180100054
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,1,segment_stuck,1799,0.2001111728738188,1,channel_llr_cusum,0.4516330785267547,0.17819641350695747,0.004775400011567399,0,0.0,0.2001111728738188
