dataset_id,dataset,target,epsilon,seed,fault_mode,fault_rate,n_test,evidence_type,stuck_value,segment_length,bias,method,method_category,auroc,auprc,runtime_sec,precision_at_fault_budget,recall_at_fault_budget,estimated_bucket,true_bucket,bucket_error,bucket_acc,estimated_fault_rate,fault_rate_error,access_regime,uses_raw_values,uses_pm_reports,uses_pm_channel,uses_temporal_model,diagnostic_outputs,privacy_comparable,template_source,template_range,template_flank_delta
air_quality,UCI Air Quality,C6H6(GT),2.0,0,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privsaf_hmm_wrong_epsilon_half,channel_ablation,0.48212493243764964,0.19044120274627632,0.7508336000028066,0.16944444444444445,0.16944444444444445,0,1,1,0.0,0.8090508263263138,0.6089396534524949,pm_ldp_reports,False,True,True,True,True,True,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,0,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privsaf_hmm_wrong_epsilon_double,channel_ablation,0.5571345842019921,0.22059860562888162,0.8523970999995072,0.21388888888888888,0.21388888888888888,0,1,1,0.0,0.018875121602508968,0.18123605127130982,pm_ldp_reports,False,True,True,True,True,True,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,raw_hampel,raw_domain_upper_bound,0.4343361516485214,0.16716478524137712,0.0021406999985629227,0.06388888888888888,0.06388888888888888,,1,,,,,raw_upper_bound,True,False,False,False,False,False,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,raw_cusum,raw_domain_upper_bound,0.5244266851980542,0.21872170047263104,0.0013532000011764467,0.23055555555555557,0.23055555555555557,,1,,,,,raw_upper_bound,True,False,False,True,False,False,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,raw_bocpd,raw_domain_upper_bound,0.5131717627982395,0.21016292701025316,1.138235700000223,0.22777777777777777,0.22777777777777777,,1,,,,,raw_upper_bound,True,False,False,True,False,False,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,raw_rolling_median,raw_domain_upper_bound,0.4343361516485214,0.16716478524137712,0.0017157000002043787,0.06388888888888888,0.06388888888888888,,1,,,,,raw_upper_bound,True,False,False,True,False,False,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,raw_nonprivate_hmm,raw_domain_upper_bound,0.34052582812138055,0.15165447820576444,0.763542900000175,0.19722222222222222,0.19722222222222222,0,1,1,0.0,0.06465396588998164,0.13545720698383718,raw_upper_bound,True,False,False,True,False,False,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privatized_zscore,privatized_domain,0.4998552235348622,0.19804612295577292,0.0002692000016395468,0.17222222222222222,0.17222222222222222,,1,,,,,pm_ldp_reports,False,True,False,False,False,True,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privatized_rolling_median,privatized_domain,0.5444820863253802,0.2165363608287897,0.0032509000011486933,0.20277777777777778,0.20277777777777778,,1,,,,,pm_ldp_reports,False,True,False,True,False,True,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privatized_cusum,privatized_domain,0.4982742645355571,0.19808812018513003,0.0014850999978079926,0.20833333333333334,0.20833333333333334,,1,,,,,pm_ldp_reports,False,True,False,True,False,True,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privatized_bocpd,privatized_domain,0.4831248552235349,0.1944522283575778,1.0493803000026674,0.19166666666666668,0.19166666666666668,,1,,,,,pm_ldp_reports,False,True,False,True,False,True,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,ldp_distribution_surprise,channel_aware_baseline,0.5673249169948266,0.24090408614016856,0.0002004000016313512,0.26944444444444443,0.26944444444444443,,1,,,,,pm_ldp_reports,False,True,True,False,False,True,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,ldp_postmean_hampel,channel_aware_baseline,0.5031097984711606,0.1983485708556128,0.0022523999978147913,0.16944444444444445,0.16944444444444445,,1,,,,,pm_ldp_reports,False,True,True,False,False,True,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,ldp_postmean_cusum,channel_aware_baseline,0.46729789205466754,0.18483727247565443,0.0014096000013523735,0.16666666666666666,0.16666666666666666,,1,,,,,pm_ldp_reports,False,True,True,True,False,True,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,ldp_postmean_rolling_median,channel_aware_baseline,0.5031097984711606,0.1983485708556128,0.002068200003122911,0.16944444444444445,0.16944444444444445,,1,,,,,pm_ldp_reports,False,True,True,True,False,True,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,ldp_window_kl,channel_aware_baseline,0.5026156281368234,0.20163932512978178,0.05587849999938044,0.19722222222222222,0.19722222222222222,,1,,,,,pm_ldp_reports,False,True,True,True,False,True,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,ldp_window_glr,channel_aware_baseline,0.5029495791830747,0.20013648178232507,0.02606519999972079,0.20277777777777778,0.20277777777777778,2,1,1,0.0,0.19121734296831572,0.008893829905503081,pm_ldp_reports,False,True,True,True,True,True,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privsaf_mixture,privacy_aware,0.6567543046868968,0.29382485192845254,0.0147514999989653,0.33611111111111114,0.33611111111111114,1,1,0,1.0,0.476969696969697,0.2768585240958782,pm_ldp_reports,False,True,True,False,True,True,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privsaf_hmm,privacy_aware,0.5161744266851981,0.20594542910920996,0.7731485000003886,0.20277777777777778,0.20277777777777778,1,1,0,1.0,0.4069417417214971,0.2068305688476783,pm_ldp_reports,False,True,True,True,True,True,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privsaf_hmm_wrong_epsilon_half,channel_ablation,0.5190390703420584,0.2160033146574426,0.722613599999022,0.2,0.2,0,1,1,0.0,0.7630256318837785,0.5629144590099597,pm_ldp_reports,False,True,True,True,True,True,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privsaf_hmm_wrong_epsilon_double,channel_ablation,0.5547197127634932,0.23022546302996516,0.7831317999989551,0.2222222222222222,0.2222222222222222,2,1,1,0.0,0.011039643713450512,0.1890715291603683,pm_ldp_reports,False,True,True,True,True,True,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,2,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,raw_hampel,raw_domain_upper_bound,0.45333951046251253,0.1718222735233998,0.0021524000003410038,0.06666666666666667,0.06666666666666667,,1,,,,,raw_upper_bound,True,False,False,False,False,False,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,2,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,raw_cusum,raw_domain_upper_bound,0.5058624816616477,0.20484419526697323,0.0013622999977087602,0.19722222222222222,0.19722222222222222,,1,,,,,raw_upper_bound,True,False,False,True,False,False,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,2,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,raw_bocpd,raw_domain_upper_bound,0.5167921396031195,0.21828752487329098,1.1428372000009404,0.22777777777777777,0.22777777777777777,,1,,,,,raw_upper_bound,True,False,False,True,False,False,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,2,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,raw_rolling_median,raw_domain_upper_bound,0.45333951046251253,0.1718222735233998,0.0021966000022075605,0.06666666666666667,0.06666666666666667,,1,,,,,raw_upper_bound,True,False,False,True,False,False,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,2,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,raw_nonprivate_hmm,raw_domain_upper_bound,0.32411686356265923,0.1465799965008668,0.7197096999989299,0.18055555555555555,0.18055555555555555,0,1,1,0.0,0.06771243856177048,0.13239873431204832,raw_upper_bound,True,False,False,True,False,False,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,2,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privatized_zscore,privatized_domain,0.5380549764496949,0.21674030738830638,8.280000110971741e-05,0.18888888888888888,0.18888888888888888,,1,,,,,pm_ldp_reports,False,True,False,False,False,True,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,2,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privatized_rolling_median,privatized_domain,0.5791328854914678,0.23691545295347113,0.001950300000316929,0.2361111111111111,0.2361111111111111,,1,,,,,pm_ldp_reports,False,True,False,True,False,True,,,
