axis,axis_value,method,auroc_mean,auprc_mean,runtime_sec_mean
fault_rate,0.05,ldp_distribution_surprise,0.7648906659731703,0.10890702853224021,6.206666876096278e-05
fault_rate,0.05,ldp_window_glr,0.9914656610970245,0.8201488285121915,0.03172963332811681
fault_rate,0.05,privsaf_hmm,0.7511128448518735,0.6720956723936532,0.820417633333515
fault_rate,0.1,ldp_distribution_surprise,0.7482825475259077,0.18868802056255773,4.066666588187218e-05
fault_rate,0.1,ldp_window_glr,0.9792064145677487,0.8046402184467478,0.0291761666740058
fault_rate,0.1,privsaf_hmm,0.9977535286985564,0.980043713673863,0.7270228666651141
fault_rate,0.2,ldp_distribution_surprise,0.7554255784624097,0.3445628323115418,3.393332978400091e-05
fault_rate,0.2,ldp_window_glr,0.931311932154531,0.6835811097867971,0.0280368666620537
fault_rate,0.2,privsaf_hmm,0.997316809512779,0.9908376338933752,0.7466068666641755
fault_rate,0.3,ldp_distribution_surprise,0.7467865933182322,0.4617536812691616,4.4133334692257144e-05
fault_rate,0.3,ldp_window_glr,0.8866359740730935,0.7144264120971408,0.02814100000250619
fault_rate,0.3,privsaf_hmm,0.9959579913511605,0.9909400397161411,0.7974112666706787
segment_length,12.0,ldp_distribution_surprise,0.752349882891926,0.34708068108377815,3.176666117118051e-05
segment_length,12.0,ldp_window_glr,0.7330267289527193,0.36340023995536846,0.02316370000092623
segment_length,12.0,privsaf_hmm,0.9775480657864257,0.9155217179874686,0.5364459666646629
segment_length,24.0,ldp_distribution_surprise,0.7496502844053227,0.3448451440961822,5.433332989923656e-05
segment_length,24.0,ldp_window_glr,0.8604296965485291,0.554667510791861,0.04400813333631959
segment_length,24.0,privsaf_hmm,0.992743160116336,0.9704005902735316,0.7921657666641598
segment_length,48.0,ldp_distribution_surprise,0.7554255784624097,0.3445628323115418,3.343333082739264e-05
segment_length,48.0,ldp_window_glr,0.931311932154531,0.6835811097867971,0.031179433334424782
segment_length,48.0,privsaf_hmm,0.997316809512779,0.9908376338933752,0.7123399666646341
segment_length,96.0,ldp_distribution_surprise,0.7607671865750393,0.3465026263692994,4.2333335538084306e-05
segment_length,96.0,ldp_window_glr,0.996180796849664,0.982550594375034,0.028801266666656982
segment_length,96.0,privsaf_hmm,0.9991313412091731,0.9965823547075227,0.7158205333350148
