panel,tier,method,epsilon,buckets,cases,runs,total_test_rows,total_fault_rows,pooled_fault_rate,case_mean_fault_rows,case_mean_auroc,case_mean_auprc,case_mean_auprc_ci95_low,case_mean_auprc_ci95_high,mean_recall_at_5pct_fpr,mean_precision_at_top_5pct
coops_verified_flat_full_protocol,all_ge_5,raw_zero_slope_radius2,0.0,0,40,40,291283,4556,0.015641146239224395,113.9,0.9359257546340214,0.8743775392237314,0.7736048034537552,0.9603483901067461,0.8822398778634806,0.0448292594174303
coops_verified_flat_full_protocol,all_ge_5,raw_local_range_radius2,0.0,0,40,40,291283,4556,0.015641146239224395,113.9,0.9337741867500846,0.8741427894260791,0.7736160549224236,0.9603497977482531,0.8819217107224133,0.04483645987825979
coops_verified_flat_full_protocol,all_ge_5,privsaf_range_hmm_r1_fixed_prior,2.0,24,40,80,291283,4556,0.015641146239224395,113.9,0.5393234972850804,0.024550582761214836,0.008382728776297766,0.04836369487167061,0.08840234110274242,0.017172936309303104
coops_verified_flat_full_protocol,all_ge_5,privsaf_hmm_fixed_prior,2.0,24,40,80,291283,4556,0.015641146239224395,113.9,0.5734528884546,0.02049100129938851,0.0057900132714704825,0.04569160572131433,0.10654002010903832,0.018376334706110848
coops_verified_flat_full_protocol,all_ge_5,privsaf_range_hmm_r2_fixed_prior,2.0,24,40,80,291283,4556,0.015641146239224395,113.9,0.531884972771052,0.020199017546001348,0.005262115306364021,0.04672526513983473,0.07108458483311172,0.01859431831223405
coops_verified_flat_full_protocol,all_ge_5,channel_window_glr_5,2.0,24,40,80,291283,4556,0.015641146239224395,113.9,0.5083907617951822,0.017606232919460386,0.0035683283813782744,0.0424106112300388,0.054979378208347286,0.016680717221074563
coops_verified_flat_full_protocol,all_ge_5,report_frequency,2.0,24,40,80,291283,4556,0.015641146239224395,113.9,0.5108354333121357,0.016450294230286266,0.002827926314529065,0.041189972557875036,0.06003576738717616,0.015556001791011177
coops_verified_flat_full_protocol,all_ge_5,channel_point_glr,2.0,24,40,80,291283,4556,0.015641146239224395,113.9,0.5034028797149069,0.016144984654918246,0.002540867873615436,0.04061089003556138,0.04189787081164651,0.015334135867454139
coops_verified_flat_full_protocol,all_ge_5,privsaf_hmm_fixed_prior,4.0,24,40,80,291283,4556,0.015641146239224395,113.9,0.6401381906345651,0.018757130796459364,0.004770791463087584,0.04348536778284731,0.0847365681426612,0.017408590011829723
coops_verified_flat_full_protocol,all_ge_5,channel_window_glr_5,4.0,24,40,80,291283,4556,0.015641146239224395,113.9,0.5112531552065412,0.01710296259756488,0.002972153230031925,0.04148690725825346,0.03438529313887033,0.01621135476808447
coops_verified_flat_full_protocol,all_ge_5,privsaf_range_hmm_r1_fixed_prior,4.0,24,40,80,291283,4556,0.015641146239224395,113.9,0.5398595603156181,0.016976894654332747,0.003073427357355769,0.04134589618222502,0.058792953035196625,0.015706257614280416
coops_verified_flat_full_protocol,all_ge_5,privsaf_range_hmm_r2_fixed_prior,4.0,24,40,80,291283,4556,0.015641146239224395,113.9,0.5240909867245677,0.016789762658965778,0.0029397139106728983,0.04109840228298314,0.059837399966552,0.015343839936790438
coops_verified_flat_full_protocol,all_ge_5,report_frequency,4.0,24,40,80,291283,4556,0.015641146239224395,113.9,0.5047978703589375,0.016616216277217898,0.0029415822279375485,0.0406881122206377,0.05436869331224575,0.018029225594575985
coops_verified_flat_full_protocol,all_ge_5,channel_point_glr,4.0,24,40,80,291283,4556,0.015641146239224395,113.9,0.5008862710646531,0.01646682283825985,0.002811455882980922,0.04058233654108687,0.04990752394618508,0.017154206834754666
coops_verified_flat_full_protocol,support_5_to_24,raw_local_range_radius2,0.0,0,33,33,241363,309,0.0012802293640698864,9.363636363636363,0.970163044056736,0.9504151067015522,0.8837916411231039,1.0,0.9636363636363636,0.02495495134886125
coops_verified_flat_full_protocol,support_5_to_24,raw_zero_slope_radius2,0.0,0,33,33,241363,309,0.0012802293640698864,9.363636363636363,0.9701428556314332,0.9504150797702005,0.8837915872604003,1.0,0.9636363636363636,0.02495495134886125
coops_verified_flat_full_protocol,support_5_to_24,privsaf_range_hmm_r1_fixed_prior,2.0,24,33,66,241363,309,0.0012802293640698864,9.363636363636363,0.5317862743515824,0.008851708510730213,0.0030708565898684057,0.015898211219000483,0.08265881754024047,0.002334554427157319
coops_verified_flat_full_protocol,support_5_to_24,privsaf_hmm_fixed_prior,2.0,24,33,66,241363,309,0.0012802293640698864,9.363636363636363,0.5667352065835048,0.0037380479765938466,0.0024377552107733287,0.005496951201102003,0.10009677410863183,0.002709259286011233
coops_verified_flat_full_protocol,support_5_to_24,channel_window_glr_5,2.0,24,33,66,241363,309,0.0012802293640698864,9.363636363636363,0.5037170189299892,0.003134294322420383,0.0019183508756114437,0.004687120772366353,0.05560339601841578,0.0014379520080298723
coops_verified_flat_full_protocol,support_5_to_24,privsaf_range_hmm_r2_fixed_prior,2.0,24,33,66,241363,309,0.0012802293640698864,9.363636363636363,0.521370172678036,0.002937040464498878,0.002126438935106287,0.0038281602405321343,0.06383993330633647,0.0019086396033003376
coops_verified_flat_full_protocol,support_5_to_24,report_frequency,2.0,24,33,66,241363,309,0.0012802293640698864,9.363636363636363,0.5121955516261372,0.0021260571972684036,0.0017352183240305534,0.0027056605508372143,0.060023609825981365,0.0014636330664556472
