panel,epsilon,method,cases,years,auroc_mean,auroc_std,auprc_mean,auprc_std,recall_at_5pct_fpr_mean,precision_at_k_mean,runtime_sec_mean
iors_real_stuck_qc_pmldp,0.5,pm_llr_cusum,24,8,0.7283654266495767,0.1619109021389266,0.38896576821175227,0.3254945717490908,0.4415365075843347,0.40168337442380597,0.11757758749990899
iors_real_stuck_qc_pmldp,0.5,pm_window_glr,24,8,0.7139808990281873,0.1538224398014203,0.32480574500325005,0.28522364454953303,0.33946542417625974,0.31810208246793237,0.6542846333316751
iors_real_stuck_qc_pmldp,0.5,privsaf_hmm_global,24,8,0.6536489369232586,0.1481705177838059,0.21212888118990372,0.19999682918529563,0.20135966801556968,0.2166485334559093,0.7246452874975754
iors_real_stuck_qc_pmldp,0.5,generic_pm_hmm,24,8,0.6322145454821794,0.15233481509466337,0.19408054439695352,0.18439653605916723,0.1805500637264199,0.20782650772646225,3.7495962624986228
iors_real_stuck_qc_pmldp,0.5,privsaf_hmm_scan,24,8,0.5986183400301427,0.09617191528481112,0.15029756144061437,0.1301679286541216,0.14305974776127284,0.16559691597744397,0.7022704999993342
iors_real_stuck_qc_pmldp,0.5,privsaf_mixture,24,8,0.5386127146472773,0.03516679160373683,0.08565218473797935,0.07589806874594504,0.0709943897052256,0.09442744420248794,0.013530533335748865
iors_real_stuck_qc_pmldp,0.5,pm_column_likelihood_scan,24,8,0.5189170120048329,0.027898053799872587,0.0783400810349991,0.06867771321650025,0.0644150582692112,0.08159074980895085,0.0060719541670550825
iors_real_stuck_qc_pmldp,1.0,pm_llr_cusum,24,8,0.8924023288337066,0.05039231853337569,0.5161377190365313,0.1989129611135713,0.53646761341658,0.5177996866448782,0.12470312083496538
iors_real_stuck_qc_pmldp,1.0,pm_window_glr,24,8,0.8336732832022292,0.11544938848737647,0.5149842005852189,0.34855461723962594,0.5356127163731342,0.4918807806783628,0.652967983334141
iors_real_stuck_qc_pmldp,1.0,generic_pm_hmm,24,8,0.7117910470320318,0.19277498983923305,0.3407158620584934,0.32285292793896203,0.3548250757515892,0.3351249676059645,3.809113179167374
iors_real_stuck_qc_pmldp,1.0,privsaf_hmm_global,24,8,0.7020675598364307,0.19157063463226245,0.33161487469037865,0.3235580292628425,0.3406474374735709,0.31968392677763696,0.7417301499984509
iors_real_stuck_qc_pmldp,1.0,privsaf_hmm_scan,24,8,0.70044974189032,0.12386379830874114,0.2585782284061491,0.21566627700190988,0.28557109363684213,0.27283873233184686,0.7145510833324806
iors_real_stuck_qc_pmldp,1.0,privsaf_mixture,24,8,0.5785711399419847,0.06955315978699035,0.10418485008748611,0.09284292001716399,0.10038834085039117,0.11765130416095988,0.013030658333567166
iors_real_stuck_qc_pmldp,1.0,pm_column_likelihood_scan,24,8,0.5466019650456766,0.05747403611919597,0.08699118883557126,0.07530278551036543,0.07303607704440253,0.0941697609361269,0.0066507791664965525
