dataset,target,epsilon,seed,stuck_value,true_bucket,fault_rate,mode,method,n_test,auroc,auprc,r_error,bucket_error,bucket_acc,js,wasserstein,runtime_sec
UCI Air Quality,C6H6(GT),1.0,0,0.03125,16,0.3,segment,mixture,1799,0.6652627011443533,0.42738533532658163,0.10616352201257859,2,0.0,0.04296587700276243,0.10183109115356266,0.012778512988006696
UCI Air Quality,C6H6(GT),1.0,0,0.03125,16,0.3,segment,hmm,1799,0.9092430794575354,0.8227724945264483,0.023850521051315687,0,1.0,0.04296587700276243,0.10183109115356266,0.37913878000108525
UCI Air Quality,C6H6(GT),1.0,0,0.03125,16,0.3,segment,random,1799,0.491518842114553,0.2957488736472729,0.3,17,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.0,1,0.03125,16,0.3,segment,mixture,1799,0.6254640661312623,0.39310067772940327,0.18069182389937105,7,0.0,0.04296587700276243,0.10183109115356266,0.012844910001149401
UCI Air Quality,C6H6(GT),1.0,1,0.03125,16,0.3,segment,hmm,1799,0.9231150530991675,0.8470551182059555,0.043462014982580566,0,1.0,0.04296587700276243,0.10183109115356266,0.37186157099495176
UCI Air Quality,C6H6(GT),1.0,1,0.03125,16,0.3,segment,random,1799,0.5212205454064073,0.31090206581528385,0.3,17,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.0,2,0.03125,16,0.3,segment,mixture,1799,0.673111375871503,0.4281065793808125,0.026666666666666616,0,1.0,0.04296587700276243,0.10183109115356266,0.01227429899154231
UCI Air Quality,C6H6(GT),1.0,2,0.03125,16,0.3,segment,hmm,1799,0.8932456682258112,0.7917049790288198,0.003810284629128635,0,1.0,0.04296587700276243,0.10183109115356266,0.37933661800343543
UCI Air Quality,C6H6(GT),1.0,2,0.03125,16,0.3,segment,random,1799,0.48461300856058603,0.29035758971253567,0.3,17,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.0,3,0.03125,16,0.3,segment,mixture,1799,0.6820499808784162,0.4565751422121263,0.08132075471698108,1,0.0,0.04296587700276243,0.10183109115356266,0.012835438014008105
UCI Air Quality,C6H6(GT),1.0,3,0.03125,16,0.3,segment,hmm,1799,0.9398361427352689,0.8687081267175459,0.03473385638982468,0,1.0,0.04296587700276243,0.10183109115356266,0.3737698049953906
UCI Air Quality,C6H6(GT),1.0,3,0.03125,16,0.3,segment,random,1799,0.504321477951343,0.3040456585632596,0.3,17,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.0,4,0.03125,16,0.3,segment,mixture,1799,0.6449408701791545,0.41105129277108543,0.13597484276729557,3,0.0,0.04296587700276243,0.10183109115356266,0.012165873005869798
UCI Air Quality,C6H6(GT),1.0,4,0.03125,16,0.3,segment,hmm,1799,0.8864472097196481,0.7676059604185607,0.05971066492676039,0,1.0,0.04296587700276243,0.10183109115356266,0.3681890640000347
UCI Air Quality,C6H6(GT),1.0,4,0.03125,16,0.3,segment,random,1799,0.5022225164004354,0.30550952088031835,0.3,17,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.0,0,0.03125,16,0.3,iid,mixture,1799,0.6741490895184303,0.44230157996575836,0.14094339622641505,0,1.0,0.04296587700276243,0.10183109115356266,0.012139044993091375
UCI Air Quality,C6H6(GT),1.0,0,0.03125,16,0.3,iid,hmm,1799,0.5559276909952049,0.3403734603383515,0.11699736810990535,1,0.0,0.04296587700276243,0.10183109115356266,0.36845963199448306
