mechanism,fault_mode,method,cases,auroc_mean,auprc_mean,runtime_sec_mean
duchi_binary,bias,channel_window_glr,9,0.4848763020833333,0.2337773724867319,0.014667033334262669
duchi_binary,bias,channel_spike_score,9,0.5230314429012346,0.20973001743033345,0.0005698333342378545
duchi_binary,bias,privsaf_mixture,9,0.4515046296296296,0.1869038246856004,0.011822611109689914
duchi_binary,bias,privsaf_hmm,9,0.27120611496913577,0.13647707210793605,0.3682613555542452
duchi_binary,drift,channel_window_glr,9,0.4662022569444445,0.22236835208611191,0.014723822220629599
duchi_binary,drift,channel_spike_score,9,0.5157942708333334,0.20679162473275697,0.0006085777794295508
duchi_binary,drift,privsaf_mixture,9,0.46932870370370366,0.1914495778786648,0.011636533337878063
duchi_binary,drift,privsaf_hmm,9,0.3418735532407407,0.15594341958397215,0.36857881111306295
duchi_binary,scale,channel_window_glr,9,0.5494331114969137,0.27644404559447083,0.015035877777134173
duchi_binary,scale,privsaf_hmm,9,0.45127941743827166,0.21035931352555462,0.36858344444448854
duchi_binary,scale,channel_spike_score,9,0.4987731481481481,0.20006232836356996,0.0006253777780026818
duchi_binary,scale,privsaf_mixture,9,0.48738425925925927,0.19663021315637638,0.011506200001652664
duchi_binary,segment_stuck,privsaf_hmm,9,0.7510971257716049,0.6319772142204478,0.369396522224027
duchi_binary,segment_stuck,channel_window_glr,9,0.8123760609567902,0.5886076441227143,0.01463148888918416
duchi_binary,segment_stuck,privsaf_mixture,9,0.5440972222222222,0.23748685280314527,0.01223026666816117
duchi_binary,segment_stuck,channel_spike_score,9,0.5189243344907407,0.2078858786190353,0.0005603666698637729
duchi_binary,spike,channel_spike_score,9,0.5207730516975309,0.20786818934169624,0.0005750444446069499
duchi_binary,spike,privsaf_hmm,9,0.5005594135802469,0.20229684685550314,0.36549216666834483
duchi_binary,spike,channel_window_glr,9,0.49227309992283946,0.1984632406627015,0.014533922221744433
duchi_binary,spike,privsaf_mixture,9,0.48107638888888893,0.19441093479360302,0.011802177775987528
pm,bias,channel_window_glr,9,0.4914035976080247,0.2570683985549139,0.015243144443957135
pm,bias,channel_spike_score,9,0.5144261188271605,0.20622724789131602,0.0005866888904064479
pm,bias,privsaf_mixture,9,0.44348524305555553,0.17805505160390733,0.012237988889359662
pm,bias,privsaf_hmm,9,0.27848379629629627,0.1512989226482053,0.3688881999987643
pm,drift,channel_window_glr,9,0.5271612172067902,0.25532052642813063,0.01535626666575101
pm,drift,channel_spike_score,9,0.506158130787037,0.2038417133858072,0.0006557444430654868
pm,drift,privsaf_hmm,9,0.34718894675925926,0.19144734855760662,0.3688082777807722
pm,drift,privsaf_mixture,9,0.4629991319444444,0.18346054243707158,0.011792611109235117
pm,scale,channel_window_glr,9,0.6160378086419753,0.3138776374657232,0.015746088890915014
pm,scale,privsaf_hmm,9,0.5445090663580247,0.28892644122365774,0.37031072221968014
pm,scale,privsaf_mixture,9,0.5095056905864197,0.21170200046552973,0.011702444443168739
pm,scale,channel_spike_score,9,0.5027035108024691,0.20673225955420094,0.0007520111119245283
pm,segment_stuck,privsaf_hmm,9,0.8695056905864198,0.7609241714034547,0.368196477778838
pm,segment_stuck,channel_window_glr,9,0.859666763117284,0.6356111231131947,0.015535933334225168
pm,segment_stuck,privsaf_mixture,9,0.628589168595679,0.31112980701609,0.012198499998905592
pm,segment_stuck,channel_spike_score,9,0.4556725019290124,0.1973677177396844,0.0007511444435092724
pm,spike,channel_spike_score,9,0.5466915027006173,0.23482283496475162,0.0006051666698315077
pm,spike,privsaf_hmm,9,0.5051350308641975,0.20251872505899238,0.36513823333370965
pm,spike,privsaf_mixture,9,0.4860074266975309,0.20208219898249577,0.011936044443346974
pm,spike,channel_window_glr,9,0.4874823977623457,0.19596074623013868,0.015146711110396104
