panel,dataset_id,dataset,epsilon,seed,method,auroc,auprc,runtime_sec,train_rows,test_rows,positive_frames,official_windows,label_source
nab_native_labeled_system_failure,machine_temperature_system_failure,realKnownCause/machine_temperature_system_failure.csv,4.0,0,ldp_postmean_lof,0.6376169848179574,0.15210175493941586,0.0,2126,20569,2268,4,NAB combined_windows.json
nab_native_labeled_system_failure,machine_temperature_system_failure,realKnownCause/machine_temperature_system_failure.csv,4.0,0,ldp_postmean_subseq_nn,0.6048863040511948,0.222040694959019,0.0,2126,20569,2268,4,NAB combined_windows.json
nab_native_labeled_system_failure,machine_temperature_system_failure,realKnownCause/machine_temperature_system_failure.csv,4.0,0,privsaf_hmm_scan,0.34964700129627363,0.07954133930092526,8.388751000005868,2126,20569,2268,4,NAB combined_windows.json
nab_native_labeled_system_failure,machine_temperature_system_failure,realKnownCause/machine_temperature_system_failure.csv,4.0,1,pm_window_iforest,0.753158082937421,0.2886736954785998,0.0,2126,20569,2268,4,NAB combined_windows.json
nab_native_labeled_system_failure,machine_temperature_system_failure,realKnownCause/machine_temperature_system_failure.csv,4.0,1,pm_window_lof,0.6603912412338182,0.2166005157574193,0.0,2126,20569,2268,4,NAB combined_windows.json
nab_native_labeled_system_failure,machine_temperature_system_failure,realKnownCause/machine_temperature_system_failure.csv,4.0,1,pm_subseq_nn,0.669320457137152,0.23123230931872524,0.0,2126,20569,2268,4,NAB combined_windows.json
nab_native_labeled_system_failure,machine_temperature_system_failure,realKnownCause/machine_temperature_system_failure.csv,4.0,1,ldp_postmean_iforest,0.7617754091944937,0.24200295309731812,0.0,2126,20569,2268,4,NAB combined_windows.json
nab_native_labeled_system_failure,machine_temperature_system_failure,realKnownCause/machine_temperature_system_failure.csv,4.0,1,ldp_postmean_lof,0.6084935798749251,0.15626530674041017,0.0,2126,20569,2268,4,NAB combined_windows.json
nab_native_labeled_system_failure,machine_temperature_system_failure,realKnownCause/machine_temperature_system_failure.csv,4.0,1,ldp_postmean_subseq_nn,0.6694857076940023,0.26745521718905807,0.0,2126,20569,2268,4,NAB combined_windows.json
nab_native_labeled_system_failure,machine_temperature_system_failure,realKnownCause/machine_temperature_system_failure.csv,4.0,1,privsaf_hmm_scan,0.340846993548121,0.07768655020347218,7.810164099995745,2126,20569,2268,4,NAB combined_windows.json
nab_native_labeled_system_failure,machine_temperature_system_failure,realKnownCause/machine_temperature_system_failure.csv,4.0,2,pm_window_iforest,0.7607199161349207,0.2769599825701223,0.0,2126,20569,2268,4,NAB combined_windows.json
nab_native_labeled_system_failure,machine_temperature_system_failure,realKnownCause/machine_temperature_system_failure.csv,4.0,2,pm_window_lof,0.6383090061577575,0.1715806728549028,0.0,2126,20569,2268,4,NAB combined_windows.json
nab_native_labeled_system_failure,machine_temperature_system_failure,realKnownCause/machine_temperature_system_failure.csv,4.0,2,pm_subseq_nn,0.701896909672441,0.3083072696237259,0.0,2126,20569,2268,4,NAB combined_windows.json
nab_native_labeled_system_failure,machine_temperature_system_failure,realKnownCause/machine_temperature_system_failure.csv,4.0,2,ldp_postmean_iforest,0.7526604159119686,0.21831411688193147,0.0,2126,20569,2268,4,NAB combined_windows.json
nab_native_labeled_system_failure,machine_temperature_system_failure,realKnownCause/machine_temperature_system_failure.csv,4.0,2,ldp_postmean_lof,0.7111633725935312,0.20002370168358405,0.0,2126,20569,2268,4,NAB combined_windows.json
nab_native_labeled_system_failure,machine_temperature_system_failure,realKnownCause/machine_temperature_system_failure.csv,4.0,2,ldp_postmean_subseq_nn,0.6901533266895815,0.3043474678094281,0.0,2126,20569,2268,4,NAB combined_windows.json
nab_native_labeled_system_failure,machine_temperature_system_failure,realKnownCause/machine_temperature_system_failure.csv,4.0,2,privsaf_hmm_scan,0.34226098322322573,0.07829106035659004,8.03881649998948,2126,20569,2268,4,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,2.0,0,pm_window_iforest,0.6831988051732986,0.2998062293856335,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,2.0,0,pm_window_lof,0.6479226850921136,0.337180369755022,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,2.0,0,pm_subseq_nn,0.4776231614255303,0.18996150546220608,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,2.0,0,ldp_postmean_iforest,0.5959267021185776,0.25989221593939504,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,2.0,0,ldp_postmean_lof,0.48345455096235146,0.20834070592696452,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,2.0,0,ldp_postmean_subseq_nn,0.5041193798577701,0.20773842185984126,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,2.0,0,privsaf_hmm_scan,0.5644289369108368,0.23253412857720998,1.5147009000065736,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,2.0,1,pm_window_iforest,0.6752537951077832,0.28519003678198607,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,2.0,1,pm_window_lof,0.6123776004876245,0.2839492827810921,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,2.0,1,pm_subseq_nn,0.47444102654487075,0.19711868878912495,0.0,3540,3727,726,2,NAB combined_windows.json
