panel,dataset_id,dataset,epsilon,seed,method,auroc,auprc,runtime_sec,runtime_ms_per_frame,estimated_bucket,n_test
streaming_segment_stuck,air_quality,UCI Air Quality,2.0,0,privsaf_full_hmm,0.8859624739402363,0.6492417062114304,0.7246878000005381,0.4028281267373753,1,1799
streaming_segment_stuck,air_quality,UCI Air Quality,2.0,0,privsaf_streaming_top8,0.7684773376573237,0.44380121251225857,0.22917759999108966,0.12739166202951066,1,1799
streaming_segment_stuck,air_quality,UCI Air Quality,2.0,0,privsaf_full_hmm,0.9939657169330554,0.9809386832763068,0.6313594999955967,0.3509502501365185,22,1799
streaming_segment_stuck,air_quality,UCI Air Quality,2.0,0,privsaf_streaming_top8,0.9618716701413018,0.8756740278590834,0.23628529999405146,0.131342579207366,20,1799
streaming_segment_stuck,air_quality,UCI Air Quality,2.0,1,privsaf_full_hmm,0.9110493398193191,0.6242233029538599,0.6917598999862093,0.38452468037032206,1,1799
streaming_segment_stuck,air_quality,UCI Air Quality,2.0,1,privsaf_streaming_top8,0.7818102849200834,0.4611126486544366,0.22614050000265706,0.12570344636056535,0,1799
streaming_segment_stuck,air_quality,UCI Air Quality,2.0,1,privsaf_full_hmm,0.9993282372017606,0.9972576189559763,0.6582269999926211,0.3658849360714959,22,1799
streaming_segment_stuck,air_quality,UCI Air Quality,2.0,1,privsaf_streaming_top8,0.9706103775770211,0.9126637111736108,0.22299480000219774,0.12395486381445121,20,1799
streaming_segment_stuck,air_quality,UCI Air Quality,2.0,2,privsaf_full_hmm,0.8918770751293337,0.5731177667206789,0.7247464999963995,0.4028607559735406,0,1799
streaming_segment_stuck,air_quality,UCI Air Quality,2.0,2,privsaf_streaming_top8,0.7769708902787429,0.40328170779631956,0.25202189999981783,0.14008999444125506,0,1799
streaming_segment_stuck,air_quality,UCI Air Quality,2.0,2,privsaf_full_hmm,0.9986564744035209,0.9943165994478426,0.7055776000051992,0.39220544747370717,22,1799
streaming_segment_stuck,air_quality,UCI Air Quality,2.0,2,privsaf_streaming_top8,0.9672708671145085,0.8899995953974454,0.21823860000586137,0.1213110617042031,22,1799
streaming_segment_stuck,air_quality,UCI Air Quality,4.0,0,privsaf_full_hmm,0.9543432939541348,0.8303310870653201,0.6678820000088308,0.3712518065641083,1,1799
streaming_segment_stuck,air_quality,UCI Air Quality,4.0,0,privsaf_streaming_top8,0.8796019612385143,0.576632226295039,0.2407956999959424,0.13384974985877843,1,1799
streaming_segment_stuck,air_quality,UCI Air Quality,4.0,0,privsaf_full_hmm,0.9997760790672535,0.9991413825347581,0.7135715999902459,0.3966490272319321,22,1799
streaming_segment_stuck,air_quality,UCI Air Quality,4.0,0,privsaf_streaming_top8,0.9512489383059224,0.8794291385575217,0.23713670000142884,0.13181584213531342,1,1799
streaming_segment_stuck,air_quality,UCI Air Quality,4.0,1,privsaf_full_hmm,0.9455080688749903,0.7939338850753908,0.6948505000036675,0.38624263479914817,1,1799
streaming_segment_stuck,air_quality,UCI Air Quality,4.0,1,privsaf_streaming_top8,0.8687089800015442,0.5345053646306847,0.220808300000499,0.12273946637048305,1,1799
streaming_segment_stuck,air_quality,UCI Air Quality,4.0,1,privsaf_full_hmm,0.9994981082541888,0.99795356256331,0.6956363000062993,0.38667943302184504,22,1799
streaming_segment_stuck,air_quality,UCI Air Quality,4.0,1,privsaf_streaming_top8,0.9478399351401435,0.8859966837148288,0.2270074999978533,0.12618538076589955,1,1799
streaming_segment_stuck,air_quality,UCI Air Quality,4.0,2,privsaf_full_hmm,0.944317041155123,0.7176503012120325,0.6578927999944426,0.3656991662003572,1,1799
streaming_segment_stuck,air_quality,UCI Air Quality,4.0,2,privsaf_streaming_top8,0.8721527295189561,0.5647926967434926,0.2196579000010388,0.12210000000057743,1,1799
streaming_segment_stuck,air_quality,UCI Air Quality,4.0,2,privsaf_full_hmm,0.99934174967184,0.9971133233943188,0.7114806000026874,0.3954867148430725,22,1799
streaming_segment_stuck,air_quality,UCI Air Quality,4.0,2,privsaf_streaming_top8,0.8725137055053663,0.793407558955141,0.2493794999900274,0.13862117842691907,1,1799
streaming_segment_stuck,household_power,UCI Household Power,2.0,0,privsaf_full_hmm,0.9716514756944445,0.8956072424548677,0.9099885999894468,0.3791619166622695,0,2400
streaming_segment_stuck,household_power,UCI Household Power,2.0,0,privsaf_streaming_top8,0.7661013454861112,0.5581580059539112,0.30309960000158753,0.12629150000066147,0,2400
streaming_segment_stuck,household_power,UCI Household Power,2.0,0,privsaf_full_hmm,0.9992328559027778,0.9970563174830893,0.8943249999865657,0.37263541666106903,22,2400
streaming_segment_stuck,household_power,UCI Household Power,2.0,0,privsaf_streaming_top8,0.9618088107638889,0.9153126077383901,0.32401430000027176,0.13500595833344656,17,2400
streaming_segment_stuck,household_power,UCI Household Power,2.0,1,privsaf_full_hmm,0.9621223958333334,0.8786226852802773,0.8530164999974659,0.3554235416656108,0,2400
streaming_segment_stuck,household_power,UCI Household Power,2.0,1,privsaf_streaming_top8,0.7541189236111111,0.5058563891305901,0.3067960999906063,0.12783170832941929,0,2400
streaming_segment_stuck,household_power,UCI Household Power,2.0,1,privsaf_full_hmm,0.9992122395833333,0.9970027455466812,0.8723816999990959,0.3634923749996233,22,2400
streaming_segment_stuck,household_power,UCI Household Power,2.0,1,privsaf_streaming_top8,0.982394748263889,0.922371903997345,0.29357429999799933,0.1223226249991664,18,2400
streaming_segment_stuck,household_power,UCI Household Power,2.0,2,privsaf_full_hmm,0.9895008680555556,0.9533849942254298,0.8977581999934046,0.3740659166639186,0,2400
streaming_segment_stuck,household_power,UCI Household Power,2.0,2,privsaf_streaming_top8,0.6159157986111112,0.4189905691303164,0.3038656999997329,0.12661070833322205,9,2400
streaming_segment_stuck,household_power,UCI Household Power,2.0,2,privsaf_full_hmm,0.999189453125,0.9969262822308824,0.8575636000023223,0.35731816666763433,21,2400
streaming_segment_stuck,household_power,UCI Household Power,2.0,2,privsaf_streaming_top8,0.9410047743055556,0.8711440706390353,0.3033164999942528,0.12638187499760534,16,2400
streaming_segment_stuck,household_power,UCI Household Power,4.0,0,privsaf_full_hmm,0.9988856336805555,0.9952191723031891,0.8747166999964975,0.3644652916652073,0,2400
streaming_segment_stuck,household_power,UCI Household Power,4.0,0,privsaf_streaming_top8,0.9076215277777777,0.7165860579777962,0.29403190000448376,0.1225132916685349,0,2400
streaming_segment_stuck,household_power,UCI Household Power,4.0,0,privsaf_full_hmm,0.9997634548611112,0.9990480479904726,0.9310568000073545,0.3879403333363977,21,2400
streaming_segment_stuck,household_power,UCI Household Power,4.0,0,privsaf_streaming_top8,0.9834092881944445,0.9589909008633423,0.30920989999140147,0.1288374583297506,22,2400
streaming_segment_stuck,household_power,UCI Household Power,4.0,1,privsaf_full_hmm,0.9983995225694444,0.9928564289740677,0.9230413000041153,0.38460054166838137,0,2400
streaming_segment_stuck,household_power,UCI Household Power,4.0,1,privsaf_streaming_top8,0.8353125,0.6906253516513129,0.3126588000013726,0.13027450000057192,0,2400
streaming_segment_stuck,household_power,UCI Household Power,4.0,1,privsaf_full_hmm,0.9999522569444445,0.9998137693989295,0.8978761000034865,0.3741150416681194,21,2400
streaming_segment_stuck,household_power,UCI Household Power,4.0,1,privsaf_streaming_top8,0.9924435763888889,0.9755820749692387,0.31872049999947194,0.13280020833311332,22,2400
streaming_segment_stuck,household_power,UCI Household Power,4.0,2,privsaf_full_hmm,0.9994075520833334,0.997602290143262,0.9025852999911876,0.3760772083296615,0,2400
streaming_segment_stuck,household_power,UCI Household Power,4.0,2,privsaf_streaming_top8,0.6730284288194444,0.6010614213675549,0.3106798999942839,0.12944995833095163,9,2400
streaming_segment_stuck,household_power,UCI Household Power,4.0,2,privsaf_full_hmm,0.9999273003472222,0.9997147923402759,0.9328651999967406,0.3886938333319752,21,2400
streaming_segment_stuck,household_power,UCI Household Power,4.0,2,privsaf_streaming_top8,0.9583962673611112,0.9220461180239887,0.2951061999920057,0.12296091666333571,22,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,2.0,0,privsaf_full_hmm,0.9911577690972222,0.9679078720900681,0.860525800002506,0.3585524166677108,0,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,2.0,0,privsaf_streaming_top8,0.4765733506944445,0.21976670402963483,0.28503560001263395,0.11876483333859748,31,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,2.0,0,privsaf_full_hmm,0.9938346354166666,0.9793843865764005,0.8841935000091325,0.3684139583371386,24,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,2.0,0,privsaf_streaming_top8,0.8940657552083333,0.7553150227269476,0.28006679999816697,0.11669449999923624,21,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,2.0,1,privsaf_full_hmm,0.9884678819444445,0.9562841523289204,0.8644063000101596,0.36016929167089984,0,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,2.0,1,privsaf_streaming_top8,0.2112185329861111,0.1229828586735813,0.281107399991015,0.11712808332958957,24,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,2.0,1,privsaf_full_hmm,0.9916851128472222,0.9719455150763964,0.8873329000052763,0.36972204166886513,24,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,2.0,1,privsaf_streaming_top8,0.9314898003472223,0.7746573609461362,0.32247679999272805,0.13436533333030334,21,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,2.0,2,privsaf_full_hmm,0.9976898871527777,0.9909169861512377,1.160760200000368,0.4836500833334867,0,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,2.0,2,privsaf_streaming_top8,0.1881781684027778,0.12060618360655141,0.29180220000853296,0.1215842500035554,31,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,2.0,2,privsaf_full_hmm,0.9938465711805556,0.9810584161228925,0.8623165000026347,0.3592985416677645,24,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,2.0,2,privsaf_streaming_top8,0.9234049479166667,0.7831121220981386,0.2958653000096092,0.12327720833733717,21,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,4.0,0,privsaf_full_hmm,0.9992805989583333,0.9970353236292484,0.8641886999976123,0.3600786249990051,0,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,4.0,0,privsaf_streaming_top8,0.8800846354166667,0.5233554084632411,0.2929112999991048,0.122046374999627,0,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,4.0,0,privsaf_full_hmm,0.9990950520833334,0.9964546649158568,0.8675982999993721,0.36149929166640504,24,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,4.0,0,privsaf_streaming_top8,0.92365234375,0.6716667188804317,0.28717179999512155,0.11965491666463397,31,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,4.0,1,privsaf_full_hmm,0.9983984375,0.9930405077055164,0.888214099992183,0.37008920833007625,0,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,4.0,1,privsaf_streaming_top8,0.7169531250000001,0.44145002305840636,0.288863499998115,0.12035979166588125,0,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,4.0,1,privsaf_full_hmm,0.9996006944444444,0.9984973035571714,0.8981550000025891,0.37423125000107876,24,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,4.0,1,privsaf_streaming_top8,0.900906032986111,0.7067832805665457,0.30625929999223445,0.127608041663431,31,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,4.0,2,privsaf_full_hmm,0.9994303385416667,0.9978691297849824,0.9083004000131041,0.37845850000546005,0,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,4.0,2,privsaf_streaming_top8,0.6499761284722222,0.4014023956884546,0.3117281000013463,0.1298867083338943,0,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,4.0,2,privsaf_full_hmm,0.9995269097222222,0.9983084204763246,0.8731778000073973,0.3638240833364155,24,2400
streaming_segment_stuck,bike_sharing,UCI Bike Sharing,4.0,2,privsaf_streaming_top8,0.9389746093750001,0.7235934563813897,0.3224664000008488,0.13436100000035367,31,2400
streaming_segment_stuck,beijing_air,UCI Beijing Multi-Site Air,2.0,0,privsaf_full_hmm,0.9367458767361111,0.7884410730847079,0.8963017999922158,0.3734590833300899,0,2400
streaming_segment_stuck,beijing_air,UCI Beijing Multi-Site Air,2.0,0,privsaf_streaming_top8,0.7112912326388889,0.4591212960645896,0.3168991999991704,0.13204133333298765,0,2400
streaming_segment_stuck,beijing_air,UCI Beijing Multi-Site Air,2.0,0,privsaf_full_hmm,0.9995421006944444,0.9981885896701982,0.9455708000023151,0.39398783333429793,22,2400
streaming_segment_stuck,beijing_air,UCI Beijing Multi-Site Air,2.0,0,privsaf_streaming_top8,0.966472439236111,0.9219300905669147,0.3040617999940878,0.12669241666420325,22,2400
streaming_segment_stuck,beijing_air,UCI Beijing Multi-Site Air,2.0,1,privsaf_full_hmm,0.9065462239583334,0.7323644736797199,0.9085510000004433,0.3785629166668514,0,2400
streaming_segment_stuck,beijing_air,UCI Beijing Multi-Site Air,2.0,1,privsaf_streaming_top8,0.6780750868055555,0.38865665323367216,0.29250860000320245,0.12187858333466768,0,2400
streaming_segment_stuck,beijing_air,UCI Beijing Multi-Site Air,2.0,1,privsaf_full_hmm,0.9994086371527778,0.9976766987374893,0.8830727000022307,0.3679469583342628,22,2400
streaming_segment_stuck,beijing_air,UCI Beijing Multi-Site Air,2.0,1,privsaf_streaming_top8,0.9249674479166667,0.822856039446223,0.30376030001207255,0.1265667916716969,22,2400
streaming_segment_stuck,beijing_air,UCI Beijing Multi-Site Air,2.0,2,privsaf_full_hmm,0.9164615885416667,0.6867297722040664,0.8643435999983922,0.3601431666659967,0,2400
streaming_segment_stuck,beijing_air,UCI Beijing Multi-Site Air,2.0,2,privsaf_streaming_top8,0.7867480468749999,0.5483316291257629,0.27137000000220723,0.11307083333425301,0,2400
streaming_segment_stuck,beijing_air,UCI Beijing Multi-Site Air,2.0,2,privsaf_full_hmm,0.9985850694444445,0.9938873318680403,0.8521570999873802,0.35506545832807507,22,2400
