panel,method,fault_mode,cases,auroc_mean,auroc_std,auprc_mean,auprc_std,runtime_sec_mean,bucket_hit_mean
channel_baseline_ablation,privsaf_matched_mixture,iid_stuck,60,0.7610445001507082,0.18293674400506002,0.49270399521994807,0.22186342100353312,0.01103063166810898,0.7
channel_baseline_ablation,channel_likelihood_scan,iid_stuck,60,0.6248144155610369,0.20164993340401136,0.3147575037454496,0.15495858633567278,0.00045854833345705025,0.16666666666666666
channel_baseline_ablation,generic_pm_hmm,iid_stuck,60,0.559724614477365,0.0611607751580215,0.24130854187182071,0.06176796746213145,0.39775889666658865,0.35
channel_baseline_ablation,channel_llr_cusum,iid_stuck,60,0.5124834149699167,0.01790820823402687,0.2108274139738019,0.011429556851779672,0.005112266666158879,0.4
channel_baseline_ablation,channel_window_glr_scan,iid_stuck,60,0.4967846121317852,0.03454461957818812,0.20073688069929635,0.020637827615078787,0.02715943166646563,0.15
channel_baseline_ablation,privsaf_matched_hmm,segment_stuck,60,0.9303325478079034,0.14156353238368818,0.8331887180098418,0.2515363509807728,0.6387856516676644,0.8
channel_baseline_ablation,generic_pm_hmm,segment_stuck,60,0.8403442293206927,0.27508267437422884,0.7037542630044656,0.3171988765458305,0.396931353333639,0.7833333333333333
channel_baseline_ablation,channel_window_glr_scan,segment_stuck,60,0.8425356911688769,0.13481663391608717,0.5712967158646255,0.18953269721410426,0.027032153332887294,0.6333333333333333
channel_baseline_ablation,channel_likelihood_scan,segment_stuck,60,0.6261183198417251,0.20246082665512585,0.31610782622235234,0.1570888520927217,0.00046054833558931325,0.18333333333333332
channel_baseline_ablation,channel_llr_cusum,segment_stuck,60,0.49656687233093527,0.11046018426572646,0.21185699815671613,0.05948736885221417,0.005101820000951799,0.48333333333333334
channel_baseline_ablation,privsaf_matched_hmm,template_stuck,30,0.8508666467498488,0.1398118331545459,0.6125758190180514,0.2902465283395788,0.6361121099990366,0.8
channel_baseline_ablation,generic_pm_hmm,template_stuck,30,0.8341452884108048,0.125150152911198,0.5828344452695474,0.28140605025513066,0.4078719833327341,0.8
channel_baseline_ablation,channel_window_glr_scan,template_stuck,30,0.6874111928218422,0.16894629816635692,0.3801666039174066,0.18884099809919722,0.02808610333352893,0.7333333333333333
channel_baseline_ablation,channel_likelihood_scan,template_stuck,30,0.7180986707157828,0.12313361181489481,0.3732801298819581,0.14362269309518733,0.0004742700014806663,0.4666666666666667
channel_baseline_ablation,channel_llr_cusum,template_stuck,30,0.4879832782428722,0.04759015441208609,0.20267981217372943,0.021156891981149912,0.005341950000729412,0.8666666666666667
