panel,dataset_id,dataset,mechanism,mechanism_label,fault_mode,epsilon,seed,method,n_test,fault_rows,fault_rate,auroc,auprc,estimated_bucket,estimated_fault_rate,runtime_sec,param_stuck_value,param_segment_length,param_bias,param_scale_factor,param_spike_magnitude
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,0.5,2,channel_spike_score,1200,240,0.2,0.5255208333333333,0.20915229885057474,0,0.030384341064581443,0.0006705999985570088,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,0.5,2,privsaf_mixture,1200,240,0.2,0.5442708333333334,0.21639660493827162,13,0.1006060606060606,0.011411100000259466,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,0.5,2,privsaf_hmm,1200,240,0.2,0.7709895833333333,0.4249877969089341,10,0.1999693460603039,0.3677583999960916,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,1.0,0,channel_window_glr,1200,240,0.2,0.9147026909722222,0.6055281639924558,22,0.1875,0.015887000001384877,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,1.0,0,channel_spike_score,1200,240,0.2,0.5162022569444444,0.2064250404206328,0,0.08128475810273467,0.0005797000048914924,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,1.0,0,privsaf_mixture,1200,240,0.2,0.7038736979166667,0.3509196067544283,22,0.058787878787878785,0.011533900003996678,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,1.0,0,privsaf_hmm,1200,240,0.2,0.9869921875000001,0.9492580765701323,22,0.1881225547294945,0.372226600011345,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,1.0,0,channel_window_glr,1200,240,0.2,0.7948828125,0.5591017549320223,28,0.18083333333333335,0.015934099996229634,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,1.0,0,channel_spike_score,1200,240,0.2,0.4864583333333333,0.19595117845117846,0,0.05762415532726372,0.0005397000059019774,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,1.0,0,privsaf_mixture,1200,240,0.2,0.5729166666666666,0.22999999999999998,13,0.14242424242424243,0.011339999997289851,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,1.0,0,privsaf_hmm,1200,240,0.2,0.8140755208333333,0.6200409173685448,15,0.18410879510963832,0.3709209000080591,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,1.0,1,channel_window_glr,1200,240,0.2,0.872287326388889,0.6513640193293819,24,0.18666666666666668,0.01536570000462234,0.4277108433734942,48.0,,,
