design,stage,input_rows,output_rows,elapsed_sec,throughput_rows_per_sec
heap_base,create_base_schema,1,1,0.0003230860020266846,3095.151116814424
heap_base,load_mechanism_matrix,3072,3072,0.0021738569921581075,1413156.4362705646
heap_base,load_router_policy,3,3,9.171009878627956e-06,327117.7372724431
heap_base,ingest_reports,200000,200000,0.09011605000705458,2219360.480007095
heap_base,materialize_device_privacy_ledger,200000,2000,0.03157654700044077,6333814.777062491
heap_base,derive_cleaning_records,200000,200000,0.07357666299503762,2718253.205007259
heap_base,write_provenance_edges,200000,200000,0.02334077699924819,8568695.03557838
indexed_base,create_base_schema,1,1,0.00027639900508802384,3617.958030209021
indexed_base,load_mechanism_matrix,3072,3072,0.0020826529944315553,1475041.6935580187
indexed_base,load_router_policy,3,3,8.137008990161121e-06,368685.8406605493
indexed_base,ingest_reports,200000,200000,0.08944735399563797,2235952.1111127925
indexed_base,build_secondary_indexes,200000,0,0.1130302399978973,1769437.9840626775
indexed_base,materialize_device_privacy_ledger,200000,2000,0.038133210997330025,5244772.070571329
indexed_base,derive_cleaning_records,200000,200000,0.2682795799919404,745490.9538996905
indexed_base,write_provenance_edges,200000,200000,0.03944386598595884,5070496.894781958
materialized_batch,create_base_schema,1,1,0.0002541940048104152,3934.0030884907264
materialized_batch,load_mechanism_matrix,3072,3072,0.0021525860065594316,1427120.677473002
materialized_batch,load_router_policy,3,3,7.153998012654483e-06,419345.9370121985
materialized_batch,ingest_reports,200000,200000,0.08968919400649611,2229923.038281671
materialized_batch,build_secondary_indexes,200000,0,0.11340598900278565,1763575.2904997575
materialized_batch,materialize_device_privacy_ledger,200000,2000,0.03830979698977899,5220596.706721254
materialized_batch,derive_cleaning_records,200000,200000,0.26962143898708746,741780.7751169901
materialized_batch,write_provenance_edges,200000,200000,0.03941281099105254,5074492.150417889
materialized_batch,batch_materialize_query_state,200000,4000,0.45499590899271425,439564.39178270183
incremental_mv,create_base_schema,1,1,0.0002518679975764826,3970.333705044598
incremental_mv,create_incremental_triggers,1,1,0.0001890960120363161,5288.318824026542
incremental_mv,load_mechanism_matrix,3072,3072,0.002068910005618818,1484839.8391698792
incremental_mv,load_router_policy,3,3,7.039998308755457e-06,426136.46600866085
incremental_mv,ingest_reports,200000,200000,0.3799283489934169,526415.0478106741
incremental_mv,derive_cleaning_records,200000,200000,0.2546649099967908,785345.7313868657
incremental_mv,write_provenance_edges,200000,200000,0.023418548997142352,8540238.766475454
incremental_mv,index_incremental_state,200000,0,0.0015636260068276897,127907823.9468294
