dataset,stream,epsilon,seed,fault_mode,fault_rate,segment_length,repair_method,mask_source,review_budget_points,block_size_for_hourly_mean,mae,rmse,fault_point_mae,clean_point_mae,false_clean_repair_fraction,downstream_mean_abs_error,downstream_hourly_mean_abs_error,downstream_p95_abs_error,downstream_exceedance_count_abs_error,downstream_exceedance_rate_abs_error,exceedance_threshold_q90
air_quality,C6H6(GT),2.0,0,iid_stuck,0.2,48,no_repair,none,240,24,0.21192269076305226,0.4969632158867992,1.059613453815261,0.0,0.0,0.2100351405622491,0.210035140562249,0.276807228915663,219.0,0.1825,-0.06024096385542155
air_quality,C6H6(GT),2.0,0,iid_stuck,0.2,48,ldp_smoothing,all_points_ldp_postmean,240,24,0.335847545506274,0.4210024067084527,0.5282411045298248,0.28774915575038634,0.8,0.18306517445507298,0.23231601491600035,0.26557696838808814,115.0,0.09583333333333334,-0.06024096385542155
air_quality,C6H6(GT),2.0,0,iid_stuck,0.2,48,privsaf_repair,privsaf_topk_mask_linear,240,24,0.2797188755020081,0.5432177513615251,1.0383283132530121,0.09006651606425704,0.19083333333333333,0.2749748995983937,0.2749748995983936,0.276807228915663,251.0,0.20916666666666667,-0.06024096385542155
air_quality,C6H6(GT),2.0,0,iid_stuck,0.2,48,oracle_mask_interpolation,oracle_fault_mask_linear,240,24,0.017484437751004018,0.06138260181241266,0.0874221887550201,0.0,0.0,0.0012148594377511257,0.01042670682730924,0.0060240963855420215,3.0,0.0025,-0.06024096385542155
air_quality,C6H6(GT),2.0,0,segment_stuck,0.2,48,no_repair,none,240,24,0.22610441767068276,0.5265144674132071,1.130522088353414,0.0,0.0,0.22427710843373505,0.22427710843373497,0.276807228915663,221.0,0.18416666666666667,-0.06024096385542155
air_quality,C6H6(GT),2.0,0,segment_stuck,0.2,48,ldp_smoothing,all_points_ldp_postmean,240,24,0.34593586043360147,0.4334187588514632,0.5695597575457155,0.29002988615557285,0.8,0.18649573211424336,0.23979956074624872,0.26703495428164875,115.0,0.09583333333333334,-0.06024096385542155
air_quality,C6H6(GT),2.0,0,segment_stuck,0.2,48,privsaf_repair,privsaf_topk_mask_linear,240,24,0.09972539024020613,0.299827276532891,0.4946438868682277,0.0009957660832007275,0.005833333333333334,0.06725150602409635,0.09179656124497994,0.276807228915663,65.0,0.05416666666666667,-0.06024096385542155
air_quality,C6H6(GT),2.0,0,segment_stuck,0.2,48,oracle_mask_interpolation,oracle_fault_mask_linear,240,24,0.055096508482911234,0.1808533153672913,0.2754825424145562,0.0,0.0,0.009819277108433666,0.04133411195803625,0.08283132530120614,19.0,0.015833333333333335,-0.06024096385542155
air_quality,C6H6(GT),2.0,1,iid_stuck,0.2,48,no_repair,none,240,24,0.20995983935742976,0.4942144222857513,1.0497991967871487,0.0,0.0,0.20541164658634553,0.20541164658634542,0.276807228915663,211.0,0.17583333333333334,-0.06024096385542155
air_quality,C6H6(GT),2.0,1,iid_stuck,0.2,48,ldp_smoothing,all_points_ldp_postmean,240,24,0.3241384532031599,0.4098276057298352,0.4991836978416366,0.2803771420435407,0.8,0.1821511500876316,0.22276590559191586,0.26703495428164875,115.0,0.09583333333333334,-0.06024096385542155
air_quality,C6H6(GT),2.0,1,iid_stuck,0.2,48,privsaf_repair,privsaf_topk_mask_linear,240,24,0.2725092034805891,0.5387094013888362,0.9909805890227579,0.09289135709504688,0.18166666666666667,0.2630220883534138,0.2630220883534137,0.276807228915663,236.0,0.19666666666666666,-0.06024096385542155
air_quality,C6H6(GT),2.0,1,iid_stuck,0.2,48,oracle_mask_interpolation,oracle_fault_mask_linear,240,24,0.020428380187416335,0.08542545713274087,0.10214190093708167,0.0,0.0,0.006202309236947645,0.01349146586345383,0.030120481927710996,14.0,0.011666666666666667,-0.06024096385542155
air_quality,C6H6(GT),2.0,1,segment_stuck,0.2,48,no_repair,none,240,24,0.20259538152610446,0.48131898679453594,1.0129769076305224,0.0,0.0,0.19926204819277116,0.1992620481927711,0.276807228915663,209.0,0.17416666666666666,-0.06024096385542155
air_quality,C6H6(GT),2.0,1,segment_stuck,0.2,48,ldp_smoothing,all_points_ldp_postmean,240,24,0.32613431069233756,0.40937584604780725,0.49046394427508594,0.2850519022966504,0.8,0.17238719800032026,0.22125057737575443,0.26703495428164875,115.0,0.09583333333333334,-0.06024096385542155
air_quality,C6H6(GT),2.0,1,segment_stuck,0.2,48,privsaf_repair,privsaf_topk_mask_linear,240,24,0.09303347539137652,0.26531440905553655,0.4599056377070571,0.001315434812456381,0.009166666666666667,0.05501757028112464,0.07290512938672651,0.13755509844255112,55.0,0.04583333333333333,-0.06024096385542155
air_quality,C6H6(GT),2.0,1,segment_stuck,0.2,48,oracle_mask_interpolation,oracle_fault_mask_linear,240,24,0.06790396278993527,0.18909347669247778,0.3395198139496763,0.0,0.0,0.005888554216867514,0.04909279977051063,0.07181583476764244,11.0,0.009166666666666667,-0.06024096385542155
air_quality,C6H6(GT),2.0,2,iid_stuck,0.2,48,no_repair,none,240,24,0.21274096385542174,0.5004517241400079,1.0637048192771086,0.0,0.0,0.21075301204819286,0.2107530120481928,0.276807228915663,221.0,0.18416666666666667,-0.06024096385542155
air_quality,C6H6(GT),2.0,2,iid_stuck,0.2,48,ldp_smoothing,all_points_ldp_postmean,240,24,0.3396560843837308,0.4269603867938902,0.5196223741843335,0.2946645119335801,0.8,0.18715531521173945,0.23679580272960865,0.26557696838808814,115.0,0.09583333333333334,-0.06024096385542155
air_quality,C6H6(GT),2.0,2,iid_stuck,0.2,48,privsaf_repair,privsaf_topk_mask_linear,240,24,0.1427742637215529,0.3784952745110375,0.5962336847389558,0.029409408467202146,0.09166666666666666,0.11355170682730925,0.11757781124497992,0.276807228915663,116.0,0.09666666666666666,-0.06024096385542155
air_quality,C6H6(GT),2.0,2,iid_stuck,0.2,48,oracle_mask_interpolation,oracle_fault_mask_linear,240,24,0.018405287817938425,0.06490549061105419,0.09202643908969212,0.0,0.0,0.0021962851405623596,0.009962349397590355,0.0003012048192768402,3.0,0.0025,-0.06024096385542155
air_quality,C6H6(GT),2.0,2,segment_stuck,0.2,48,no_repair,none,240,24,0.21201807228915664,0.5044689480369986,1.0600903614457835,0.0,0.0,0.20804216867469888,0.20804216867469882,0.276807228915663,208.0,0.17333333333333334,-0.06024096385542155
air_quality,C6H6(GT),2.0,2,segment_stuck,0.2,48,ldp_smoothing,all_points_ldp_postmean,240,24,0.3334353780272707,0.42075728040495697,0.5437648340669641,0.28085301401734736,0.8,0.18813837377792758,0.22138822711477005,0.26557696838808814,115.0,0.09583333333333334,-0.06024096385542155
air_quality,C6H6(GT),2.0,2,segment_stuck,0.2,48,privsaf_repair,privsaf_topk_mask_linear,240,24,0.17227121144338228,0.433863545401811,0.8480908063945124,0.003316312705599765,0.013333333333333334,0.15410140562249008,0.16233266398929053,0.276807228915663,153.0,0.1275,-0.06024096385542155
air_quality,C6H6(GT),2.0,2,segment_stuck,0.2,48,oracle_mask_interpolation,oracle_fault_mask_linear,240,24,0.0803124743873453,0.21136863921372315,0.40156237193672656,0.0,0.0,0.03322289156626501,0.07258318990246701,0.08304032456356047,3.0,0.0025,-0.06024096385542155
household_power,Global_active_power hourly sample,2.0,0,iid_stuck,0.2,48,no_repair,none,240,24,0.1872207114926551,0.44441504676905663,0.9361035574632754,0.0,0.0,0.18368026594260045,0.1836802659426005,0.0887333447146153,220.0,0.18333333333333332,-0.024307164516417557
household_power,Global_active_power hourly sample,2.0,0,iid_stuck,0.2,48,ldp_smoothing,all_points_ldp_postmean,240,24,0.28173986546173646,0.3873667537050473,0.3755014195324836,0.2582994769440497,0.8,0.011380014321269005,0.09175562388765478,0.558230328404219,120.0,0.1,-0.024307164516417557
