design,query_name,query_family,rep,input_rows,output_rows,elapsed_ms,throughput_rows_per_sec,query
heap_base,provenance_event_drilldown,provenance,1,200000,100,40.58159999840427,4928341.908842044,"select c.report_id, r.device_id, r.ts, c.operator, c.posterior, p.transform, w.logp_fault - w.logp_normal as llr_component from cleaning_records c join reports r using(report_id) join provenance_edges p on p.output_report_id = c.report_id join mechanism_weights w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket and w.stuck_bucket = coalesce(c.stuck_bucket, r.report_bucket) where c.action in ('flag', 'repair') order by c.posterior desc, r.ts desc limit 100"
heap_base,provenance_event_drilldown,provenance,2,200000,100,40.477913003996946,4940966.200017556,"select c.report_id, r.device_id, r.ts, c.operator, c.posterior, p.transform, w.logp_fault - w.logp_normal as llr_component from cleaning_records c join reports r using(report_id) join provenance_edges p on p.output_report_id = c.report_id join mechanism_weights w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket and w.stuck_bucket = coalesce(c.stuck_bucket, r.report_bucket) where c.action in ('flag', 'repair') order by c.posterior desc, r.ts desc limit 100"
indexed_base,candidate_likelihood_topk,query_processing,0,200000,96,3762.1761089976644,53160.72246636133,"select r.mechanism_id, r.epsilon, w.stuck_bucket, sum(w.logp_fault) as fault_loglik, sum(w.logp_normal) as normal_loglik, sum(w.logp_fault - w.logp_normal) as llr from reports r join mechanism_weights w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket group by r.mechanism_id, r.epsilon, w.stuck_bucket order by llr desc limit 96"
indexed_base,candidate_likelihood_topk,query_processing,1,200000,96,3795.470855999156,52694.38433017558,"select r.mechanism_id, r.epsilon, w.stuck_bucket, sum(w.logp_fault) as fault_loglik, sum(w.logp_normal) as normal_loglik, sum(w.logp_fault - w.logp_normal) as llr from reports r join mechanism_weights w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket group by r.mechanism_id, r.epsilon, w.stuck_bucket order by llr desc limit 96"
indexed_base,candidate_likelihood_topk,query_processing,2,200000,96,3768.4359150007367,53072.41638470609,"select r.mechanism_id, r.epsilon, w.stuck_bucket, sum(w.logp_fault) as fault_loglik, sum(w.logp_normal) as normal_loglik, sum(w.logp_fault - w.logp_normal) as llr from reports r join mechanism_weights w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket group by r.mechanism_id, r.epsilon, w.stuck_bucket order by llr desc limit 96"
indexed_base,privacy_budget_accounting,privacy_accounting,0,200000,1,94.10392699646764,2125309.8184468686,"select count(*) as reports, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from ( select 1000.0 - sum(epsilon) over ( partition by device_id order by ts rows between unbounded preceding and current row ) as remaining_budget from reports )"
indexed_base,privacy_budget_accounting,privacy_accounting,1,200000,1,95.79365298850462,2087820.99607372,"select count(*) as reports, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from ( select 1000.0 - sum(epsilon) over ( partition by device_id order by ts rows between unbounded preceding and current row ) as remaining_budget from reports )"
indexed_base,privacy_budget_accounting,privacy_accounting,2,200000,1,94.48165399953723,2116813.069349734,"select count(*) as reports, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from ( select 1000.0 - sum(epsilon) over ( partition by device_id order by ts rows between unbounded preceding and current row ) as remaining_budget from reports )"
indexed_base,uncertainty_privacy_dashboard,end_to_end_analytics,0,200000,1,171.61294899415225,1165413.2230244179,"with hourly as ( select r.device_id, r.ts / 60 as hour_id, count(*) as reports, avg(case when c.action = 'repair' then c.repair_value else (2.0 * r.report_bucket / 31.0) - 1.0 end) as cleaned_mean, avg(c.posterior * (1.0 - c.posterior)) as uncertainty_proxy, sum(case when c.action = 'repair' then 1 else 0 end) as repair_count from reports r join cleaning_records c using(report_id) group by r.device_id, r.ts / 60 ), events as ( select device_id, ts / 60 as hour_id, count(*) as flagged_reports, avg(posterior) as avg_posterior from cleaning_records where action in ('flag', 'repair') group by device_id, ts / 60 having count(*) >= 2 ) select case when l.remaining_budget < 980.0 then 'near_cap' else 'ok' end as budget_band, count(*) as hourly_groups, sum(coalesce(e.flagged_reports, 0)) as flagged_reports, avg(h.cleaned_mean) as avg_cleaned_mean, avg(h.uncertainty_proxy) as avg_uncertainty_proxy, sum(h.repair_count) as repair_count from hourly h join privacy_ledger l using(device_id) left join events e on e.device_id = h.device_id and e.hour_id = h.hour_id group by budget_band"
indexed_base,uncertainty_privacy_dashboard,end_to_end_analytics,1,200000,1,170.67944500013255,1171787.2647162913,"with hourly as ( select r.device_id, r.ts / 60 as hour_id, count(*) as reports, avg(case when c.action = 'repair' then c.repair_value else (2.0 * r.report_bucket / 31.0) - 1.0 end) as cleaned_mean, avg(c.posterior * (1.0 - c.posterior)) as uncertainty_proxy, sum(case when c.action = 'repair' then 1 else 0 end) as repair_count from reports r join cleaning_records c using(report_id) group by r.device_id, r.ts / 60 ), events as ( select device_id, ts / 60 as hour_id, count(*) as flagged_reports, avg(posterior) as avg_posterior from cleaning_records where action in ('flag', 'repair') group by device_id, ts / 60 having count(*) >= 2 ) select case when l.remaining_budget < 980.0 then 'near_cap' else 'ok' end as budget_band, count(*) as hourly_groups, sum(coalesce(e.flagged_reports, 0)) as flagged_reports, avg(h.cleaned_mean) as avg_cleaned_mean, avg(h.uncertainty_proxy) as avg_uncertainty_proxy, sum(h.repair_count) as repair_count from hourly h join privacy_ledger l using(device_id) left join events e on e.device_id = h.device_id and e.hour_id = h.hour_id group by budget_band"
indexed_base,uncertainty_privacy_dashboard,end_to_end_analytics,2,200000,1,170.62198999337852,1172181.8506967453,"with hourly as ( select r.device_id, r.ts / 60 as hour_id, count(*) as reports, avg(case when c.action = 'repair' then c.repair_value else (2.0 * r.report_bucket / 31.0) - 1.0 end) as cleaned_mean, avg(c.posterior * (1.0 - c.posterior)) as uncertainty_proxy, sum(case when c.action = 'repair' then 1 else 0 end) as repair_count from reports r join cleaning_records c using(report_id) group by r.device_id, r.ts / 60 ), events as ( select device_id, ts / 60 as hour_id, count(*) as flagged_reports, avg(posterior) as avg_posterior from cleaning_records where action in ('flag', 'repair') group by device_id, ts / 60 having count(*) >= 2 ) select case when l.remaining_budget < 980.0 then 'near_cap' else 'ok' end as budget_band, count(*) as hourly_groups, sum(coalesce(e.flagged_reports, 0)) as flagged_reports, avg(h.cleaned_mean) as avg_cleaned_mean, avg(h.uncertainty_proxy) as avg_uncertainty_proxy, sum(h.repair_count) as repair_count from hourly h join privacy_ledger l using(device_id) left join events e on e.device_id = h.device_id and e.hour_id = h.hour_id group by budget_band"
indexed_base,provenance_event_drilldown,provenance,0,200000,100,113.20111399982125,1766767.0655636464,"select c.report_id, r.device_id, r.ts, c.operator, c.posterior, p.transform, w.logp_fault - w.logp_normal as llr_component from cleaning_records c join reports r using(report_id) join provenance_edges p on p.output_report_id = c.report_id join mechanism_weights w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket and w.stuck_bucket = coalesce(c.stuck_bucket, r.report_bucket) where c.action in ('flag', 'repair') order by c.posterior desc, r.ts desc limit 100"
indexed_base,provenance_event_drilldown,provenance,1,200000,100,110.98341799515765,1802071.0085602722,"select c.report_id, r.device_id, r.ts, c.operator, c.posterior, p.transform, w.logp_fault - w.logp_normal as llr_component from cleaning_records c join reports r using(report_id) join provenance_edges p on p.output_report_id = c.report_id join mechanism_weights w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket and w.stuck_bucket = coalesce(c.stuck_bucket, r.report_bucket) where c.action in ('flag', 'repair') order by c.posterior desc, r.ts desc limit 100"
indexed_base,provenance_event_drilldown,provenance,2,200000,100,111.22507500112988,1798155.6766580585,"select c.report_id, r.device_id, r.ts, c.operator, c.posterior, p.transform, w.logp_fault - w.logp_normal as llr_component from cleaning_records c join reports r using(report_id) join provenance_edges p on p.output_report_id = c.report_id join mechanism_weights w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket and w.stuck_bucket = coalesce(c.stuck_bucket, r.report_bucket) where c.action in ('flag', 'repair') order by c.posterior desc, r.ts desc limit 100"
materialized_batch,candidate_likelihood_topk,query_processing,0,200000,96,0.06756700167898089,2960024790.654831,"select mechanism_id, epsilon, stuck_bucket, fault_loglik, normal_loglik, llr from candidate_likelihoods order by llr desc limit 96"
materialized_batch,candidate_likelihood_topk,query_processing,1,200000,96,0.06018200656399131,3323252437.376622,"select mechanism_id, epsilon, stuck_bucket, fault_loglik, normal_loglik, llr from candidate_likelihoods order by llr desc limit 96"
materialized_batch,candidate_likelihood_topk,query_processing,2,200000,96,0.05322799552232027,3757421222.3741045,"select mechanism_id, epsilon, stuck_bucket, fault_loglik, normal_loglik, llr from candidate_likelihoods order by llr desc limit 96"
materialized_batch,privacy_budget_accounting,privacy_accounting,0,200000,1,9.484669004450552,21086661.000626665,"select count(*) as reports, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from privacy_budget_trace where remaining_budget < 1000.0"
materialized_batch,privacy_budget_accounting,privacy_accounting,1,200000,1,9.329363994766027,21437688.5832951,"select count(*) as reports, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from privacy_budget_trace where remaining_budget < 1000.0"
materialized_batch,privacy_budget_accounting,privacy_accounting,2,200000,1,9.283147010137327,21544418.049353004,"select count(*) as reports, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from privacy_budget_trace where remaining_budget < 1000.0"
materialized_batch,uncertainty_privacy_dashboard,end_to_end_analytics,0,200000,1,1.428260002285242,140030526.43075934,"select case when l.remaining_budget < 980.0 then 'near_cap' else 'ok' end as budget_band, count(*) as hourly_groups, sum(coalesce(e.flagged_reports, 0)) as flagged_reports, avg(h.cleaned_mean) as avg_cleaned_mean, avg(h.uncertainty_proxy) as avg_uncertainty_proxy, sum(h.repair_count) as repair_count from repair_uncertainty_analytics h join privacy_ledger l using(device_id) left join cleaned_event_windows e on e.device_id = h.device_id and e.hour_id = h.hour_id group by budget_band"
materialized_batch,uncertainty_privacy_dashboard,end_to_end_analytics,1,200000,1,1.3369030057219788,149599484.13908482,"select case when l.remaining_budget < 980.0 then 'near_cap' else 'ok' end as budget_band, count(*) as hourly_groups, sum(coalesce(e.flagged_reports, 0)) as flagged_reports, avg(h.cleaned_mean) as avg_cleaned_mean, avg(h.uncertainty_proxy) as avg_uncertainty_proxy, sum(h.repair_count) as repair_count from repair_uncertainty_analytics h join privacy_ledger l using(device_id) left join cleaned_event_windows e on e.device_id = h.device_id and e.hour_id = h.hour_id group by budget_band"
materialized_batch,uncertainty_privacy_dashboard,end_to_end_analytics,2,200000,1,1.3317139964783564,150182396.91772324,"select case when l.remaining_budget < 980.0 then 'near_cap' else 'ok' end as budget_band, count(*) as hourly_groups, sum(coalesce(e.flagged_reports, 0)) as flagged_reports, avg(h.cleaned_mean) as avg_cleaned_mean, avg(h.uncertainty_proxy) as avg_uncertainty_proxy, sum(h.repair_count) as repair_count from repair_uncertainty_analytics h join privacy_ledger l using(device_id) left join cleaned_event_windows e on e.device_id = h.device_id and e.hour_id = h.hour_id group by budget_band"
materialized_batch,provenance_event_drilldown,provenance,0,200000,100,113.07328499970026,1768764.3902848507,"select c.report_id, r.device_id, r.ts, c.operator, c.posterior, p.transform, w.logp_fault - w.logp_normal as llr_component from cleaning_records c join reports r using(report_id) join provenance_edges p on p.output_report_id = c.report_id join mechanism_weights w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket and w.stuck_bucket = coalesce(c.stuck_bucket, r.report_bucket) where c.action in ('flag', 'repair') order by c.posterior desc, r.ts desc limit 100"
materialized_batch,provenance_event_drilldown,provenance,1,200000,100,111.25039799662773,1797746.3775550942,"select c.report_id, r.device_id, r.ts, c.operator, c.posterior, p.transform, w.logp_fault - w.logp_normal as llr_component from cleaning_records c join reports r using(report_id) join provenance_edges p on p.output_report_id = c.report_id join mechanism_weights w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket and w.stuck_bucket = coalesce(c.stuck_bucket, r.report_bucket) where c.action in ('flag', 'repair') order by c.posterior desc, r.ts desc limit 100"
materialized_batch,provenance_event_drilldown,provenance,2,200000,100,112.40666000230704,1779254.0050197665,"select c.report_id, r.device_id, r.ts, c.operator, c.posterior, p.transform, w.logp_fault - w.logp_normal as llr_component from cleaning_records c join reports r using(report_id) join provenance_edges p on p.output_report_id = c.report_id join mechanism_weights w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket and w.stuck_bucket = coalesce(c.stuck_bucket, r.report_bucket) where c.action in ('flag', 'repair') order by c.posterior desc, r.ts desc limit 100"
incremental_mv,candidate_likelihood_topk,query_processing,0,200000,96,1.5210470010060817,131488376.01186022,"select c.mechanism_id, c.epsilon, w.stuck_bucket, sum(c.n * w.logp_fault) as fault_loglik, sum(c.n * w.logp_normal) as normal_loglik, sum(c.n * (w.logp_fault - w.logp_normal)) as llr from mv_report_counts_inc c join mechanism_weights w on w.mechanism_id = c.mechanism_id and w.epsilon = c.epsilon and w.report_bucket = c.report_bucket group by c.mechanism_id, c.epsilon, w.stuck_bucket order by llr desc limit 96"
incremental_mv,candidate_likelihood_topk,query_processing,1,200000,96,1.5331229951698333,130452677.72390616,"select c.mechanism_id, c.epsilon, w.stuck_bucket, sum(c.n * w.logp_fault) as fault_loglik, sum(c.n * w.logp_normal) as normal_loglik, sum(c.n * (w.logp_fault - w.logp_normal)) as llr from mv_report_counts_inc c join mechanism_weights w on w.mechanism_id = c.mechanism_id and w.epsilon = c.epsilon and w.report_bucket = c.report_bucket group by c.mechanism_id, c.epsilon, w.stuck_bucket order by llr desc limit 96"
incremental_mv,candidate_likelihood_topk,query_processing,2,200000,96,1.4516890078084543,137770554.79804897,"select c.mechanism_id, c.epsilon, w.stuck_bucket, sum(c.n * w.logp_fault) as fault_loglik, sum(c.n * w.logp_normal) as normal_loglik, sum(c.n * (w.logp_fault - w.logp_normal)) as llr from mv_report_counts_inc c join mechanism_weights w on w.mechanism_id = c.mechanism_id and w.epsilon = c.epsilon and w.report_bucket = c.report_bucket group by c.mechanism_id, c.epsilon, w.stuck_bucket order by llr desc limit 96"
incremental_mv,privacy_budget_accounting,privacy_accounting,0,200000,1,0.11180299043189734,1788860917.1131804,"select count(*) as devices, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from privacy_ledger_inc where remaining_budget < 1000.0"
incremental_mv,privacy_budget_accounting,privacy_accounting,1,200000,1,0.10069301060866565,1986235179.493064,"select count(*) as devices, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from privacy_ledger_inc where remaining_budget < 1000.0"
incremental_mv,privacy_budget_accounting,privacy_accounting,2,200000,1,0.10322799789719284,1937458868.466912,"select count(*) as devices, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from privacy_ledger_inc where remaining_budget < 1000.0"
incremental_mv,uncertainty_privacy_dashboard,end_to_end_analytics,0,200000,1,1.802087004762143,110982432.85229059,"with h as ( select device_id, hour_id, reports, cleaned_sum / reports as cleaned_mean, uncertainty_sum / reports as uncertainty_proxy, repair_count from repair_uncertainty_inc ), e as ( select device_id, hour_id, flagged_reports, posterior_sum / flagged_reports as avg_posterior from event_windows_inc where flagged_reports >= 2 ) select case when l.remaining_budget < 980.0 then 'near_cap' else 'ok' end as budget_band, count(*) as hourly_groups, sum(coalesce(e.flagged_reports, 0)) as flagged_reports, avg(h.cleaned_mean) as avg_cleaned_mean, avg(h.uncertainty_proxy) as avg_uncertainty_proxy, sum(h.repair_count) as repair_count from h join privacy_ledger_inc l using(device_id) left join e on e.device_id = h.device_id and e.hour_id = h.hour_id group by budget_band"
incremental_mv,uncertainty_privacy_dashboard,end_to_end_analytics,1,200000,1,1.670539000770077,119721838.22574927,"with h as ( select device_id, hour_id, reports, cleaned_sum / reports as cleaned_mean, uncertainty_sum / reports as uncertainty_proxy, repair_count from repair_uncertainty_inc ), e as ( select device_id, hour_id, flagged_reports, posterior_sum / flagged_reports as avg_posterior from event_windows_inc where flagged_reports >= 2 ) select case when l.remaining_budget < 980.0 then 'near_cap' else 'ok' end as budget_band, count(*) as hourly_groups, sum(coalesce(e.flagged_reports, 0)) as flagged_reports, avg(h.cleaned_mean) as avg_cleaned_mean, avg(h.uncertainty_proxy) as avg_uncertainty_proxy, sum(h.repair_count) as repair_count from h join privacy_ledger_inc l using(device_id) left join e on e.device_id = h.device_id and e.hour_id = h.hour_id group by budget_band"
incremental_mv,uncertainty_privacy_dashboard,end_to_end_analytics,2,200000,1,1.65956599812489,120513435.57651575,"with h as ( select device_id, hour_id, reports, cleaned_sum / reports as cleaned_mean, uncertainty_sum / reports as uncertainty_proxy, repair_count from repair_uncertainty_inc ), e as ( select device_id, hour_id, flagged_reports, posterior_sum / flagged_reports as avg_posterior from event_windows_inc where flagged_reports >= 2 ) select case when l.remaining_budget < 980.0 then 'near_cap' else 'ok' end as budget_band, count(*) as hourly_groups, sum(coalesce(e.flagged_reports, 0)) as flagged_reports, avg(h.cleaned_mean) as avg_cleaned_mean, avg(h.uncertainty_proxy) as avg_uncertainty_proxy, sum(h.repair_count) as repair_count from h join privacy_ledger_inc l using(device_id) left join e on e.device_id = h.device_id and e.hour_id = h.hour_id group by budget_band"
incremental_mv,provenance_event_drilldown,provenance,0,200000,100,40.372955991188064,4953811.161205354,"select c.report_id, r.device_id, r.ts, c.operator, c.posterior, p.transform, w.logp_fault - w.logp_normal as llr_component from cleaning_records c join reports r using(report_id) join provenance_edges p on p.output_report_id = c.report_id join mechanism_weights w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket and w.stuck_bucket = coalesce(c.stuck_bucket, r.report_bucket) where c.action in ('flag', 'repair') order by c.posterior desc, r.ts desc limit 100"
incremental_mv,provenance_event_drilldown,provenance,1,200000,100,40.3314790019067,4958905.672428845,"select c.report_id, r.device_id, r.ts, c.operator, c.posterior, p.transform, w.logp_fault - w.logp_normal as llr_component from cleaning_records c join reports r using(report_id) join provenance_edges p on p.output_report_id = c.report_id join mechanism_weights w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket and w.stuck_bucket = coalesce(c.stuck_bucket, r.report_bucket) where c.action in ('flag', 'repair') order by c.posterior desc, r.ts desc limit 100"
incremental_mv,provenance_event_drilldown,provenance,2,200000,100,40.28059700794984,4965169.705913935,"select c.report_id, r.device_id, r.ts, c.operator, c.posterior, p.transform, w.logp_fault - w.logp_normal as llr_component from cleaning_records c join reports r using(report_id) join provenance_edges p on p.output_report_id = c.report_id join mechanism_weights w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket and w.stuck_bucket = coalesce(c.stuck_bucket, r.report_bucket) where c.action in ('flag', 'repair') order by c.posterior desc, r.ts desc limit 100"
