method,epsilon,weak_positive_windows,matched_negative_windows,auroc,auprc,recall_at_5pct_fpr,precision_at_k,value_hit_rate_pm1
identity_channel_hmm_scan,1.0,51,255,0.6133794694348328,0.2939405775704755,0.1568627450980392,0.3137254901960784,
privatized_bucket_count,1.0,51,255,0.372164552095348,0.14192438102048394,0.0,0.058823529411764705,
privsaf_hmm_scan,1.0,51,255,0.8036139946174546,0.4839270719600141,0.39215686274509803,0.5490196078431373,0.6078431372549019
identity_channel_hmm_scan,2.0,51,255,0.7061899269511726,0.5046892119913821,0.43137254901960786,0.49019607843137253,
privatized_bucket_count,2.0,51,255,0.6659361783929258,0.26809243075566946,0.13725490196078433,0.3333333333333333,
privsaf_hmm_scan,2.0,51,255,0.8150711264898116,0.4382888011789423,0.21568627450980393,0.4117647058823529,0.8431372549019608
