panel,station_id,label_code,label,epsilon,seed,method,calibration,sample_rule,n_rows,positive_rows,fault_rate,normalization_p01,normalization_p99,auroc,auprc,precision_at_k,estimated_bucket,estimated_fault_rate,runtime_sec,selected_by_auprc
hadisd_multistation_streak_pmldp,701045-26649,DSS,dew point straight string,2.0,0,privsaf_mixture,all_nonflagged_nonlabel_rows,full,58610,469,0.008002047432178808,-34.0,12.0,0.46987272210718967,0.007112252123701467,0.0,15,0.01,0.00888452198705636,1
hadisd_multistation_streak_pmldp,701045-26649,DSS,dew point straight string,2.0,0,privsaf_hmm,all_nonflagged_nonlabel_rows,full,58610,469,0.008002047432178808,-34.0,12.0,0.35017173345483293,0.005614030806343294,0.0042643923240938165,6,0.1608306887890287,0.6081545419874601,0
hadisd_multistation_streak_pmldp,701045-26649,DSS,dew point straight string,2.0,1,pm_column_likelihood_scan,all_nonflagged_nonlabel_rows,full,58610,469,0.008002047432178808,-34.0,12.0,0.43293043684808735,0.0064983946269558624,0.0,0,1.0,0.13994651500252075,0
hadisd_multistation_streak_pmldp,701045-26649,DSS,dew point straight string,2.0,1,privsaf_mixture,all_nonflagged_nonlabel_rows,full,58610,469,0.008002047432178808,-34.0,12.0,0.5200470850053556,0.008699134080983812,0.0,29,0.01,0.008918407984310761,0
hadisd_multistation_streak_pmldp,701045-26649,DSS,dew point straight string,2.0,1,privsaf_hmm,all_nonflagged_nonlabel_rows,full,58610,469,0.008002047432178808,-34.0,12.0,0.5781449838380918,0.012584101763586692,0.0255863539445629,28,0.20408184882980682,0.6112410250061657,1
hadisd_multistation_streak_pmldp,701045-26649,DSS,dew point straight string,2.0,2,pm_column_likelihood_scan,all_nonflagged_nonlabel_rows,full,58610,469,0.008002047432178808,-34.0,12.0,0.45293798852132466,0.007174466711987694,0.0042643923240938165,0,1.0,0.1399034270143602,0
hadisd_multistation_streak_pmldp,701045-26649,DSS,dew point straight string,2.0,2,privsaf_mixture,all_nonflagged_nonlabel_rows,full,58610,469,0.008002047432178808,-34.0,12.0,0.539584784126553,0.008400901820599055,0.0,23,0.01,0.009189372998662293,0
hadisd_multistation_streak_pmldp,701045-26649,DSS,dew point straight string,2.0,2,privsaf_hmm,all_nonflagged_nonlabel_rows,full,58610,469,0.008002047432178808,-34.0,12.0,0.5518762581767162,0.009178419634419267,0.01279317697228145,28,0.2086012965112037,0.6051629509893246,1
hadisd_multistation_streak_pmldp,701045-26649,DSS,dew point straight string,4.0,0,pm_column_likelihood_scan,all_nonflagged_nonlabel_rows,full,58610,469,0.008002047432178808,-34.0,12.0,0.38778342657833254,0.0058707565816539615,0.006396588486140725,22,1.0,0.13997380499495193,0
hadisd_multistation_streak_pmldp,701045-26649,DSS,dew point straight string,4.0,0,privsaf_mixture,all_nonflagged_nonlabel_rows,full,58610,469,0.008002047432178808,-34.0,12.0,0.4792190729330934,0.008303664625954076,0.0,24,0.01,0.00907617699704133,1
hadisd_multistation_streak_pmldp,701045-26649,DSS,dew point straight string,4.0,0,privsaf_hmm,all_nonflagged_nonlabel_rows,full,58610,469,0.008002047432178808,-34.0,12.0,0.45398509006613547,0.007815557284668909,0.0,30,0.11133536592825341,0.5963343679904938,0
hadisd_multistation_streak_pmldp,701045-26649,DSS,dew point straight string,4.0,1,pm_column_likelihood_scan,all_nonflagged_nonlabel_rows,full,58610,469,0.008002047432178808,-34.0,12.0,0.38474168873119236,0.006003569879889127,0.008528784648187633,22,1.0,0.1399510899791494,0
hadisd_multistation_streak_pmldp,701045-26649,DSS,dew point straight string,4.0,1,privsaf_mixture,all_nonflagged_nonlabel_rows,full,58610,469,0.008002047432178808,-34.0,12.0,0.4798070303980152,0.008148473281892058,0.0,24,0.01,0.008974322001449764,1
