panel,dataset_id,dataset,case,epsilon,seed,method,calibration,label_rule,n_calibration,n_test,dropout_rows,dropout_rate,normalization_p01,normalization_p99,auroc,auprc,recall_at_5pct_fpr,precision_at_k,estimated_symbol,estimated_dropout_rate,runtime_sec
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,1.0,2,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,0.9999999077695528,0.9999992197365009,1.0,0.999623423084165,32,0.10557205094402058,0.5544873999897391
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,2.0,0,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,1.0,1.0,1.0,1.0,32,0.10574625676967186,9.85000078799203e-05
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,2.0,0,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,0.9999867230078991,0.9998551830334517,1.0,0.9964225192995669,32,0.10574625676967186,0.0011588000052142888
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,2.0,0,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,0.9999999077695528,0.9999992198032714,1.0,0.999623423084165,32,0.10557205094402058,0.563181400008034
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,2.0,1,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,1.0,1.0,1.0,1.0,32,0.10574625676967186,9.14999982342124e-05
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,2.0,1,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,0.9999867230078991,0.9998551830334517,1.0,0.9964225192995669,32,0.10574625676967186,0.0008748000109335408
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,2.0,1,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,0.9999999077695528,0.9999992197632523,1.0,0.999623423084165,32,0.10557205094402058,0.6194627999939257
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,2.0,2,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,1.0,1.0,1.0,1.0,32,0.10574625676967186,9.109999518841505e-05
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,2.0,2,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,0.9999867230078991,0.9998551830334517,1.0,0.9964225192995669,32,0.10574625676967186,0.0017545999871799722
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,2.0,2,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,0.9999999077695528,0.9999992196697503,1.0,0.999623423084165,32,0.10557205094402058,0.6208895000017947
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,4.0,0,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,1.0,1.0,1.0,1.0,32,0.10574625676967186,0.00015010000788606703
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,4.0,0,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,0.9999867230078991,0.9998551830334517,1.0,0.9964225192995669,32,0.10574625676967186,0.0011031000030925497
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,4.0,0,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,0.9999999077695527,0.9999992197098398,1.0,0.999623423084165,32,0.10557205094402058,0.5953229000006104
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,4.0,1,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,1.0,1.0,1.0,1.0,32,0.10574625676967186,9.040000441018492e-05
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,4.0,1,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,0.9999867230078991,0.9998551830334517,1.0,0.9964225192995669,32,0.10574625676967186,0.0024370999890379608
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,4.0,1,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,0.9999999077695527,0.9999992196964615,1.0,0.999623423084165,32,0.10557205094402058,0.6348265000124229
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,4.0,2,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,1.0,1.0,1.0,1.0,32,0.10574625676967186,9.800000407267362e-05
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,4.0,2,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,0.9999867230078991,0.9998551830334517,1.0,0.9964225192995669,32,0.10574625676967186,0.0009037999989232048
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,4.0,2,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,0.9999999077695528,0.9999992197231528,1.0,0.999623423084165,32,0.10557205094402058,0.5828448000102071
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,0.5,0,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,1.0,1.0,1.0,1.0,32,0.2752129001734742,0.00010550000297371298
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,0.5,0,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,0.9999978833209641,0.9999922518220266,1.0,0.9995702313587852,32,0.2752129001734742,0.0009283000108553097
