dataset_id,dataset,target,epsilon,seed,fault_mode,dropout_length,rho_normal,rho_dropout,fault_rate,method,auroc,auprc,recall_at_1pct_fpr,median_detection_delay,segment_iou_at_1pct_fpr
air_quality,UCI Air Quality,C6H6(GT),0.5,1,dropout,64,0.01,0.5,0.15008337965536409,rolling_missing_fraction,0.9935942155366615,0.970149097673942,0.8,0.0,0.8645833333333334
air_quality,UCI Air Quality,C6H6(GT),0.5,2,dropout,64,0.01,0.5,0.15008337965536409,privsaf_dropout_hmm,0.9999103747305187,0.9995050827536012,1.0,0.0,0.9440559440559441
air_quality,UCI Air Quality,C6H6(GT),0.5,2,dropout,64,0.01,0.5,0.15008337965536409,rolling_missing_fraction,0.9932042244991884,0.9663706009647874,0.75,4.0,0.8200692041522492
air_quality,UCI Air Quality,C6H6(GT),0.5,0,dropout,64,0.01,0.75,0.15008337965536409,privsaf_dropout_hmm,0.9997044788411695,0.9981993910409899,1.0,0.0,0.9440559440559441
air_quality,UCI Air Quality,C6H6(GT),0.5,0,dropout,64,0.01,0.75,0.15008337965536409,rolling_missing_fraction,0.9942785165806749,0.9524315859612207,0.8,0.0,0.8846153846153846
air_quality,UCI Air Quality,C6H6(GT),0.5,1,dropout,64,0.01,0.75,0.15008337965536409,privsaf_dropout_hmm,0.9998740401618099,0.9993196204333715,1.0,0.0,0.9405594405594405
air_quality,UCI Air Quality,C6H6(GT),0.5,1,dropout,64,0.01,0.75,0.15008337965536409,rolling_missing_fraction,0.9934634110893104,0.9674369752303682,0.8,0.0,0.8668941979522184
air_quality,UCI Air Quality,C6H6(GT),0.5,2,dropout,64,0.01,0.75,0.15008337965536409,privsaf_dropout_hmm,0.9999709323450331,0.9998386501495355,1.0,0.0,0.9440559440559441
air_quality,UCI Air Quality,C6H6(GT),0.5,2,dropout,64,0.01,0.75,0.15008337965536409,rolling_missing_fraction,0.9948041566746603,0.9759516496807717,0.75,3.0,0.8561643835616438
air_quality,UCI Air Quality,C6H6(GT),1.0,0,dropout,16,0.01,0.25,0.15008337965536409,privsaf_dropout_hmm,0.9340721362304097,0.870067834187166,0.9411764705882353,1.0,0.6363636363636364
air_quality,UCI Air Quality,C6H6(GT),1.0,0,dropout,16,0.01,0.25,0.15008337965536409,rolling_missing_fraction,0.9292905069883488,0.7653169887265955,0.8823529411764706,3.0,0.5596026490066225
air_quality,UCI Air Quality,C6H6(GT),1.0,1,dropout,16,0.01,0.25,0.15008337965536409,privsaf_dropout_hmm,0.9559213235472227,0.8665206116897569,0.8235294117647058,2.0,0.5769230769230769
air_quality,UCI Air Quality,C6H6(GT),1.0,1,dropout,16,0.01,0.25,0.15008337965536409,rolling_missing_fraction,0.9343628127800789,0.7664499373971532,0.7647058823529411,4.0,0.531986531986532
air_quality,UCI Air Quality,C6H6(GT),1.0,2,dropout,16,0.01,0.25,0.15008337965536409,privsaf_dropout_hmm,0.9553859942349151,0.840831223074487,0.8235294117647058,3.0,0.5034965034965035
air_quality,UCI Air Quality,C6H6(GT),1.0,2,dropout,16,0.01,0.25,0.15008337965536409,rolling_missing_fraction,0.9411101421892789,0.7215744471812913,0.7647058823529411,3.0,0.4983388704318937
air_quality,UCI Air Quality,C6H6(GT),1.0,0,dropout,16,0.01,0.5,0.15008337965536409,privsaf_dropout_hmm,0.9960904004069472,0.9790177747578166,1.0,0.0,0.8356643356643356
air_quality,UCI Air Quality,C6H6(GT),1.0,0,dropout,16,0.01,0.5,0.15008337965536409,rolling_missing_fraction,0.9859482111280673,0.901945586182459,1.0,1.0,0.7133757961783439
air_quality,UCI Air Quality,C6H6(GT),1.0,1,dropout,16,0.01,0.5,0.15008337965536409,privsaf_dropout_hmm,0.9935833151660489,0.9733933713019716,1.0,0.0,0.8111888111888111
air_quality,UCI Air Quality,C6H6(GT),1.0,1,dropout,16,0.01,0.5,0.15008337965536409,rolling_missing_fraction,0.9809849090424629,0.879768883014966,0.8823529411764706,2.0,0.615916955017301
air_quality,UCI Air Quality,C6H6(GT),1.0,2,dropout,16,0.01,0.5,0.15008337965536409,privsaf_dropout_hmm,0.9912675919870164,0.9651652203842279,1.0,1.0,0.7937062937062938
air_quality,UCI Air Quality,C6H6(GT),1.0,2,dropout,16,0.01,0.5,0.15008337965536409,rolling_missing_fraction,0.98633699101325,0.9085792564570903,0.9411764705882353,3.0,0.658703071672355
