repair_method,cases,mae,fault_mae,clean_mae,false_clean_repair,downstream_mean_error,downstream_std_error,downstream_p95_error
ldp_window_glr_repair,120,0.18994200814422965,0.6341308852523434,0.0788804443632827,0.12895094882959665,0.1103788467147318,0.07061917438867218,0.13527700383440747
linear_interpolation,120,0.04321554531440837,0.21605573493198724,0.0,0.0,0.008847066483213626,0.009286177744720242,0.017307760593866597
no_repair,120,0.14879740542182382,0.7439099558074218,0.0,0.0,0.139984680889426,0.06249043712087375,0.13624863679876867
privsaf_repair,120,0.12400062993822013,0.489272163451069,0.03267226685103058,0.07114589895621021,0.0915625590499976,0.045080052130865564,0.11798707991461516
