method,rho_dropout,dropout_length,auroc_mean,auprc_mean,event_recall_mean,median_delay_mean,segment_iou_mean
privsaf_dropout_hmm,0.25,16,0.9638711741638577,0.868794215255654,0.8605285592497869,1.8,0.5764687048151615
rolling_missing_fraction,0.25,16,0.9452134128704167,0.7708308251989924,0.8165956237567491,2.2666666666666666,0.5502735164446126
privsaf_dropout_hmm,0.25,64,0.9966677362012154,0.9840491789643386,0.9855555555555556,1.1444444444444444,0.8695244388157773
rolling_missing_fraction,0.25,64,0.9861170340811921,0.9096768107435573,0.8633333333333334,7.222222222222222,0.6217402748520773
privsaf_dropout_hmm,0.5,16,0.9941340654847878,0.9732972125651307,0.9986928104575162,0.13333333333333333,0.8302638743583626
rolling_missing_fraction,0.5,16,0.9852713672991098,0.9006561090898582,0.9482807615799943,0.7333333333333333,0.6903766750674242
privsaf_dropout_hmm,0.5,64,0.9995343782806988,0.9976083136998011,0.9955555555555555,0.0,0.9342985681568359
rolling_missing_fraction,0.5,64,0.9926044387306553,0.9513566464145523,0.8974074074074074,6.044444444444444,0.711323792088523
privsaf_dropout_hmm,0.75,16,0.9988932549345748,0.9945318573836126,1.0,0.0,0.9170360989258627
rolling_missing_fraction,0.75,16,0.9940656439395918,0.9548220503194933,0.9845410628019323,0.24444444444444444,0.8125521741947266
privsaf_dropout_hmm,0.75,64,0.999891420850248,0.9994484020104916,1.0,0.0,0.9427725671820161
rolling_missing_fraction,0.75,64,0.9943561708763312,0.9621791287474266,0.8825925925925926,7.333333333333333,0.7130928802002579
