scale_rows,devices,query_name,design,rep,input_rows,output_rows,elapsed_ms,throughput_rows_per_sec,query
200000,2000,likelihood_join_direct_reports,base_tables,0,200000,96,3830.128281013458,52217.57218718525,"select r.mechanism_id, r.epsilon, w.stuck_bucket, sum(w.logp_fault) as fault_loglik, sum(w.logp_normal) as normal_loglik, sum(w.logp_fault - w.logp_normal) as llr from reports as r not indexed join mechanism_weights as w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket group by r.mechanism_id, r.epsilon, w.stuck_bucket"
200000,2000,likelihood_join_direct_reports,base_tables,1,200000,96,3848.3771559986053,51969.95821686883,"select r.mechanism_id, r.epsilon, w.stuck_bucket, sum(w.logp_fault) as fault_loglik, sum(w.logp_normal) as normal_loglik, sum(w.logp_fault - w.logp_normal) as llr from reports as r not indexed join mechanism_weights as w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket group by r.mechanism_id, r.epsilon, w.stuck_bucket"
200000,2000,likelihood_join_direct_reports,base_tables,2,200000,96,3822.9715939960442,52315.3246323093,"select r.mechanism_id, r.epsilon, w.stuck_bucket, sum(w.logp_fault) as fault_loglik, sum(w.logp_normal) as normal_loglik, sum(w.logp_fault - w.logp_normal) as llr from reports as r not indexed join mechanism_weights as w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket group by r.mechanism_id, r.epsilon, w.stuck_bucket"
200000,2000,likelihood_join_materialized_counts,materialized_counts,0,200000,96,1.1874069896293804,168434245.16342542,"select c.mechanism_id, c.epsilon, w.stuck_bucket, sum(c.n * w.logp_fault) as fault_loglik, sum(c.n * w.logp_normal) as normal_loglik, sum(c.n * (w.logp_fault - w.logp_normal)) as llr from mv_report_counts c join mechanism_weights w on w.mechanism_id = c.mechanism_id and w.epsilon = c.epsilon and w.report_bucket = c.report_bucket group by c.mechanism_id, c.epsilon, w.stuck_bucket"
200000,2000,likelihood_join_materialized_counts,materialized_counts,1,200000,96,1.114610000513494,179434959.23045838,"select c.mechanism_id, c.epsilon, w.stuck_bucket, sum(c.n * w.logp_fault) as fault_loglik, sum(c.n * w.logp_normal) as normal_loglik, sum(c.n * (w.logp_fault - w.logp_normal)) as llr from mv_report_counts c join mechanism_weights w on w.mechanism_id = c.mechanism_id and w.epsilon = c.epsilon and w.report_bucket = c.report_bucket group by c.mechanism_id, c.epsilon, w.stuck_bucket"
200000,2000,likelihood_join_materialized_counts,materialized_counts,2,200000,96,1.3481420028256252,148352324.59252208,"select c.mechanism_id, c.epsilon, w.stuck_bucket, sum(c.n * w.logp_fault) as fault_loglik, sum(c.n * w.logp_normal) as normal_loglik, sum(c.n * (w.logp_fault - w.logp_normal)) as llr from mv_report_counts c join mechanism_weights w on w.mechanism_id = c.mechanism_id and w.epsilon = c.epsilon and w.report_bucket = c.report_bucket group by c.mechanism_id, c.epsilon, w.stuck_bucket"
200000,2000,candidate_topk_lookup,persisted_candidates,0,96,10,0.02584500180091709,3714451.279186737,"select epsilon, stuck_bucket, llr from candidate_likelihoods order by llr desc limit 10"
200000,2000,candidate_topk_lookup,persisted_candidates,1,96,10,0.009911003871820867,9686203.460473748,"select epsilon, stuck_bucket, llr from candidate_likelihoods order by llr desc limit 10"
200000,2000,candidate_topk_lookup,persisted_candidates,2,96,10,0.009019000572152436,10644194.911841441,"select epsilon, stuck_bucket, llr from candidate_likelihoods order by llr desc limit 10"
200000,2000,budget_window_direct_reports,base_window,0,200000,1,86.33522799937055,2316551.4777056957,"select count(*) as reports, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from ( select 1000.0 - sum(epsilon) over ( partition by device_id order by ts rows between unbounded preceding and current row ) as remaining_budget from reports as r not indexed )"
