dataset_id,dataset,epsilon,segment_len,stuck_bin,stuck_value,output_bin_for_value,kl_qs_r,chernoff_qs_r,bucket_p_under_fault,bucket_p_under_normal,bucket_delta,bucket_auc,llr_auc,llr_auprc,auroc_gap,hard_case_flag
air_quality,UCI Air Quality,0.5,8,0,-0.96875,14,0.019436503889780826,0.004878561856040999,0.028938861328175212,0.03895278780419297,-0.01001392647601776,0.4426859999999999,0.641907,0.6321188464804152,0.1992210000000001,0.0
air_quality,UCI Air Quality,0.5,16,0,-0.96875,14,0.019436503889780826,0.004878561856040999,0.028938861328175212,0.03895278780419297,-0.01001392647601776,0.43926200000000004,0.7140659999999999,0.7037173504027303,0.2748039999999998,1.0
air_quality,UCI Air Quality,0.5,32,0,-0.96875,14,0.019436503889780826,0.004878561856040999,0.028938861328175212,0.03895278780419297,-0.01001392647601776,0.44484049999999997,0.778997,0.7863413263385067,0.3341565000000001,1.0
air_quality,UCI Air Quality,0.5,64,0,-0.96875,14,0.019436503889780826,0.004878561856040999,0.028938861328175212,0.03895278780419297,-0.01001392647601776,0.36507900000000004,0.86817,0.8719866078342713,0.503091,1.0
air_quality,UCI Air Quality,0.5,8,1,-0.90625,14,0.016116468985346327,0.004055688657951081,0.037814655599667145,0.03895278780419297,-0.0011381322045258269,0.495926,0.640514,0.624417017548029,0.14458800000000005,0.0
air_quality,UCI Air Quality,0.5,16,1,-0.90625,14,0.016116468985346327,0.004055688657951081,0.037814655599667145,0.03895278780419297,-0.0011381322045258269,0.5034725,0.6785990000000001,0.6780544567401015,0.17512650000000007,0.0
air_quality,UCI Air Quality,0.5,32,1,-0.90625,14,0.016116468985346327,0.004055688657951081,0.037814655599667145,0.03895278780419297,-0.0011381322045258269,0.507813,0.7553529999999999,0.7398692903162416,0.24753999999999998,1.0
air_quality,UCI Air Quality,0.5,64,1,-0.90625,14,0.016116468985346327,0.004055688657951081,0.037814655599667145,0.03895278780419297,-0.0011381322045258269,0.47584299999999996,0.836025,0.8449378836933912,0.36018200000000006,1.0
air_quality,UCI Air Quality,0.5,8,8,-0.46875,15,0.005933694722994901,0.0014943963704716504,0.04012579427149195,0.037116269026667245,0.003009525244824708,0.502955,0.566369,0.559790651687898,0.06341399999999997,0.0
air_quality,UCI Air Quality,0.5,16,8,-0.46875,15,0.005933694722994901,0.0014943963704716504,0.04012579427149195,0.037116269026667245,0.003009525244824708,0.5116375,0.631165,0.6156052192053382,0.11952750000000001,0.0
air_quality,UCI Air Quality,0.5,32,8,-0.46875,15,0.005933694722994901,0.0014943963704716504,0.04012579427149195,0.037116269026667245,0.003009525244824708,0.521417,0.65357,0.6326418112975445,0.13215299999999996,0.0
air_quality,UCI Air Quality,0.5,64,8,-0.46875,15,0.005933694722994901,0.0014943963704716504,0.04012579427149195,0.037116269026667245,0.003009525244824708,0.538542,0.725677,0.7202628382546936,0.18713500000000005,1.0
air_quality,UCI Air Quality,0.5,8,16,0.03125,16,0.022034545070469768,0.005553329512144939,0.04012579427149195,0.03522674595101888,0.004899048320473075,0.512169,0.64957,0.6414353013197671,0.137401,0.0
air_quality,UCI Air Quality,0.5,16,16,0.03125,16,0.022034545070469768,0.005553329512144939,0.04012579427149195,0.03522674595101888,0.004899048320473075,0.5221419999999999,0.7371590000000001,0.7221013918864374,0.21501700000000024,1.0
air_quality,UCI Air Quality,0.5,32,16,0.03125,16,0.022034545070469768,0.005553329512144939,0.04012579427149195,0.03522674595101888,0.004899048320473075,0.5491729999999999,0.8095439999999999,0.801455071241643,0.260371,1.0
air_quality,UCI Air Quality,0.5,64,16,0.03125,16,0.022034545070469768,0.005553329512144939,0.04012579427149195,0.03522674595101888,0.004899048320473075,0.5488529999999999,0.890814,0.8886244805122048,0.34196100000000007,1.0
air_quality,UCI Air Quality,0.5,8,24,0.53125,17,0.05189634466866966,0.013072664083297362,0.04012579427149195,0.03334473099303154,0.006781063278460411,0.526315,0.7473679999999999,0.7403828472020767,0.22105299999999994,1.0
air_quality,UCI Air Quality,0.5,16,24,0.53125,17,0.05189634466866966,0.013072664083297362,0.04012579427149195,0.03334473099303154,0.006781063278460411,0.5328585000000001,0.8066819999999999,0.8121149333014971,0.2738234999999998,1.0
