method_category,method,dataset_id,fault_mode,epsilon,auroc_mean,auroc_std,auprc_mean,auprc_std,runtime_sec_mean,precision_at_fault_budget_mean,recall_at_fault_budget_mean,fault_rate_error_mean,bucket_acc_mean
channel_ablation,privsaf_hmm_wrong_epsilon_double,air_quality,bias,2.0,0.6718580289810311,0.06748212700588523,0.36538443198478054,0.06285735346201946,0.7361274999990807,0.3574074074074074,0.3574074074074074,0.18312923876317322,
channel_ablation,privsaf_hmm_wrong_epsilon_double,air_quality,bias,4.0,0.6052261086659976,0.20432175083631143,0.271850290385776,0.10932775127675698,0.5494286333341734,0.23240740740740742,0.23240740740740742,0.19375126552279567,
channel_ablation,privsaf_hmm_wrong_epsilon_double,air_quality,iid_stuck,2.0,0.6330550407947907,0.08030350521417126,0.28890937218483664,0.06451345447990392,0.7908221666651419,0.31666666666666665,0.31666666666666665,0.183297011938346,0.16666666666666666
channel_ablation,privsaf_hmm_wrong_epsilon_double,air_quality,iid_stuck,4.0,0.7114251151777212,0.15353678786867897,0.399897113979899,0.1526137404704088,0.5494491000002503,0.3490740740740741,0.3490740740740741,0.1914413212992672,0.5
channel_ablation,privsaf_hmm_wrong_epsilon_double,air_quality,segment_stuck,2.0,0.7503288034386019,0.24657851209780327,0.5695000646005843,0.363941665765252,0.8747694666672032,0.5189814814814815,0.5189814814814815,0.14521110407154192,0.0
channel_ablation,privsaf_hmm_wrong_epsilon_double,air_quality,segment_stuck,4.0,0.8731732427354387,0.10624415875780512,0.6660662982583591,0.21894542178355456,0.5538735000009183,0.6277777777777778,0.6277777777777778,0.17990885086484168,0.16666666666666666
channel_ablation,privsaf_hmm_wrong_epsilon_double,air_quality,template_stuck,2.0,0.7888959668494068,0.025415616015734322,0.5031679897032458,0.04677334200493977,0.8614569999978509,0.4861111111111111,0.4861111111111111,0.1739892302922059,1.0
channel_ablation,privsaf_hmm_wrong_epsilon_double,air_quality,template_stuck,4.0,0.8290537410238592,0.02273290585102525,0.5766129826640062,0.10854161671992861,0.6414054333339058,0.5768518518518518,0.5768518518518518,0.1851230965399416,0.6666666666666666
channel_ablation,privsaf_hmm_wrong_epsilon_double,beijing_air,bias,2.0,0.7099229600694444,0.1156451799960702,0.41823713792867007,0.1397255709552557,0.7172132000014244,0.4166666666666667,0.4166666666666667,0.15196384718295622,
channel_ablation,privsaf_hmm_wrong_epsilon_double,beijing_air,bias,4.0,0.753269314236111,0.02778708223702225,0.3671185560722758,0.06163002794868258,0.7013270666684548,0.33749999999999997,0.33749999999999997,0.18992150305909009,
channel_ablation,privsaf_hmm_wrong_epsilon_double,beijing_air,iid_stuck,2.0,0.5884935619212963,0.15484459105985238,0.2738491472035393,0.10319206534786343,0.7840165500007666,0.29375,0.29375,0.1860272015966207,0.16666666666666666
channel_ablation,privsaf_hmm_wrong_epsilon_double,beijing_air,iid_stuck,4.0,0.6206834129050925,0.24681021658302693,0.34452405007122167,0.19662357308035072,0.711318116666007,0.2923611111111111,0.2923611111111111,0.19018005248492076,0.0
channel_ablation,privsaf_hmm_wrong_epsilon_double,beijing_air,segment_stuck,2.0,0.6314610460069444,0.3919123333425773,0.548712624111181,0.4566850329048821,0.7021832666675133,0.46527777777777785,0.46527777777777785,0.12168231601282585,0.16666666666666666
channel_ablation,privsaf_hmm_wrong_epsilon_double,beijing_air,segment_stuck,4.0,0.5791587094907408,0.44257342801020294,0.5306484919601152,0.45004925874757346,0.7081282666664871,0.45763888888888893,0.45763888888888893,0.17699125089455867,0.3333333333333333
channel_ablation,privsaf_hmm_wrong_epsilon_double,beijing_air,template_stuck,2.0,0.5386404079861111,0.36493503760333734,0.381887059284644,0.4109967636418178,0.7071547333349978,0.29097222222222224,0.29097222222222224,0.1533676302761968,0.0
channel_ablation,privsaf_hmm_wrong_epsilon_double,beijing_air,template_stuck,4.0,0.6018373842592593,0.4137859589207123,0.46843918916991295,0.4225241746159853,0.7092842333331646,0.4305555555555556,0.4305555555555556,0.16671900702520662,0.0
channel_ablation,privsaf_hmm_wrong_epsilon_double,bike_sharing,bias,2.0,0.6244976128472222,0.04022572937727286,0.3248725057376078,0.030974383384393456,0.810414733333649,0.3277777777777778,0.3277777777777778,0.13801446325646946,
channel_ablation,privsaf_hmm_wrong_epsilon_double,bike_sharing,bias,4.0,0.6151725260416666,0.011979469971188003,0.2816247727229107,0.030428350579271346,1.1100597666663816,0.27847222222222223,0.27847222222222223,0.16301180231035692,
channel_ablation,privsaf_hmm_wrong_epsilon_double,bike_sharing,iid_stuck,2.0,0.5144341362847222,0.11271190245403953,0.212737030061351,0.05379971274618511,1.077254033334005,0.203125,0.203125,0.15560042275501196,0.16666666666666666
channel_ablation,privsaf_hmm_wrong_epsilon_double,bike_sharing,iid_stuck,4.0,0.46400245949074065,0.22037197794264074,0.18960283706894568,0.061843154958460565,1.0420643166659527,0.13958333333333334,0.13958333333333334,0.17776980670932088,0.0
channel_ablation,privsaf_hmm_wrong_epsilon_double,bike_sharing,segment_stuck,2.0,0.5788094979745371,0.3802412073866768,0.46548147686833263,0.37389793780745567,0.83249534999959,0.3729166666666666,0.3729166666666666,0.11875096873488916,0.3333333333333333
channel_ablation,privsaf_hmm_wrong_epsilon_double,bike_sharing,segment_stuck,4.0,0.521825267650463,0.4294608184905049,0.4486060570609034,0.36608123964970674,1.1275247333336058,0.36944444444444446,0.36944444444444446,0.17131313410102444,0.5
channel_ablation,privsaf_hmm_wrong_epsilon_double,bike_sharing,template_stuck,2.0,0.8423961950231482,0.003591895588236699,0.5725783439183375,0.01687265841811677,0.7350805666659047,0.5486111111111112,0.5486111111111112,0.07786822105196424,0.0
channel_ablation,privsaf_hmm_wrong_epsilon_double,bike_sharing,template_stuck,4.0,0.8955808738425924,0.010268225502832988,0.6706544390666305,0.04244521069432816,1.0658012999992934,0.6236111111111112,0.6236111111111112,0.09690806508630095,0.0
channel_ablation,privsaf_hmm_wrong_epsilon_double,household_power,bias,2.0,0.6929705584490741,0.042497598395067775,0.3486449443346277,0.05867509380233377,1.1257047666658764,0.35625,0.35625,0.1625731942900477,
channel_ablation,privsaf_hmm_wrong_epsilon_double,household_power,bias,4.0,0.47292824074074075,0.08499170894074176,0.18274397759007943,0.03595928971427641,1.1002452666665097,0.075,0.075,0.18952464781429612,
channel_ablation,privsaf_hmm_wrong_epsilon_double,household_power,iid_stuck,2.0,0.5979267939814815,0.10227349979407459,0.27239950932095974,0.07278973939829302,0.8601718166658733,0.28854166666666664,0.28854166666666664,0.16914211540091928,0.0
channel_ablation,privsaf_hmm_wrong_epsilon_double,household_power,iid_stuck,4.0,0.49635127314814814,0.16301111486829087,0.19592995312197956,0.043980758791629666,1.1140109833334766,0.1579861111111111,0.1579861111111111,0.18551488039132172,0.0
channel_ablation,privsaf_hmm_wrong_epsilon_double,household_power,segment_stuck,2.0,0.7306490523726851,0.30687172447165634,0.5918884868508161,0.38805688123121046,1.132744233333142,0.5368055555555555,0.5368055555555555,0.11886947305402124,0.0
channel_ablation,privsaf_hmm_wrong_epsilon_double,household_power,segment_stuck,4.0,0.7557669632523148,0.23483451017699167,0.5951045183607797,0.34239985119851185,1.1320495833327489,0.5590277777777778,0.5590277777777778,0.16800922542268645,0.0
channel_ablation,privsaf_hmm_wrong_epsilon_double,household_power,template_stuck,2.0,0.9640917968750001,0.01267471540914938,0.9088956018405646,0.030715418400057523,1.1709115333324007,0.8284722222222222,0.8284722222222222,0.07942043883880186,0.0
channel_ablation,privsaf_hmm_wrong_epsilon_double,household_power,template_stuck,4.0,0.9504249855324073,0.007812530467283979,0.8446483944458363,0.01916054331796078,1.0614698333326185,0.7416666666666667,0.7416666666666667,0.16702942268727594,0.3333333333333333
channel_ablation,privsaf_hmm_wrong_epsilon_double,nab,bias,2.0,0.4921535011574074,0.025683387148951825,0.18701903705093473,0.016253827913553707,0.7012855333317324,0.10625,0.10625,0.03633530867056847,
channel_ablation,privsaf_hmm_wrong_epsilon_double,nab,bias,4.0,0.5845985243055556,0.006167740889606712,0.20899207546911058,0.002700940997532585,0.7028778666657066,0.03888888888888889,0.03888888888888889,0.1006601969824412,
channel_ablation,privsaf_hmm_wrong_epsilon_double,nab,iid_stuck,2.0,0.5584273726851853,0.06460028455191624,0.2126459641988214,0.028747722302994903,0.7026143000002776,0.18506944444444443,0.18506944444444443,0.0563736646429045,0.0
channel_ablation,privsaf_hmm_wrong_epsilon_double,nab,iid_stuck,4.0,0.6660872395833334,0.06680149404930952,0.2499451759678183,0.037676918391267286,0.7020110999989507,0.15590277777777778,0.15590277777777778,0.13571865520071644,0.0
channel_ablation,privsaf_hmm_wrong_epsilon_double,nab,segment_stuck,2.0,0.6564386212384259,0.2654581420708421,0.40015725148776293,0.2844487732387982,0.7072314333333148,0.3069444444444444,0.3069444444444444,0.03197723925586412,0.0
channel_ablation,privsaf_hmm_wrong_epsilon_double,nab,segment_stuck,4.0,0.6305331307870371,0.07913803955596738,0.23564247465013824,0.03858716914592107,0.7073315999999371,0.034374999999999996,0.034374999999999996,0.10076722815380933,0.0
channel_ablation,privsaf_hmm_wrong_epsilon_double,nab,template_stuck,2.0,0.6078757957175926,0.1645125445638742,0.24297567225007977,0.10002044485492562,0.7096439666674996,0.1826388888888889,0.1826388888888889,0.0670272586066629,0.3333333333333333
channel_ablation,privsaf_hmm_wrong_epsilon_double,nab,template_stuck,4.0,0.6777803096064815,0.12534462325263762,0.27609052168936205,0.10005509127365304,0.7051315333337698,0.1625,0.1625,0.09121107105381872,0.0
channel_ablation,privsaf_hmm_wrong_epsilon_half,air_quality,bias,2.0,0.18107417702622705,0.031008807449722176,0.11969346159192974,0.003601047344826073,0.814138999999462,0.022222222222222223,0.022222222222222223,0.2702743426885548,
channel_ablation,privsaf_hmm_wrong_epsilon_half,air_quality,bias,4.0,0.12278588525982549,0.03981728951328089,0.1148620117189693,0.0025034452077102544,0.5521964999995058,0.0,0.0,0.2536518391450823,
channel_ablation,privsaf_hmm_wrong_epsilon_half,air_quality,iid_stuck,2.0,0.48857134584201994,0.026803709037502885,0.1953272622373894,0.016003478012832896,0.7488833166668579,0.1851851851851852,0.1851851851851852,0.36159251451866536,0.16666666666666666
channel_ablation,privsaf_hmm_wrong_epsilon_half,air_quality,iid_stuck,4.0,0.5015622989215762,0.045818023253890776,0.19598888076316268,0.023674607609934683,0.5498934000000494,0.18611111111111112,0.18611111111111112,0.3968663520276803,0.0
channel_ablation,privsaf_hmm_wrong_epsilon_half,air_quality,segment_stuck,2.0,0.9175568810645253,0.08923667530001175,0.7528325321672616,0.26065616601372865,0.8735032500014009,0.7416666666666667,0.7416666666666667,0.24560899030641833,0.0
channel_ablation,privsaf_hmm_wrong_epsilon_half,air_quality,segment_stuck,4.0,0.9304439168146604,0.07461168478280153,0.7539086163386983,0.26300433778070315,0.5591862166669065,0.7490740740740741,0.7490740740740741,0.2429981227691167,0.0
channel_ablation,privsaf_hmm_wrong_epsilon_half,air_quality,template_stuck,2.0,0.6660798393946413,0.03933075438146453,0.30693870880497975,0.030028458856618076,0.8718793333331026,0.2962962962962963,0.2962962962962963,0.4981010268840446,1.0
channel_ablation,privsaf_hmm_wrong_epsilon_half,air_quality,template_stuck,4.0,0.7553631637196613,0.051166131452292894,0.43385044903653885,0.10038100849333834,0.5590965666669945,0.38611111111111107,0.38611111111111107,0.517601059957714,1.0
channel_ablation,privsaf_hmm_wrong_epsilon_half,beijing_air,bias,2.0,0.20635597511574075,0.07479457531447734,0.1240684862155943,0.008781779245370895,0.7123320666663252,0.04305555555555555,0.04305555555555555,0.43904183940443836,
channel_ablation,privsaf_hmm_wrong_epsilon_half,beijing_air,bias,4.0,0.17164496527777776,0.024787861294233982,0.11884735360300779,0.0029235618515953713,0.7054828999995758,0.0006944444444444445,0.0006944444444444445,0.3479831363400303,
channel_ablation,privsaf_hmm_wrong_epsilon_half,beijing_air,iid_stuck,2.0,0.48266854745370374,0.02732169579032999,0.19190182747610673,0.015060880401409845,0.8029582000005272,0.1798611111111111,0.1798611111111111,0.3685061238479282,0.3333333333333333
channel_ablation,privsaf_hmm_wrong_epsilon_half,beijing_air,iid_stuck,4.0,0.5002616825810186,0.039441092027313725,0.19816496716783413,0.026216711178843086,0.7122034166653369,0.18611111111111112,0.18611111111111112,0.40209286835505426,0.5
channel_ablation,privsaf_hmm_wrong_epsilon_half,beijing_air,segment_stuck,2.0,0.9209420211226852,0.08926416304444605,0.7887250122424055,0.23170265391037356,0.7092144666676177,0.7472222222222222,0.7472222222222222,0.24537344721560436,0.5
channel_ablation,privsaf_hmm_wrong_epsilon_half,beijing_air,segment_stuck,4.0,0.9399607566550926,0.06820913808157684,0.8168684196092411,0.20352533813676477,0.7094439666664888,0.7913194444444445,0.7913194444444445,0.24057753611595264,0.5
channel_ablation,privsaf_hmm_wrong_epsilon_half,beijing_air,template_stuck,2.0,0.5570750144675926,0.07975988966431728,0.2393027074979218,0.058920956838884445,0.709621866667779,0.2354166666666667,0.2354166666666667,0.41403698592975924,0.6666666666666666
channel_ablation,privsaf_hmm_wrong_epsilon_half,beijing_air,template_stuck,4.0,0.7905403645833333,0.1761355556039019,0.5763262865072297,0.34107977585341864,0.7012009333314685,0.5506944444444445,0.5506944444444445,0.3270271539452774,1.0
channel_ablation,privsaf_hmm_wrong_epsilon_half,bike_sharing,bias,2.0,0.7168995949074075,0.030531822280176542,0.3666968033682496,0.05500584890368001,0.7740720000001602,0.4055555555555556,0.4055555555555556,0.024565008679495588,
channel_ablation,privsaf_hmm_wrong_epsilon_half,bike_sharing,bias,4.0,0.6926009114583334,0.02634473772433175,0.40168900754060205,0.07563512584997092,1.088211733333689,0.41944444444444445,0.41944444444444445,0.00409091737911745,
channel_ablation,privsaf_hmm_wrong_epsilon_half,bike_sharing,iid_stuck,2.0,0.5514180049189815,0.04471550075979661,0.23118823201111863,0.02606157000238179,1.040520616666375,0.24027777777777778,0.24027777777777778,0.1517692175354571,0.5
channel_ablation,privsaf_hmm_wrong_epsilon_half,bike_sharing,iid_stuck,4.0,0.6092704716435186,0.0603580976106101,0.26123902117556913,0.040025450126776795,1.036126116666613,0.2809027777777778,0.2809027777777778,0.14060112151739249,0.3333333333333333
channel_ablation,privsaf_hmm_wrong_epsilon_half,bike_sharing,segment_stuck,2.0,0.9881816044560185,0.004845834830039854,0.9577794490807663,0.01768194037142941,0.7750760666670734,0.8833333333333333,0.8833333333333333,0.11754356268634479,0.6666666666666666
channel_ablation,privsaf_hmm_wrong_epsilon_half,bike_sharing,segment_stuck,4.0,0.9974247685185186,0.0011369087490184762,0.9903585206375548,0.004112671313615239,1.1302119333334606,0.9430555555555555,0.9430555555555555,0.07539783515814212,0.5
channel_ablation,privsaf_hmm_wrong_epsilon_half,bike_sharing,template_stuck,2.0,0.801927806712963,0.02458036531330596,0.513452846675473,0.03563154482189649,0.7366618333338314,0.5006944444444444,0.5006944444444444,0.2047398037774748,1.0
channel_ablation,privsaf_hmm_wrong_epsilon_half,bike_sharing,template_stuck,4.0,0.936970847800926,0.008682719750652006,0.748858319891165,0.024596748306986854,1.0734150999984802,0.6965277777777777,0.6965277777777777,0.20379335283004896,1.0
channel_ablation,privsaf_hmm_wrong_epsilon_half,household_power,bias,2.0,0.31680013020833336,0.07254624642814446,0.14673282442084942,0.019839964590623156,1.0993306666665983,0.08194444444444444,0.08194444444444444,0.24693872638994774,
channel_ablation,privsaf_hmm_wrong_epsilon_half,household_power,bias,4.0,0.19717954282407404,0.07826164628513171,0.12190756377587941,0.009387023354263061,1.1394040999997135,0.027777777777777776,0.027777777777777776,0.10164563481171769,
channel_ablation,privsaf_hmm_wrong_epsilon_half,household_power,iid_stuck,2.0,0.48495008680555557,0.04833830831947003,0.19531061644513828,0.022214775597231336,0.8271439166668036,0.19062500000000002,0.19062500000000002,0.20989440535219958,0.16666666666666666
channel_ablation,privsaf_hmm_wrong_epsilon_half,household_power,iid_stuck,4.0,0.5047866030092593,0.061129701405662935,0.2038466660397226,0.03057327975743044,1.1188374666671734,0.19618055555555555,0.19618055555555555,0.12366610150835722,0.3333333333333333
channel_ablation,privsaf_hmm_wrong_epsilon_half,household_power,segment_stuck,2.0,0.9652012803819444,0.04351298233707553,0.8904727346273563,0.1269998495791934,1.1707768833330192,0.826388888888889,0.826388888888889,0.1386423655410476,0.6666666666666666
