dataset_id,dataset,target,epsilon,seed,fault_mode,fault_rate,n_test,evidence_type,stuck_value,segment_length,bias,method,fault_ratio_true,fault_ratio_estimated,fault_ratio_abs_error,stuck_bucket_true,stuck_bucket_estimated,stuck_bucket_top1,posterior_brier,posterior_ece,template_source,template_range,template_flank_delta
air_quality,UCI Air Quality,C6H6(GT),2.0,0,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privsaf_mixture,0.2001111728738188,0.463030303030303,0.2629191301564842,1,1,1.0,0.22841223095546515,0.2637204194368154,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,0,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privsaf_hmm,0.2001111728738188,0.44929685353558907,0.24918568066177027,1,2,0.0,0.38941182180443795,0.37407641990695795,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privsaf_mixture,0.2001111728738188,0.476969696969697,0.2768585240958782,1,1,1.0,0.238669407158758,0.27658190416628403,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privsaf_hmm,0.2001111728738188,0.4069417417214971,0.2068305688476783,1,1,1.0,0.3636570562217804,0.35977566859657906,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,2,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privsaf_mixture,0.2001111728738188,0.3515151515151515,0.1514039786413327,1,1,1.0,0.1805454040283543,0.1509175329739702,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,2,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privsaf_hmm,0.2001111728738188,0.3080315390234035,0.10792036614958472,1,2,0.0,0.30532312808860657,0.29412685542311595,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,0,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,0.4277108433734942,,,privsaf_mixture,0.2001111728738188,0.1493939393939394,0.05071723347987939,22,23,0.0,0.11417281259929855,0.051148414382510964,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,0,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,0.4277108433734942,,,privsaf_hmm,0.2001111728738188,0.22140591931599904,0.02129474644218024,22,2,0.0,0.2938351596754872,0.2970119760870671,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,0.4277108433734942,,,privsaf_mixture,0.2001111728738188,0.17030303030303032,0.02980814257078848,22,22,1.0,0.1185890537047937,0.030754563798031227,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,0.4277108433734942,,,privsaf_hmm,0.2001111728738188,0.18956650956818538,0.010544663305633417,22,1,0.0,0.2675750315277033,0.2656230114271901,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,2,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,0.4277108433734942,,,privsaf_mixture,0.2001111728738188,0.15636363636363637,0.04374753651018243,22,22,1.0,0.12414604829140462,0.044714520150881135,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,2,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,0.4277108433734942,,,privsaf_hmm,0.2001111728738188,0.08353823860502346,0.11657293426879534,22,18,0.0,0.2186845038661708,0.21299601547443878,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,0,segment_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,48.0,,privsaf_mixture,0.2001111728738188,0.4351515151515151,0.23504034227769632,1,1,1.0,0.2175923176851503,0.23583534039194523,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,0,segment_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,48.0,,privsaf_hmm,0.2001111728738188,0.4002492249664619,0.20013805209264313,1,1,1.0,0.18700355585274017,0.20013805209264313,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,segment_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,48.0,,privsaf_mixture,0.2001111728738188,0.3933333333333333,0.1932221604595145,1,1,1.0,0.19283425573276614,0.19406359231064563,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,segment_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,48.0,,privsaf_hmm,0.2001111728738188,0.38522520102767954,0.18511402815386074,1,1,1.0,0.16794463081911243,0.18511402815386072,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,2,segment_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,48.0,,privsaf_mixture,0.2001111728738188,0.35848484848484846,0.15837367561102966,1,0,0.0,0.18608920359438222,0.15878244998757457,,,
