panel,method,fault_mode,cases,auroc_mean,auroc_std,auprc_mean,auprc_std,runtime_sec_mean
controlled_pre_pm_faults,ldp_postmean_iforest,iid_stuck,60,0.5998777570051198,0.10592355192754316,0.27967856643114913,0.09383250142091051,6.483322067651898e-07
controlled_pre_pm_faults,ldp_postmean_iforest,segment_stuck,60,0.7646854817067397,0.13027137506758332,0.4577244143871274,0.17763780273891916,5.899996419126789e-07
controlled_pre_pm_faults,ldp_postmean_iforest,template_stuck,30,0.6645318811600375,0.15077992812693214,0.3637702471225449,0.2024414888121373,5.000004117997985e-07
controlled_pre_pm_faults,ldp_postmean_lof,iid_stuck,60,0.5018117916446988,0.03415065104447377,0.20377566457049948,0.01833674084301821,6.733331247232854e-07
controlled_pre_pm_faults,ldp_postmean_lof,segment_stuck,60,0.7099120898578255,0.1083199972744895,0.37165660273619405,0.1130259202445808,5.733345460612327e-07
controlled_pre_pm_faults,ldp_postmean_lof,template_stuck,30,0.5836873951376019,0.09609540085326969,0.2595318967057717,0.06418779708482224,5.733343035293122e-07
controlled_pre_pm_faults,ldp_postmean_subseq_nn,iid_stuck,60,0.5129512981271154,0.024208231753714112,0.20962336724836345,0.014573479602299527,6.899996757662544e-07
controlled_pre_pm_faults,ldp_postmean_subseq_nn,segment_stuck,60,0.6104398276712665,0.14499555459022492,0.34351170897011135,0.1669341252316473,5.399999887837718e-07
controlled_pre_pm_faults,ldp_postmean_subseq_nn,template_stuck,30,0.5670479499149841,0.08474350767469316,0.26362173852294035,0.11285533484239571,5.19998623834302e-07
controlled_pre_pm_faults,pm_subseq_nn,iid_stuck,60,0.5137733670974168,0.023069376718863638,0.21049754958944034,0.013947702078872904,6.683326015869776e-07
controlled_pre_pm_faults,pm_subseq_nn,segment_stuck,60,0.6255972583535014,0.15184703711175046,0.35000957599430965,0.1683096407862777,5.866682234530648e-07
controlled_pre_pm_faults,pm_subseq_nn,template_stuck,30,0.5669571503386965,0.07919971045352098,0.25460835389424774,0.09100816762674399,4.6333395099888244e-07
controlled_pre_pm_faults,pm_window_iforest,iid_stuck,60,0.6000526065456758,0.10568425349856901,0.2629471730513987,0.07740644015085782,9.333336493000388e-07
controlled_pre_pm_faults,pm_window_iforest,segment_stuck,60,0.7140515840681745,0.13559000765033755,0.36961437198361574,0.15940289562412724,1.0300010520343979e-06
controlled_pre_pm_faults,pm_window_iforest,template_stuck,30,0.7288367185765698,0.10660602005210883,0.3887047171770414,0.14125101536145818,9.333336493000388e-07
controlled_pre_pm_faults,pm_window_lof,iid_stuck,60,0.5235294401308096,0.04143065954126209,0.21191342746139893,0.021960422542244413,6.56666331148396e-07
controlled_pre_pm_faults,pm_window_lof,segment_stuck,60,0.6935268298061161,0.08883660121482087,0.3475502515293099,0.09765734487232164,4.983347025699914e-07
controlled_pre_pm_faults,pm_window_lof,template_stuck,30,0.6421275807158955,0.08406147073000247,0.2913917240174213,0.06900596577329227,5.80001506023109e-07
controlled_pre_pm_faults,privsaf_matched_hmm,segment_stuck,60,0.9303325478079034,0.14156353238368818,0.8331887180098418,0.2515363509807728,0.9679708916662396
controlled_pre_pm_faults,privsaf_matched_hmm,template_stuck,30,0.8508666467498488,0.1398118331545459,0.6125758190180514,0.2902465283395788,0.9636353100000027
controlled_pre_pm_faults,privsaf_matched_mixture,iid_stuck,60,0.7610445001507082,0.18293674400506002,0.49270399521994807,0.22186342100353312,0.023762478333325513
