semantic_layer,dataset,epsilon,stuck_value_type,TV_sep,KL_sep,selected_action,selected_method,validation_AUPRC,validation_lift,test_AUPRC,test_lift,prevalence,abstain_flag,separation_screen_pass,gate_stage,candidate_bucket_source,evidence_file,ungated_privsaf_validation_AUPRC,ungated_privsaf_validation_lift,ungated_privsaf_test_AUPRC,ungated_privsaf_test_lift,tv_threshold,kl_threshold,utility_lift_threshold,threshold_source,test_label_use
controlled_central_segment,air_quality,0.5,mode_bucket,0.05857549345130739,0.0121269465886022,route_non_privsaf,ldp_distribution_surprise,0.07297767826178995,0.9730357101571993,0.07575750801509008,1.0101001068678677,0.07500000000000001,1,0,separation_fail_route_or_abstain,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.07890942416973462,1.0521256555964615,0.09243892529910334,1.2325190039880445,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,beijing_air,0.5,mode_bucket,0.06187974686226047,0.013748582236120098,route_non_privsaf,ldp_window_glr,0.07528887306687379,1.0038516408916505,0.14784980653494856,1.9713307537993139,0.07500000000000001,1,0,separation_fail_route_or_abstain,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.08098064740738012,1.0797419654317348,0.11413674246000519,1.521823232800069,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,bike_sharing,0.5,mode_bucket,0.06761889971653451,0.0146909245780162,route_non_privsaf,ldp_window_glr,0.078682560208552,1.0491008027806932,0.08747364151529166,1.1663152202038887,0.07500000000000001,1,0,separation_fail_route_or_abstain,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.05527436722909733,0.736991563054631,0.06318603502605508,0.8424804670140675,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,household_power,0.5,mode_bucket,0.0448651236212214,0.007531073861252001,route_non_privsaf,ldp_window_glr,0.09121173148543676,1.2161564198058235,0.10621907199551177,1.41625429327349,0.07500000000000001,1,0,separation_fail_route_or_abstain,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.07947769097498,1.0597025463330665,0.1085809683421991,1.4477462445626545,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,nab,0.5,mode_bucket,0.036887077998948595,0.004015800434845899,route_non_privsaf,ldp_window_glr,0.08779594123928361,1.1706125498571147,0.07375053635763212,0.9833404847684282,0.07500000000000001,1,0,separation_fail_route_or_abstain,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.053973895319280846,0.7196519375904111,0.07698964179120638,1.026528557216085,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,air_quality,1.0,median,0.09544684072873638,0.0254871271184921,route_non_privsaf,ldp_window_glr,0.0855501146393421,1.1406681951912279,0.08339161731579448,1.1118882308772595,0.07500000000000001,1,0,separation_fail_route_or_abstain,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.05885583646637292,0.7847444862183055,0.056036842641386496,0.7471579018851532,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,beijing_air,1.0,median,0.08779010972176231,0.023366539905774794,route_non_privsaf,ldp_window_glr,0.09694158702768321,1.2925544937024427,0.08664316121793722,1.155242149572496,0.07500000000000001,1,0,separation_fail_route_or_abstain,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.07224865309395152,0.9633153745860201,0.059024517167049914,0.7869935622273321,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,bike_sharing,1.0,median,0.11441516744638067,0.03472070601896931,route_non_privsaf,ldp_window_glr,0.06355517161325078,0.847402288176677,0.06900781924111948,0.9201042565482597,0.07500000000000001,0,1,separation_pass_validation_route,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.05232108097703067,0.6976144130270755,0.04807775302961464,0.6410367070615284,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,household_power,1.0,median,0.09536325321971538,0.0277920317874154,route_non_privsaf,ldp_window_glr,0.1393222280398279,1.8576297071977053,0.09636575067035857,1.2848766756047807,0.07500000000000001,1,0,separation_fail_route_or_abstain,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.18557764667650095,2.474368622353346,0.08976635194566801,1.1968846926089067,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,nab,1.0,median,0.0791921571973653,0.0179269188061333,route_non_privsaf,ldp_window_glr,0.07528705014743306,1.0038273352991074,0.07126673629863764,0.9502231506485017,0.07500000000000001,1,0,separation_fail_route_or_abstain,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.06747544899951072,0.8996726533268095,0.06763853396550588,0.9018471195400783,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
