panel,dataset_id,dataset,case,epsilon,seed,method,calibration,label_rule,n_calibration,n_test,fault_rows,fault_rate,normalization_p01,normalization_p99,auroc,auprc,recall_at_5pct_fpr,precision_at_k,estimated_bucket,estimated_fault_rate,runtime_sec
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2004,2.0,0,pm_column_likelihood_scan,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,12123,48405,6888,0.14229934924078091,-0.03168004989624043,2.5809998893737793,0.7450697609646604,0.2908980358732125,0.1801684088269454,0.29471544715447157,6,0.1935543848775953,0.005564900013268925
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2004,2.0,0,pm_llr_cusum,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,12123,48405,6888,0.14229934924078091,-0.03168004989624043,2.5809998893737793,0.6662944236463929,0.21437882453774185,0.08652729384436701,0.21443089430894308,31,0.2,0.10800380000728182
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2004,2.0,0,pm_window_glr,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,12123,48405,6888,0.14229934924078091,-0.03168004989624043,2.5809998893737793,0.9727274026840997,0.9586700163335222,0.9382984901277585,0.9234901277584204,31,0.1995041834521227,0.582562900002813
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2004,2.0,0,generic_pm_hmm,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,12123,48405,6888,0.14229934924078091,-0.03168004989624043,2.5809998893737793,0.9401394582860799,0.796507989372782,0.8207026713124274,0.7649535423925667,31,0.223403732792432,4.686803399992641
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2004,2.0,0,privsaf_mixture,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,12123,48405,6888,0.14229934924078091,-0.03168004989624043,2.5809998893737793,0.7869863077792154,0.3805418515417355,0.3141695702671312,0.44497677119628337,31,0.1215151515151515,0.013577200006693602
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2004,2.0,0,privsaf_hmm_global,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,12123,48405,6888,0.14229934924078091,-0.03168004989624043,2.5809998893737793,0.9406848319022557,0.8098182816669269,0.8472706155632985,0.7839721254355401,31,0.1937910985554816,0.880491499992786
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2004,2.0,0,privsaf_hmm_scan,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,12123,48405,6888,0.14229934924078091,-0.03168004989624043,2.5809998893737793,0.8387970286131897,0.5425469527036586,0.44686411149825783,0.5378919860627178,31,0.7279442694178377,1.034442799995304
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2004,2.0,1,pm_column_likelihood_scan,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,12123,48405,6888,0.14229934924078091,-0.03168004989624043,2.5809998893737793,0.743785597727665,0.2919299484076986,0.18510452961672474,0.29660278745644597,6,0.1931618634438591,0.005650400009471923
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2004,2.0,1,pm_llr_cusum,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,12123,48405,6888,0.14229934924078091,-0.03168004989624043,2.5809998893737793,0.6423914037200719,0.2025048216762485,0.07070267131242741,0.19802555168408828,31,0.2,0.13983519999601413
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2004,2.0,1,pm_window_glr,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,12123,48405,6888,0.14229934924078091,-0.03168004989624043,2.5809998893737793,0.9644065490209474,0.9328863201076683,0.9303135888501742,0.9128919860627178,31,0.19942154736080983,0.8576539000059711
