panel,method,epsilon,buckets,cases,runs,case_mean_auroc,case_mean_auprc,case_mean_auprc_ci95_low,case_mean_auprc_ci95_high,row_weighted_auroc,row_weighted_auprc,recall_at_1pct_fpr_mean,recall_at_5pct_fpr_mean,precision_at_top_1pct_mean,precision_at_top_5pct_mean,runtime_sec_mean
coops_verified_flat_full_protocol,raw_zero_slope_radius2,0.0,0,40,40,0.9359257546340214,0.8743775392237314,0.7710492868266495,0.9635032203529932,0.9359257546340214,0.8743775392237314,0.8721874331767336,0.8822398778634806,0.160474918381868,0.0448292594174303,0.0
coops_verified_flat_full_protocol,raw_local_range_radius2,0.0,0,40,40,0.9337741867500846,0.8741427894260791,0.7701245820743396,0.963492935688064,0.9337741867500846,0.8741427894260791,0.8726763139260477,0.8819217107224133,0.16081275621970587,0.04483645987825979,0.0
coops_verified_flat_full_protocol,privsaf_range_hmm_r2_fixed_prior,2.0,16,7,14,0.5623456238546016,0.11766770458526958,0.023987868068528873,0.23327000132718592,0.5623456238546016,0.11766770458526958,0.04419092209201865,0.1046366712234912,0.08282229457602593,0.0773987505643711,0.09747433050194688
coops_verified_flat_full_protocol,privsaf_range_hmm_r1_fixed_prior,2.0,16,7,14,0.5815405866562048,0.11407714008377164,0.023830182997814874,0.23164682089556318,0.5815405866562048,0.11407714008377164,0.04444918693295143,0.119767118688656,0.10336829366680113,0.08581347629893633,0.0974015106434568
coops_verified_flat_full_protocol,privsaf_hmm_fixed_prior,2.0,16,7,14,0.6310356979104661,0.10924382266851386,0.02580824963347784,0.2244442463050165,0.6310356979104661,0.10924382266851386,0.05120276757057947,0.16114984280966546,0.09960813692156976,0.09256538822425521,0.09701544342637394
coops_verified_flat_full_protocol,channel_window_glr_5,2.0,16,7,14,0.5169379976347981,0.08612335090194011,0.010508083311705487,0.20133470324337677,0.5169379976347981,0.08612335090194011,0.0236191544958712,0.06728279031194577,0.09986098648145557,0.08422560718762848,0.00033046299774598865
coops_verified_flat_full_protocol,report_frequency,2.0,16,7,14,0.518529302413967,0.08173513960568946,0.009139446834545675,0.19580069317647203,0.518529302413967,0.08173513960568946,0.007374132374132375,0.03970671045886632,0.020044759197211222,0.0831019254197786,0.00030814264443636475
coops_verified_flat_full_protocol,channel_point_glr,2.0,16,7,14,0.5155593477925748,0.0814747618649823,0.008517599195356317,0.19505908717859038,0.5155593477925748,0.0814747618649823,0.005183755183755184,0.040076475828631684,0.017975598199478797,0.08309645511894041,1.9039788250146167e-05
coops_verified_flat_full_protocol,privsaf_range_hmm_r1_fixed_prior,2.0,24,40,80,0.5393234972850804,0.024550582761214836,0.00912394253796257,0.05006075423367925,0.5393234972850804,0.024550582761214836,0.029250213111838792,0.08840234110274242,0.02457681028576551,0.017172936309303104,0.14872595370252384
coops_verified_flat_full_protocol,privsaf_hmm_fixed_prior,2.0,24,40,80,0.5734528884546,0.02049100129938851,0.005164672401989074,0.04548702426411904,0.5734528884546,0.02049100129938851,0.01630129473711998,0.10654002010903832,0.022743893947252156,0.018376334706110848,0.14841247019940057
coops_verified_flat_full_protocol,privsaf_range_hmm_r2_fixed_prior,2.0,24,40,80,0.531884972771052,0.020199017546001348,0.004306024257528752,0.046136685419481016,0.531884972771052,0.020199017546001348,0.018881151445893807,0.07108458483311172,0.023215354213488543,0.01859431831223405,0.14874697531195125
coops_verified_flat_full_protocol,channel_window_glr_5,2.0,24,40,80,0.5083907617951822,0.017606232919460386,0.0033791460576022446,0.04194894603090544,0.5083907617951822,0.017606232919460386,0.012275698915883097,0.054979378208347286,0.02071948214205677,0.016680717221074563,0.0003380839862074936
coops_verified_flat_full_protocol,report_frequency,2.0,24,40,80,0.5108354333121357,0.016450294230286266,0.002705990971767404,0.040802313812693024,0.5108354333121357,0.016450294230286266,0.0024709918550498257,0.06003576738717616,0.005863045214724319,0.015556001791011177,0.0002808966524753487
coops_verified_flat_full_protocol,channel_point_glr,2.0,24,40,80,0.5034028797149069,0.016144984654918246,0.002431006839745131,0.04025702001009458,0.5034028797149069,0.016144984654918242,0.0044996289787956455,0.04189787081164651,0.004333122434801539,0.015334135867454139,1.8362536866334268e-05
