panel,dataset_id,dataset,case,epsilon,seed,method,calibration,label_rule,n_calibration,n_test,fault_rows,fault_rate,normalization_p01,normalization_p99,auroc,auprc,recall_at_5pct_fpr,precision_at_k,estimated_bucket,estimated_fault_rate,runtime_sec
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2004,0.5,0,pm_column_likelihood_scan,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,12123,48405,6888,0.14229934924078091,-0.03168004989624043,2.5809998893737793,0.5519106284827364,0.15824204971161196,0.05937862950058072,0.147938443670151,23,0.18502220844954034,0.005955800006631762
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2004,0.5,0,pm_llr_cusum,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,12123,48405,6888,0.14229934924078091,-0.03168004989624043,2.5809998893737793,0.9373184506622352,0.7549943284841911,0.899390243902439,0.8141695702671312,31,0.2,0.1155027000058908
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2004,0.5,0,pm_window_glr,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,12123,48405,6888,0.14229934924078091,-0.03168004989624043,2.5809998893737793,0.8880469150414771,0.745462477223158,0.6554878048780488,0.6689895470383276,31,0.1998967048858589,0.6150201999989804
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2004,0.5,0,generic_pm_hmm,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,12123,48405,6888,0.14229934924078091,-0.03168004989624043,2.5809998893737793,0.8203863818907202,0.5057191820136336,0.40055168408826947,0.49361207897793263,31,0.1538044962398254,3.5546437999873888
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2004,0.5,0,privsaf_mixture,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,12123,48405,6888,0.14229934924078091,-0.03168004989624043,2.5809998893737793,0.5816524191830854,0.17587388583688734,0.07563879210220674,0.2071718931475029,31,0.1493939393939394,0.011706200006301515
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2004,0.5,0,privsaf_hmm_global,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,12123,48405,6888,0.14229934924078091,-0.03168004989624043,2.5809998893737793,0.819906036280228,0.5020472235580407,0.3854529616724739,0.49404761904761907,31,0.15233852878857196,0.6906686000002082
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2004,0.5,0,privsaf_hmm_scan,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,12123,48405,6888,0.14229934924078091,-0.03168004989624043,2.5809998893737793,0.7015786349165505,0.353743861791706,0.249274099883856,0.36498257839721254,31,0.2621060214306231,0.6716335000091931
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2004,0.5,1,pm_column_likelihood_scan,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,12123,48405,6888,0.14229934924078091,-0.03168004989624043,2.5809998893737793,0.5511881588072021,0.16000519608825048,0.085801393728223,0.15998838559814169,23,0.1836380539200496,0.005502799991518259
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2004,0.5,1,pm_llr_cusum,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,12123,48405,6888,0.14229934924078091,-0.03168004989624043,2.5809998893737793,0.9244572899583527,0.7647118760271363,0.8677409988385598,0.8459639953542393,31,0.2,0.11658850000821985
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2004,0.5,1,pm_window_glr,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,12123,48405,6888,0.14229934924078091,-0.03168004989624043,2.5809998893737793,0.8643002406805523,0.6733030432402921,0.6052555168408827,0.64198606271777,31,0.2,0.6142538999993121
