dataset_id,dataset,target,epsilon,stuck_value,stuck_bucket,normal_fault_l1_separation,normal_fault_l2_separation,min_adjacent_pm_column_tv,pm_condition_number,normal_entropy_bits
air_quality,UCI Air Quality,C6H6(GT),2.0,-0.9337349397590361,1,0.6416421498394739,0.15243084973109602,0.053696307139345076,1209.5800105065223,4.503756459920391
air_quality,UCI Air Quality,C6H6(GT),2.0,0.4277108433734942,22,1.067781074720543,0.23230498376519784,0.053696307139345076,1209.5800105065223,4.503756459920391
air_quality,UCI Air Quality,C6H6(GT),4.0,-0.9337349397590361,1,1.281447617110023,0.3615984485140431,0.19965800309158252,1386.4934968514403,4.503756459920391
air_quality,UCI Air Quality,C6H6(GT),4.0,0.4277108433734942,22,1.630331984657241,0.44841309320346595,0.19965800309158252,1386.4934968514403,4.503756459920391
household_power,UCI Household Power,Global_active_power hourly sample,2.0,-0.9706606833646318,0,0.5241972884566205,0.12104146520329073,0.053696307139345076,1209.5800105065223,3.8684966388902753
household_power,UCI Household Power,Global_active_power hourly sample,2.0,0.3726963067743015,21,1.112112769318192,0.24122281287189792,0.053696307139345076,1209.5800105065223,3.8684966388902753
household_power,UCI Household Power,Global_active_power hourly sample,4.0,-0.9706606833646318,0,0.9608477713500604,0.2723522870364993,0.19965800309158252,1386.4934968514403,3.8684966388902753
household_power,UCI Household Power,Global_active_power hourly sample,4.0,0.3726963067743015,21,1.6523082575477537,0.4745660172539347,0.19965800309158252,1386.4934968514403,3.8684966388902753
bike_sharing,UCI Bike Sharing,cnt,2.0,-0.9891891891891892,0,0.6443075277722501,0.14334525109528756,0.053696307139345076,1209.5800105065223,4.390876282674946
bike_sharing,UCI Bike Sharing,cnt,2.0,0.5171171171171172,24,1.1129872221036048,0.23438934061011754,0.053696307139345076,1209.5800105065223,4.390876282674946
bike_sharing,UCI Bike Sharing,cnt,4.0,-0.9891891891891892,0,1.14844406863702,0.32314191161989564,0.19965800309158252,1386.4934968514403,4.390876282674946
bike_sharing,UCI Bike Sharing,cnt,4.0,0.5171171171171172,24,1.6453364629537255,0.4429939071915862,0.19965800309158252,1386.4934968514403,4.390876282674946
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,2.0,-0.9705014749262537,0,0.617747038498137,0.14375843584894477,0.053696307139345076,1209.5800105065223,4.321845591028612
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,2.0,0.39233038348082605,22,1.112800117894651,0.24021395038413612,0.053696307139345076,1209.5800105065223,4.321845591028612
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,4.0,-0.9705014749262537,0,1.1819683376470171,0.33749543149602573,0.19965800309158252,1386.4934968514403,4.321845591028612
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,4.0,0.39233038348082605,22,1.65656047701468,0.45689430247454954,0.19965800309158252,1386.4934968514403,4.321845591028612
nab,NAB Machine Temperature,value,2.0,-0.4895456012123122,8,1.1417893787999287,0.24542913055005755,0.053696307139345076,1209.5800105065223,4.377532816731976
nab,NAB Machine Temperature,value,2.0,0.9349907260728443,30,0.6966739461648099,0.17075438426673034,0.053696307139345076,1209.5800105065223,4.377532816731976
nab,NAB Machine Temperature,value,4.0,-0.4895456012123122,8,1.664079047416301,0.4563028926151701,0.19965800309158252,1386.4934968514403,4.377532816731976
nab,NAB Machine Temperature,value,4.0,0.9349907260728443,30,1.4074627129122952,0.4073607517045306,0.19965800309158252,1386.4934968514403,4.377532816731976
