panel,x,x_label,epsilon,raw_buckets,devices,trace_length,seed,auroc,auprc,bucket_hit,runtime_ms_per_frame
calibration_contamination,0.0,contamination,2.0,32,1,1799,0,0.9986024245232029,0.9942073922041547,1.0,0.2839918287796822
calibration_contamination,0.0,contamination,2.0,32,1,1799,1,0.9981314184232878,0.9923480641045902,1.0,0.2844831572996743
calibration_contamination,0.0,contamination,2.0,32,1,1799,2,0.998453787352328,0.9942383378991206,1.0,0.2850004447054112
calibration_contamination,0.02,contamination,2.0,32,1,1799,0,0.9985927727588604,0.9941836197343836,1.0,0.2934673151753019
calibration_contamination,0.02,contamination,2.0,32,1,1799,1,0.9981159756003397,0.9922058402640096,1.0,0.4257578098938892
calibration_contamination,0.02,contamination,2.0,32,1,1799,2,0.9986603351092579,0.9950202768072665,1.0,0.41724574764641215
calibration_contamination,0.05,contamination,2.0,32,1,1799,0,0.9985753995830438,0.9941377328220966,1.0,0.42961550861096975
calibration_contamination,0.05,contamination,2.0,32,1,1799,1,0.9979210099606207,0.9913914868177214,1.0,0.41014641467580215
calibration_contamination,0.05,contamination,2.0,32,1,1799,2,0.9989305845108486,0.9960313999377721,1.0,0.39282662590412737
calibration_contamination,0.1,contamination,2.0,32,1,1799,0,0.9985406532314107,0.9940539061302889,1.0,0.39717743190454774
calibration_contamination,0.1,contamination,2.0,32,1,1799,1,0.9972782024554089,0.9888700963909911,1.0,0.4052772651516572
calibration_contamination,0.1,contamination,2.0,32,1,1799,2,0.9992317195583352,0.997157558351941,1.0,0.42452729293719876
calibration_contamination,0.2,contamination,2.0,32,1,1799,0,0.050499961392942626,0.11024436090216552,0.0,0.3715404669288028
calibration_contamination,0.2,contamination,2.0,32,1,1799,1,0.06187746119990734,0.11066019483833382,0.0,0.42861434130832604
calibration_contamination,0.2,contamination,2.0,32,1,1799,2,0.9996119990734307,0.9985719671500644,1.0,0.40781823235520964
calibration_contamination,0.35,contamination,2.0,32,1,1799,0,0.023299359122847647,0.10856150102418129,0.0,0.3979996108925493
calibration_contamination,0.35,contamination,2.0,32,1,1799,1,0.028887730677167787,0.10887585785735829,0.0,0.39429227348361134
calibration_contamination,0.35,contamination,2.0,32,1,1799,2,0.028650297274341756,0.10881977108372133,0.0,0.37827470816820424
bucket_count,8.0,buckets,2.0,8,1,1799,0,0.9970774457570845,0.9893921431313921,1.0,0.09071845469699698
bucket_count,8.0,buckets,2.0,8,1,1799,1,0.9903540267160837,0.9440352136800086,1.0,0.10623724291786
bucket_count,8.0,buckets,2.0,8,1,1799,2,0.9983012894757162,0.9923970798573172,1.0,0.12409132852888417
bucket_count,16.0,buckets,2.0,16,1,1799,0,0.9970349779939773,0.9893818992086415,1.0,0.19365897720351943
bucket_count,16.0,buckets,2.0,16,1,1799,1,0.9910470233958768,0.9524519252718694,1.0,0.21040867147291636
bucket_count,16.0,buckets,2.0,16,1,1799,2,0.9987607134584202,0.9942815800961187,1.0,0.1778788215721729
bucket_count,32.0,buckets,2.0,32,1,1799,0,0.9974017450389931,0.9905478164846749,1.0,0.38694647026779944
bucket_count,32.0,buckets,2.0,32,1,1799,1,0.9921685584124778,0.9601220123704025,0.0,0.38960466925349874
bucket_count,32.0,buckets,2.0,32,1,1799,2,0.9985116979383831,0.9934406966343812,1.0,0.3999516398100034
bucket_count,64.0,buckets,2.0,64,1,1799,0,0.9970504208169253,0.9893178591405929,1.0,0.7968558643675622
bucket_count,64.0,buckets,2.0,64,1,1799,1,0.9919832445371014,0.9591898334016502,0.0,0.7964596442535018
bucket_count,64.0,buckets,2.0,64,1,1799,2,0.998671917226469,0.9941616910942711,1.0,0.8120968871512577
epsilon_mismatch,0.75,assumed_epsilon,2.0,32,1,1799,0,0.9970369083468458,0.9864830878681644,0.0,0.3754254585839166
epsilon_mismatch,0.75,assumed_epsilon,2.0,32,1,1799,1,0.9975928499729751,0.9897129297398694,0.0,0.3818787103967939
epsilon_mismatch,0.75,assumed_epsilon,2.0,32,1,1799,2,0.9980986024245232,0.9930833949050927,0.0,0.3928158977210031
epsilon_mismatch,1.0,assumed_epsilon,2.0,32,1,1799,0,0.9978978457261988,0.9911300211345673,0.0,0.3800186770534575
epsilon_mismatch,1.0,assumed_epsilon,2.0,32,1,1799,1,0.9983379661802178,0.9935174205125166,1.0,0.3859659255123239
epsilon_mismatch,1.0,assumed_epsilon,2.0,32,1,1799,2,0.9983032198285846,0.9936662018135589,0.0,0.3872086158943253
epsilon_mismatch,1.5,assumed_epsilon,2.0,32,1,1799,0,0.9981082541888657,0.9926528769404546,0.0,0.3884859366313694
epsilon_mismatch,1.5,assumed_epsilon,2.0,32,1,1799,1,0.998204771832291,0.9930526867385581,0.0,0.41329088382575124
epsilon_mismatch,1.5,assumed_epsilon,2.0,32,1,1799,2,0.9987143849895761,0.9951261954381123,0.0,0.43841778765522615
epsilon_mismatch,2.0,assumed_epsilon,2.0,32,1,1799,0,0.9979210099606208,0.9922761688999802,1.0,0.39042884936846645
epsilon_mismatch,2.0,assumed_epsilon,2.0,32,1,1799,1,0.9972106401050113,0.9888143581664146,1.0,0.4328141745451419
epsilon_mismatch,2.0,assumed_epsilon,2.0,32,1,1799,2,0.9985329318199367,0.9943462165326798,1.0,0.38543090605997005
epsilon_mismatch,3.0,assumed_epsilon,2.0,32,1,1799,0,0.9934599644815072,0.9774985317059361,1.0,0.41489166204311295
epsilon_mismatch,3.0,assumed_epsilon,2.0,32,1,1799,1,0.9963381206084472,0.9849470702134813,0.0,0.3604551973253625
epsilon_mismatch,3.0,assumed_epsilon,2.0,32,1,1799,2,0.995789900393792,0.9837145550162574,1.0,0.39207165091238466
epsilon_mismatch,4.0,assumed_epsilon,2.0,32,1,1799,0,0.9659543664581886,0.9173096192629093,0.0,0.3844882156650715
epsilon_mismatch,4.0,assumed_epsilon,2.0,32,1,1799,1,0.9600590687977762,0.8933366465776879,0.0,0.36782290161848213
epsilon_mismatch,4.0,assumed_epsilon,2.0,32,1,1799,2,0.9764786502972743,0.9228151242284149,0.0,0.3915906058968132
multi_device_short_traces,64.0,trace_length,2.0,32,4,64,0,0.9769984917043739,0.9204188988696848,,0.39936445307375834
multi_device_short_traces,64.0,trace_length,2.0,32,4,64,1,0.9839743589743589,0.9337201340456245,,0.34865937504946487
multi_device_short_traces,64.0,trace_length,2.0,32,4,64,2,0.8744343891402715,0.7020482287264884,,0.36910429685121926
multi_device_short_traces,64.0,trace_length,2.0,32,16,64,0,0.9515754619155355,0.8599852074714271,,0.3604771484333469
multi_device_short_traces,64.0,trace_length,2.0,32,16,64,1,0.8102787990196079,0.5246241951873727,,0.38141982420825116
multi_device_short_traces,64.0,trace_length,2.0,32,16,64,2,0.7828761312217195,0.555030037007157,,0.4022832031296275
multi_device_short_traces,64.0,trace_length,2.0,32,32,64,0,0.9561739960407241,0.863907027214521,,0.4023358398512755
multi_device_short_traces,64.0,trace_length,2.0,32,32,64,1,0.9011123680241327,0.7042051894570265,,0.39314082032149145
multi_device_short_traces,64.0,trace_length,2.0,32,32,64,2,0.827619779883107,0.639206829638458,,0.3927180664078378
multi_device_short_traces,128.0,trace_length,2.0,32,4,128,0,0.8293033559577677,0.6106904843894119,,0.4116562499802967
multi_device_short_traces,128.0,trace_length,2.0,32,4,128,1,0.9849170437405732,0.9341266648826307,,0.3678765625068081
multi_device_short_traces,128.0,trace_length,2.0,32,4,128,2,0.9955222473604827,0.9824461906585125,,0.3896066406241516
multi_device_short_traces,128.0,trace_length,2.0,32,16,128,0,0.9599358974358976,0.9170107109727237,,0.41059746094163074
multi_device_short_traces,128.0,trace_length,2.0,32,16,128,1,0.9108721012443439,0.7406551466116724,,0.3949722656244603
multi_device_short_traces,128.0,trace_length,2.0,32,16,128,2,0.875667244061086,0.7119635597928217,,0.4228292968804226
multi_device_short_traces,128.0,trace_length,2.0,32,32,128,0,0.9308183534832201,0.8188384411062921,,0.40800578612731897
multi_device_short_traces,128.0,trace_length,2.0,32,32,128,1,0.9626947233220211,0.8960133939304809,,0.4344116210930338
multi_device_short_traces,128.0,trace_length,2.0,32,32,128,2,0.924845561722285,0.7856809990673219,,0.4189948486370554
multi_device_short_traces,256.0,trace_length,2.0,32,4,256,0,0.8153574844571976,0.6957575764034819,,0.45261074217251007
multi_device_short_traces,256.0,trace_length,2.0,32,4,256,1,0.9760102821616451,0.9545430512625339,,0.381882910147624
multi_device_short_traces,256.0,trace_length,2.0,32,4,256,2,0.979184600669536,0.9456938582328219,,0.5050035156273225
multi_device_short_traces,256.0,trace_length,2.0,32,16,256,0,0.9574407430655191,0.8835739814451782,,0.41602011719277243
multi_device_short_traces,256.0,trace_length,2.0,32,16,256,1,0.9641794446437112,0.9239914165167226,,0.4231939453092082
multi_device_short_traces,256.0,trace_length,2.0,32,16,256,2,0.9847082735533237,0.9544359003363141,,0.4137255859433253
multi_device_short_traces,256.0,trace_length,2.0,32,32,256,0,0.979138831599713,0.940456704137242,,0.43944133300755084
multi_device_short_traces,256.0,trace_length,2.0,32,32,256,1,0.9709126352522716,0.9284985477164112,,0.4120179565454407
multi_device_short_traces,256.0,trace_length,2.0,32,32,256,2,0.9630142948947873,0.9085131166799052,,0.4579357421903296
