panel,station_id,label_code,method,runs,epsilons,seeds,sample_rule,n_rows,positive_rows,auroc_mean,auroc_std,auprc_mean,auprc_std,precision_at_k_mean,selected_runs,runtime_sec_mean,selected_by_case_mean_auprc
hadisd_multistation_streak_pmldp,026060-99999,TSS,privsaf_mixture,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,58,0.37105044725444736,0.08214263585122372,0.002051954907602916,0.0012637261520589687,0.020114942528735632,3,0.008476445834579257,1
hadisd_multistation_streak_pmldp,026060-99999,TSS,pm_column_likelihood_scan,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,58,0.36413915429254257,0.09424727644496994,0.0015996130223912156,0.0008650476839578127,0.008620689655172414,3,0.11918447333058187,0
hadisd_multistation_streak_pmldp,026060-99999,TSS,privsaf_hmm,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,58,0.3590321094308478,0.16169339660498222,0.0009230667443341185,0.000306181029824431,0.0,0,0.5098107170003155,0
hadisd_multistation_streak_pmldp,026400-99999,TSS,privsaf_hmm,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,70,0.7549940869598389,0.07148857126537163,0.0069161625060193644,0.007156428028717151,0.019047619047619046,4,0.510171528008262,1
hadisd_multistation_streak_pmldp,026400-99999,TSS,privsaf_mixture,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,70,0.5516092767970396,0.13181759500163248,0.002222223089571765,0.0011456485043191936,0.0,2,0.00847343833205135,0
hadisd_multistation_streak_pmldp,026400-99999,TSS,pm_column_likelihood_scan,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,70,0.4085123696985303,0.0861393455410384,0.001369231932750436,0.00027250654425987984,0.0,0,0.11885609800325862,0
hadisd_multistation_streak_pmldp,026500-99999,DSS,privsaf_mixture,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,178,0.4986512471289175,0.11694349362687918,0.005390870887667153,0.003803709917172895,0.013108614232209737,5,0.008521261503725933,1
hadisd_multistation_streak_pmldp,026500-99999,DSS,pm_column_likelihood_scan,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,178,0.4114986994148608,0.05129351565770403,0.003231584557115057,0.0006274038631164935,0.00749063670411985,1,0.11938779632813142,0
hadisd_multistation_streak_pmldp,026500-99999,DSS,privsaf_hmm,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,178,0.2796038165532216,0.028894149048411536,0.0022614754776451754,8.281986513971302e-05,0.0,0,0.5100453038273068,0
hadisd_multistation_streak_pmldp,026500-99999,TSS,privsaf_hmm,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,200,0.6326625,0.2661741453750409,0.017981762960964206,0.014835395482491017,0.025000000000000005,4,0.5097310846661761,1
hadisd_multistation_streak_pmldp,026500-99999,TSS,privsaf_mixture,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,200,0.5036648427041499,0.13904888746918223,0.007225182526703423,0.0043322972314032895,0.020833333333333332,2,0.008533970161806792,0
hadisd_multistation_streak_pmldp,026500-99999,TSS,pm_column_likelihood_scan,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,200,0.47731353748326644,0.028210502480067366,0.004703321753285345,0.0009690608433052765,0.009166666666666667,0,0.11920798782860705,0
hadisd_multistation_streak_pmldp,026660-99999,DSS,privsaf_mixture,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,214,0.48542376636803025,0.03160950932343302,0.004886531093121117,0.00038678463458349615,0.000778816199376947,5,0.008502104828949086,1
hadisd_multistation_streak_pmldp,026660-99999,DSS,pm_column_likelihood_scan,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,214,0.4390536355414257,0.023616785817411088,0.0037680959846222973,0.00035743577234248936,0.003894080996884735,0,0.11928744583565276,0
hadisd_multistation_streak_pmldp,026660-99999,DSS,privsaf_hmm,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,214,0.3869741778300222,0.034264482260386996,0.0036139619701057433,0.0008980065559610567,0.004672897196261682,1,0.5102195851747334,0
hadisd_multistation_streak_pmldp,026660-99999,TSS,privsaf_mixture,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,629,0.5644064412986274,0.01951102099856224,0.018330024601514994,0.0014076477980128883,0.037360890302066775,5,0.008450963660531366,1
hadisd_multistation_streak_pmldp,026660-99999,TSS,privsaf_hmm,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,629,0.3696164415007461,0.10903308122046329,0.011617981159445625,0.007880909384506835,0.010068892421833599,1,0.5096317141724285,0
hadisd_multistation_streak_pmldp,026660-99999,TSS,pm_column_likelihood_scan,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,629,0.4549980702118716,0.017778033838926118,0.011535747792956645,0.0006584389322440371,0.01086380498145204,0,0.11967933649430051,0
hadisd_multistation_streak_pmldp,031180-99999,TSS,privsaf_hmm,6,"2.0,4.0","0,1,2",full,39765,67,0.37066261969411346,0.09676053227305498,0.003838507555842642,0.00403995782777404,0.017412935323383085,2,0.4058125596687508,1
hadisd_multistation_streak_pmldp,031180-99999,TSS,privsaf_mixture,6,"2.0,4.0","0,1,2",full,39765,67,0.5015693423155771,0.0941850918096918,0.002049346942862154,0.000663523879227852,0.0,3,0.007726561995999266,0
hadisd_multistation_streak_pmldp,031180-99999,TSS,pm_column_likelihood_scan,6,"2.0,4.0","0,1,2",full,39765,67,0.3964822156034278,0.03733978701071446,0.0016998474195943115,0.0004596216701613738,0.0024875621890547263,1,0.09507952049413386,0
hadisd_multistation_streak_pmldp,031394-99999,DSS,privsaf_hmm,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,45,0.8205183924791571,0.0320669616064141,0.032753992574773454,0.02497696283792274,0.06296296296296296,6,0.5092026451651085,1
hadisd_multistation_streak_pmldp,031394-99999,DSS,pm_column_likelihood_scan,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,45,0.7077982777091975,0.08584738757002801,0.002091414591860454,0.0007504935828872429,0.0,0,0.119056753659,0
hadisd_multistation_streak_pmldp,031394-99999,DSS,privsaf_mixture,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,45,0.5905139811015099,0.11728936200463795,0.0012369515097334417,0.000293251250437544,0.0,0,0.008409710004343651,0
hadisd_multistation_streak_pmldp,031394-99999,TSS,privsaf_hmm,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,59,0.4038687119727833,0.09060624391158724,0.0014439538518632802,0.0014290225529099486,0.0,1,0.5101936768381469,1
hadisd_multistation_streak_pmldp,031394-99999,TSS,privsaf_mixture,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,59,0.4735599589436439,0.03444706486542017,0.0013319199647233617,0.0003968310193328337,0.0,2,0.008397024178217785,0
hadisd_multistation_streak_pmldp,031394-99999,TSS,pm_column_likelihood_scan,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,59,0.4712371049816184,0.035350064352344564,0.0012200846622834984,0.00021279458711762303,0.0,3,0.11940331082344831,0
hadisd_multistation_streak_pmldp,033465-99999,TSS,pm_column_likelihood_scan,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,49,0.3643356884304441,0.06123006683180377,0.0007810924185335555,0.0001372728913684003,0.0,5,0.1192845395077408,1
hadisd_multistation_streak_pmldp,033465-99999,TSS,privsaf_mixture,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,49,0.3761954742858886,0.0901054866687447,0.0007759783048506717,0.0001575879570067113,0.0,1,0.008514708669584556,0
hadisd_multistation_streak_pmldp,033465-99999,TSS,privsaf_hmm,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,49,0.278440490728533,0.10971535665918113,0.0006516791438363237,0.00011514949930618419,0.0,0,0.5107748636655742,0
hadisd_multistation_streak_pmldp,033723-99999,DSS,privsaf_hmm,6,"2.0,4.0","0,1,2",full,17003,96,0.5072482921275211,0.09227029580085126,0.028879503599703288,0.029707429950838263,0.06770833333333333,4,0.17415271467568041,1
hadisd_multistation_streak_pmldp,033723-99999,DSS,privsaf_mixture,6,"2.0,4.0","0,1,2",full,17003,96,0.48789671684312214,0.04003928391928402,0.005540444504230081,0.0006867776221668989,0.0,2,0.006225299007686165,0
hadisd_multistation_streak_pmldp,033723-99999,DSS,pm_column_likelihood_scan,6,"2.0,4.0","0,1,2",full,17003,96,0.4636328517773703,0.02663802569919634,0.005074699030850206,0.00024314207302785732,0.0,0,0.040811083497828804,0
hadisd_multistation_streak_pmldp,033723-99999,TSS,privsaf_hmm,6,"2.0,4.0","0,1,2",full,17663,61,0.6794516333526431,0.05353558898760959,0.04256265698330023,0.04828888675384189,0.054644808743169404,6,0.18072054166987073,1
hadisd_multistation_streak_pmldp,033723-99999,TSS,privsaf_mixture,6,"2.0,4.0","0,1,2",full,17663,61,0.511520517725569,0.1029715715669129,0.0038390452017600467,0.0016083815782231658,0.0,0,0.006241774996548581,0
hadisd_multistation_streak_pmldp,033723-99999,TSS,pm_column_likelihood_scan,6,"2.0,4.0","0,1,2",full,17663,61,0.5176684467674127,0.040698326624544034,0.0036254404250222645,0.0004251982545291783,0.0,0,0.042246365502554305,0
hadisd_multistation_streak_pmldp,034970-99999,DSS,privsaf_hmm,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,1015,0.4780299957780045,0.04127435522307453,0.024037987634961063,0.0034991149614559845,0.04696223316912972,5,0.5103197391678501,1
hadisd_multistation_streak_pmldp,034970-99999,DSS,privsaf_mixture,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,1015,0.502100584391891,0.009147519212965015,0.020753242262963763,0.0006574161348076441,0.00541871921182266,1,0.008361718680437965,0
hadisd_multistation_streak_pmldp,034970-99999,DSS,pm_column_likelihood_scan,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,1015,0.46514250617586267,0.016821315281547213,0.018045281405968994,0.0010435740824642926,0.00788177339901478,0,0.11927602133073378,0
hadisd_multistation_streak_pmldp,034970-99999,TSS,privsaf_hmm,6,"2.0,4.0","0,1,2",stratified_cap_50000,50000,1516,0.48980760238831883,0.030609935938298086,0.03731295415596347,0.009130843911305302,0.06321459982409851,5,0.5112114388369567,1
