panel,tier,method,epsilon,buckets,cases,runs,total_test_rows,total_fault_rows,pooled_prevalence,mean_precision_at_top_1pct,precision_at_top_1pct_ci95_low,precision_at_top_1pct_ci95_high,lift_top_1pct_vs_prevalence,mean_precision_at_top_5pct,precision_at_top_5pct_ci95_low,precision_at_top_5pct_ci95_high,lift_top_5pct_vs_prevalence,mean_recall_at_5pct_fpr
coops_verified_flat_full_protocol,all_ge_5,privsaf_range_hmm_r1_fixed_prior,2.0,24,40,80,291283,4556,0.015641146239224395,0.02457681028576551,0.0052541347317466725,0.05525198972960167,1.571292148917611,0.017172936309303104,0.003140358224305666,0.03997835999434998,1.097933364131417,0.08840234110274242
coops_verified_flat_full_protocol,all_ge_5,privsaf_range_hmm_r2_fixed_prior,2.0,24,40,80,291283,4556,0.015641146239224395,0.023215354213488543,0.002788770913770914,0.052705644076912736,1.4842489072360807,0.01859431831223405,0.002311596218020022,0.04363127240143369,1.1888079062648094,0.07108458483311172
coops_verified_flat_full_protocol,all_ge_5,privsaf_hmm_fixed_prior,2.0,24,40,80,291283,4556,0.015641146239224395,0.02274389394725216,0.003085221415445296,0.05133154009553263,1.4541065980328032,0.018376334706110845,0.00389644799336123,0.040856129275032224,1.1748713569359275,0.10654002010903832
coops_verified_flat_full_protocol,all_ge_5,channel_window_glr_5,2.0,24,40,80,291283,4556,0.015641146239224395,0.02071948214205677,0.0017277992277992277,0.052341473936623195,1.3246779887587188,0.016680717221074563,0.0016721070148489503,0.042316992425446266,1.0664638617880295,0.054979378208347286
coops_verified_flat_full_protocol,all_ge_5,report_frequency,2.0,24,40,80,291283,4556,0.015641146239224395,0.005863045214724319,0.0005437100213219615,0.013094647819461253,0.3748475415453345,0.015556001791011177,0.0019620117756501934,0.03779599135723997,0.9945563805292162,0.06003576738717616
coops_verified_flat_full_protocol,all_ge_5,channel_point_glr,2.0,24,40,80,291283,4556,0.015641146239224395,0.004333122434801539,0.0006853281853281853,0.009891537326238818,0.2770335606181512,0.015334135867454139,0.0010919498847926268,0.039758099001094685,0.9803716193765681,0.04189787081164651
coops_verified_flat_full_protocol,all_ge_5,channel_window_glr_5,4.0,24,40,80,291283,4556,0.015641146239224395,0.0161982178073596,0.0006980161131280535,0.03878832190399355,1.0356157764664458,0.01621135476808447,0.0007629260686477038,0.04240799135282589,1.0364556740368631,0.03438529313887033
coops_verified_flat_full_protocol,all_ge_5,privsaf_hmm_fixed_prior,4.0,24,40,80,291283,4556,0.015641146239224395,0.01526443554428629,0.0018581081081081082,0.03503176684146833,0.9759154035659227,0.017408590011829723,0.0022966600896940164,0.04103345924483995,1.1129996322247142,0.0847365681426612
coops_verified_flat_full_protocol,all_ge_5,privsaf_range_hmm_r2_fixed_prior,4.0,24,40,80,291283,4556,0.015641146239224395,0.015230085495943704,0.0001736111111111111,0.03754538120209762,0.9737192698672016,0.015343839936790438,0.0016297043010752687,0.03696456159401098,0.9809920386980091,0.059837399966552
coops_verified_flat_full_protocol,all_ge_5,privsaf_range_hmm_r1_fixed_prior,4.0,24,40,80,291283,4556,0.015641146239224395,0.014093034265608892,0.0010182057057057058,0.034595603065752316,0.9010231123769437,0.015706257614280416,0.0016114355456680264,0.03839344200787471,1.0041628263082623,0.058792953035196625
