repair_method,mask_source,dataset_id,fault_mode,epsilon,mae_mean,mae_std,rmse_mean,js_mean,wasserstein_mean,mae_fault_points_mean,mae_clean_points_mean,false_repaired_clean_fraction_mean,downstream_mean_abs_error_mean,downstream_std_abs_error_mean,downstream_p95_abs_error_mean,oracle_gap_closed_mean
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,air_quality,bias,2.0,0.09009894896029765,0.0019507815102084512,0.17969024588813112,0.011688836247374422,0.06141542266899728,0.3464154435201123,0.02597529500509733,0.16472114137483787,0.06118660299898878,0.005924413948632357,0.04678714859437738,-2.0043436290201715
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,air_quality,bias,4.0,0.10421727408323041,0.002986224630435025,0.20434421678328518,0.01264666540325147,0.05124470459194569,0.3443876989439239,0.044132942637886675,0.16286826014452474,0.04772475114465643,0.010600300805690799,0.03495983935742969,-3.3889592112614912
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,air_quality,iid_stuck,2.0,0.13174099027200148,0.0376380670114628,0.3314548026101498,0.04791984161234895,0.11913086848040673,0.4880278986315634,0.04260736483111041,0.14498795627200298,0.11622337041328183,0.0768832609956518,0.21084337349397597,0.05910277285383577
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,air_quality,iid_stuck,4.0,0.12234974998859889,0.009693789975808886,0.31612244711176024,0.045314597202234574,0.10903767004277999,0.3907869739540171,0.05519380792636777,0.13229571984435798,0.10562009014378808,0.07323315794750473,0.23318273092369504,0.1379719613615355
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,air_quality,segment_stuck,2.0,0.1583575547325489,0.07965901929274158,0.3669818321833164,0.06622696557919477,0.1425919538818606,0.6879841123754278,0.025858902368798804,0.15249212525477115,0.13925490734477655,0.08384166823514355,0.17459839357429732,-0.24843651596569152
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,air_quality,segment_stuck,4.0,0.17636532790416806,0.08443323638038211,0.38467941739263617,0.06732272431501851,0.1494898995649078,0.6886149890567562,0.048213918581769426,0.15554937928478785,0.1454815928527897,0.08967099729498544,0.20080321285140568,-0.4757696280605527
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,air_quality,template_stuck,2.0,0.10579157777425557,0.004488237662967077,0.2748293543358849,0.03024709403934313,0.09529636984104661,0.40771972922554417,0.030257085402842162,0.16268297202149343,0.09529013776060329,0.02627190136549336,0.1847389558232931,-0.6368376198245952
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,air_quality,template_stuck,4.0,0.1277081246450106,0.00454976801916968,0.30347030834140437,0.03671551398119078,0.12087826942381348,0.40827922304296566,0.0575166059353068,0.1726885306651844,0.12087213035949607,0.058240184906490466,0.25612449799196774,-1.2442269622797562
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,beijing_air,bias,2.0,0.07651827952583852,0.001218286904720647,0.15878957984847808,0.021237871586383728,0.07004652163225171,0.3488391101278269,0.008438071875341418,0.16624999999999998,0.07003914700098328,0.03311093490397668,0.14496804326450277,-0.15451542826683723
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,beijing_air,bias,4.0,0.07947339816375583,0.0005155419526610975,0.16096777622053085,0.020902120286907813,0.06810250737463126,0.34656047539058227,0.01270162885704921,0.16319444444444445,0.06798882538511963,0.028667938897870254,0.13500491642084564,-0.22456633972393175
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,beijing_air,iid_stuck,2.0,0.11319725772970612,0.046501718562848536,0.28083168681228404,0.05312104716880573,0.1084828061837649,0.4743298401382841,0.022914112127561614,0.14527777777777778,0.1082827351687971,0.09734412638831787,0.35299901671583095,0.1797588198664587
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,beijing_air,iid_stuck,4.0,0.06598440402053972,0.009561199342804323,0.20465954666589323,0.030219544533431942,0.059850486179394737,0.2786793605921556,0.012810664877635748,0.10340277777777779,0.059710750573582404,0.05955482645450322,0.3500000000000003,0.545499882886316
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,beijing_air,segment_stuck,2.0,0.14301577351687972,0.0881178526329785,0.32576333876398234,0.07308385016742214,0.13837218671473836,0.6760549478313123,0.009755979938271606,0.14854166666666666,0.1381282776138971,0.12467412089961377,0.3392330383480826,-0.060315351318887586
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,beijing_air,segment_stuck,4.0,0.15083642365500774,0.0901402572899559,0.3321186172539596,0.07362323877342163,0.14223874685895335,0.6771066521905387,0.019268866521125003,0.16569444444444445,0.14203908554572267,0.12096783121431327,0.34798426745329464,-0.13229693295611886
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,beijing_air,template_stuck,2.0,0.1667663163716814,0.16804810783464633,0.3750313390708973,0.061127333228412774,0.16137992666338907,0.7605913873866492,0.018310048617939473,0.1673611111111111,0.16137644419862343,0.16200777649926912,0.44931170108161284,-0.0876370054563082
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,beijing_air,template_stuck,4.0,0.15248966868786193,0.1381150489124367,0.35456290593224954,0.053901313597742334,0.14580583210422812,0.687675352343494,0.018693247773953894,0.1551388888888889,0.1458033738938053,0.14407905686706482,0.45624385447394306,0.014304638647798237
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,bike_sharing,bias,2.0,0.09168084542876209,0.0018268696669533934,0.18596859377065766,0.01639206509232084,0.08185982857857858,0.30075918924877254,0.03941125947375948,0.16041666666666668,0.08185982857857858,0.034698070829181006,0.0,0.38060832245877185
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,bike_sharing,bias,4.0,0.11930670879212546,0.0010770380886283978,0.23965810836463883,0.03281796981847566,0.10621505880880881,0.3162254572280614,0.07007702168314146,0.16374999999999998,0.10621505880880881,0.06295214062211574,0.0,0.6840165572853582
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,bike_sharing,iid_stuck,2.0,0.22246497330663997,0.028542310549795502,0.49462421883669566,0.06099213688221616,0.20266112779446113,0.7347436677749178,0.09439529968957051,0.16374999999999998,0.18226426426426426,0.0479670966278097,0.0,-0.3893168745895617
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,bike_sharing,iid_stuck,4.0,0.2729679322179322,0.034797898545044524,0.5632943225134789,0.0802523779224736,0.2531948198198198,0.7582715230111065,0.15164203451963867,0.17118055555555556,0.2346184934934935,0.07454841630349336,0.0,-0.7584092584326684
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,bike_sharing,segment_stuck,2.0,0.20260471900471902,0.018490322806051514,0.4784123561898992,0.056579394441333954,0.17728657824491156,0.8499464643214644,0.040769282675532675,0.14888888888888888,0.15555442942942943,0.03402317532760827,0.0,-1.4490872897720168
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,bike_sharing,segment_stuck,4.0,0.2284738905572239,0.016824833671882956,0.501784380232071,0.062016920563217885,0.1886143018018018,0.8497336175461175,0.07315895881000048,0.16020833333333334,0.16735485485485482,0.04394235216603246,0.0,-2.6110012599494876
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,bike_sharing,template_stuck,2.0,0.2611202869536203,0.0072624207595439775,0.586671293555067,0.03397680002977388,0.250486986986987,1.0212526693360027,0.0710871913580247,0.17777777777777778,0.250486986986987,0.02423074435726787,0.0,-0.48621229572474817
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,bike_sharing,template_stuck,4.0,0.3068401735068402,0.021692674727828987,0.633716483047649,0.05032477873261107,0.2972855355355355,1.0294127162877162,0.12619703781162114,0.18875,0.29728553553553555,0.010049414508473816,0.0,-0.8939545378163029
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,household_power,bias,2.0,0.11354272072233196,0.0021150669827772776,0.22604980863836333,0.02655581435013571,0.06351076938664228,0.3640459154242101,0.05091692204686241,0.1540277777777778,0.06347745456294533,0.006228219817957866,0.06833863104867492,4.350178986168604
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,household_power,bias,4.0,0.1280546803810315,0.0037821631879601443,0.25473430585871143,0.028400729630248794,0.05504126812423842,0.35988560041080353,0.07009695037358843,0.15027777777777776,0.044300818069093396,0.027050272873660852,0.04846944803496863,5.774157793434286
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,household_power,iid_stuck,2.0,0.1875903973489745,0.06265383851667601,0.3944385543357331,0.07538178294512209,0.1640730389759196,0.6067027178341062,0.08281231722769157,0.16541666666666668,0.16175833029606693,0.0740307659518908,0.20434819132475476,-0.5542705444612002
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,household_power,iid_stuck,4.0,0.1825958083461846,0.023383525837028022,0.39176895071940815,0.07465348647616461,0.15509922405180834,0.5455441942554663,0.0918587118688642,0.1567361111111111,0.15069351209396603,0.07362773010115954,0.25433098391174674,-0.5003495836953579
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,household_power,segment_stuck,2.0,0.17617325870163678,0.06365214743016978,0.3869771745625001,0.07882517978711101,0.14318933590902566,0.6814393431728725,0.0498567375838278,0.14493055555555556,0.1401490199791163,0.07397423227872037,0.1968645473998746,-0.6887734914862458
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,household_power,segment_stuck,4.0,0.19859707377441219,0.06746583001222095,0.4106073089421857,0.07989751417482378,0.15237281663070126,0.6804513963254605,0.07813349313665015,0.15833333333333335,0.14701902570814607,0.08156466853970885,0.2446907678841933,-1.0800900404480185
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,household_power,template_stuck,2.0,0.19284651457515842,0.006055161303306238,0.3927333371276894,0.09157404804958212,0.15191065400815298,0.751335796944096,0.05322419398292403,0.15569444444444444,0.13994577406711892,0.048999638920804355,0.0,-0.5949951113982205
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,household_power,template_stuck,4.0,0.2114276830366422,0.005212798829253353,0.4114692194357363,0.0909389040385457,0.15398407783621976,0.749971689816132,0.07679168134176972,0.155,0.13263751082802439,0.03444556196566776,0.0,-0.8562374124452631
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,nab,bias,2.0,0.06547381406133063,0.003329877151172877,0.14309964259349658,0.061318581740194424,0.06234359686850253,0.3103606024936229,0.004252116953257561,0.15361111111111111,0.06227041658457838,0.01134650570107365,0.12882940868251067,-0.05927497203864712
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,nab,bias,4.0,0.06643764940876334,0.003100589525001383,0.143686977616556,0.062023676203005355,0.06340231432328243,0.30939419100222076,0.0056985140103989725,0.15625,0.06331335596092558,0.010558407401863201,0.13062298837093841,-0.07781596502840003
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,nab,iid_stuck,2.0,0.10405264801944582,0.0238203517441903,0.3090023020081039,0.05125391917842975,0.10093709928310657,0.4643376949508892,0.013981386286584964,0.12881944444444446,0.07882678858112768,0.015076886257048358,0.03921981951971939,0.3761449505092741
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,nab,iid_stuck,4.0,0.05074319273271652,0.0048057712020961076,0.20164779461812798,0.02656604718841636,0.046905419129268926,0.2319202814598369,0.005448920550936421,0.08208333333333333,0.025118865814734524,0.016183412725292484,0.037489873862197154,0.7084918495291072
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,nab,segment_stuck,2.0,0.16497655620147697,0.03506475654012973,0.4318244857069003,0.08511191789754026,0.1620946368889342,0.7978145339694351,0.006767061759487444,0.15541666666666668,0.14362789859937333,0.007612650781064101,0.041411600084581925,-0.027940757725178764
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,nab,segment_stuck,4.0,0.16659334488419122,0.036929595808405005,0.43092587005489474,0.08470949695828837,0.16400309006662125,0.7926671049140497,0.010074904876726612,0.15777777777777777,0.14440404315270536,0.008603827067987013,0.040973547627687956,-0.03869305940034299
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,nab,template_stuck,2.0,0.2048176364452945,0.06791436883629409,0.5381001463634606,0.07641705594289482,0.20161460151109942,0.9739209537641172,0.012541807115588778,0.16125,0.20157431675960855,0.04307883136386814,0.09291103751750451,-0.022446069497803693
ldp_postmean_hampel_repair,ldp_postmean_hampel_topk_mask_linear,nab,template_stuck,4.0,0.17255387845361345,0.04667892845461108,0.47932744994535686,0.06639848509832978,0.16967786297945997,0.8332922324855665,0.007369289945625187,0.13888888888888887,0.16966061750932612,0.037789245742070356,0.09291103751750451,0.14232501300934358
ldp_window_glr_repair,ldp_window_glr_topk_mask_linear,air_quality,bias,2.0,0.14107870730010583,0.02688462094041929,0.2617342180986198,0.04391685885900082,0.12065549185755298,0.3592091512443139,0.08650820012851794,0.17361497128034095,0.1184738397726538,0.015083243931120371,0.03950346841913129,-7.004042046613515
ldp_window_glr_repair,ldp_window_glr_topk_mask_linear,air_quality,bias,4.0,0.13039445820386178,0.029532188216615764,0.24153021697411223,0.04188950553387266,0.11915737807632233,0.358057751927666,0.07343908242862236,0.16712988697424494,0.11899783681697339,0.00794895809663985,0.06044176706827311,-5.956213947005747
ldp_window_glr_repair,ldp_window_glr_topk_mask_linear,air_quality,iid_stuck,2.0,0.2079761210996041,0.08546855607696607,0.4160038573996923,0.06719902722574918,0.13731541115637846,0.6690309194072097,0.09263232166198211,0.16221975171391514,0.12583519179553124,0.07474090863660217,0.13142570281124513,-0.5811324594165587
ldp_window_glr_repair,ldp_window_glr_topk_mask_linear,air_quality,iid_stuck,4.0,0.20403547036100136,0.06537123084510593,0.41198245043309306,0.06698541546410887,0.13529270449826405,0.6550283642819087,0.0912088950923936,0.16184917546785252,0.12499776761297558,0.06558736165664403,0.14263194175275618,-0.5480382230253183
ldp_window_glr_repair,ldp_window_glr_topk_mask_linear,air_quality,segment_stuck,2.0,0.13382790110791698,0.03624367121984902,0.3242949889577266,0.03176724434491493,0.06593074478855893,0.5086280983435871,0.040062737101772945,0.08513989253288863,0.060496014072967876,0.04597583084782906,0.14720099911842538,0.06122989553071462
ldp_window_glr_repair,ldp_window_glr_topk_mask_linear,air_quality,segment_stuck,4.0,0.12276181923420397,0.033850704937022066,0.30920912469924416,0.029982380978192905,0.060423823324105404,0.4872532208685057,0.03157564509358642,0.07494904576616639,0.05293240778567304,0.037979763506929255,0.12742598300177474,0.20092994656270532
ldp_window_glr_repair,ldp_window_glr_topk_mask_linear,air_quality,template_stuck,2.0,0.12466815443594782,0.007250089690064787,0.28731959171762106,0.015125972215077237,0.044060864396097604,0.41501359094785034,0.052031353084811695,0.14637761719473782,0.03673392848771403,0.016319279836768858,0.09718875502008006,-1.1599780376086084
